报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,
营业总收入(万元),30209,20180,9838,76908,57375,27119,5417,81213,55150,37903,20648,138783,36992,29282,8209,35716,27056,16799,6813,90719,88568,67169,30036,107061,82908,59277,21048,132708,99020,56975,14245,119661,59822,33030,12846,100727,79992,33430,10191,89652,202,202,202,0,0,--,--,804,804,804,
营业收入(万元),30209,20180,9838,76908,57375,27119,5417,81213,55150,37903,20648,138783,36992,29282,8209,35716,27056,16799,6813,90719,88568,67169,30036,107061,82908,59277,21048,132708,99020,56975,14245,119661,59822,33030,12846,100727,79992,33430,10191,89652,202,202,202,0,0,--,--,804,804,804,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,--,--,0,--,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,--,--,0,--,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,--,--,0,--,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,0,
营业总成本(万元),30226,23556,14803,123648,71158,41526,9608,77120,52312,36007,18399,134427,40986,31166,10425,63831,46834,32139,12824,105872,95324,74649,29561,98698,65853,50446,16701,101190,71887,45243,10116,85198,35516,21523,9420,69017,55762,22327,7691,64337,391,279,140,1098,725,484,310,31676,17078,24087,
营业成本(万元),27406,17901,8084,68813,44173,24066,4143,50734,30343,22150,12533,103900,22905,19067,7682,37783,29492,19968,9381,81265,78412,60328,23709,71660,51919,40285,12201,69470,51785,31525,5375,61136,24310,14711,6386,55238,45819,18032,5943,50794,30,30,30,0,0,--,--,1860,1860,1860,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,--,--,0,--,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,--,--,0,--,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,0,
