报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),54956,102733,67901,50905,27080,115060,83541,51924,24210,101357,75281,56100,34725,115097,91983,71934,16979,83548,63072,42725,17486,83278,60622,35851,17005,57631,36877,20545,8174,30442,21942,15798,10370,22017,12956,8988,3399,23791,31685,19535,8251,22220,15840,12116,7246,28272,9867,15660,1751,16029,6306,3442,823,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,
利息收入(万元),8456,17611,6319,2536,1149,11466,9353,6302,3263,20809,17017,11091,5953,22007,16715,12133,6168,27429,20009,13379,6255,20660,14854,9412,4246,12416,6755,2010,531,1621,1084,543,147,755,489,386,196,1554,1560,526,258,278,131,70,28,241,681,322,100,611,262,162,79,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,
手续费及佣金收入(万元),20686,97852,72697,52260,24479,99042,72273,47195,17409,57036,36712,26819,14749,45649,31994,21229,8383,44758,31398,22682,10049,46569,31305,22308,10338,38097,25314,16322,6949,20102,12388,7306,2742,7810,4969,3242,1482,5685,4158,1825,1418,3085,2119,1258,594,4266,4642,1901,782,1471,1520,1073,510,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,6526,--,4328,3584,807,--,3956,--,94,
其他业务收入(万元),85,257,230,216,117,405,304,287,145,361,303,232,85,934,916,860,842,695,518,315,164,1211,1060,312,151,1583,1418,447,140,1621,1333,1059,489,4096,1512,998,462,1177,689,469,193,619,435,259,0,368,216,146,63,70,370,321,140,
营业总成本(万元),20428,60202,36320,23651,10747,69100,28610,16204,8430,32902,28598,18564,15402,54327,46235,33366,6906,36825,30472,13399,7510,42626,30903,11758,7150,22924,11163,6693,3693,10943,7579,4939,2759,11395,6478,5253,1902,18422,26652,17476,6666,19369,12291,9280,6392,12782,7224,5538,1903,15069,6161,2294,960,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,
利息支出(万元),2379,10165,7717,4860,2147,9900,7943,4552,1279,3589,1146,311,306,4912,3239,1362,6,44,33,23,8,50,38,22,13,61,44,28,17,74,56,36,17,76,16,11,5,27,22,16,11,33,33,22,11,46,34,21,11,98,240,451,36,
