报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2006-09-30,2005-12-31,2004-12-31,
营业总收入(万元),9343,46808,29343,18675,7846,44995,27470,16611,7340,47581,31864,22043,10400,56582,39492,26246,12623,22674,9286,6140,2961,10447,7227,4620,2209,8591,5355,3650,2510,7525,5233,3902,1592,6233,4283,2925,1424,6635,4563,2974,1527,6458,4401,2909,6267,3923,5435,3746,
营业收入(万元),9343,46808,29343,18675,7846,44995,27470,16611,7340,47581,31864,22043,10400,56582,39492,26246,12623,22674,9286,6140,2961,10447,7227,4620,2209,8591,5355,3650,2510,7525,5233,3902,1592,6233,4283,2925,1424,6635,4563,2974,1527,6458,4401,2909,6267,3923,5435,3746,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
营业总成本(万元),8476,67533,27913,17369,6755,38546,24884,14937,6383,40343,27377,18712,9110,48995,34446,22319,10565,20421,8722,5958,2872,11671,7942,5391,2693,8825,5567,3630,2026,7227,5028,3668,1448,5394,3724,2607,1114,5360,3518,2366,1123,4088,2882,1954,3956,2688,3884,3462,
营业成本(万元),3583,12503,8030,5204,2394,10473,6926,4535,2631,12671,9531,7030,4097,22125,16465,11015,5675,9679,4597,3076,1442,5210,3676,2429,1436,4508,2801,1891,1349,3420,2378,1755,735,2583,1713,1195,589,2686,1827,1232,641,2386,1692,1191,2409,1563,2464,2198,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
