报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-06-30,2006-12-31,2005-12-31,2004-12-31,
营业总收入(万元),17955,151486,120086,82874,32638,114156,97179,64068,32535,72799,40258,22994,14199,54579,43553,33466,22598,106423,49785,27186,11951,52909,34352,22856,11533,47809,37868,25716,10419,58771,42520,26066,7802,22937,16074,10552,5218,29477,19597,12788,4901,20480,10833,17344,13542,6007,
营业收入(万元),17955,151486,120086,82874,32638,114156,97179,64068,32535,72799,40258,22994,14199,54579,43553,33466,22598,106423,49785,27186,11951,52909,34352,22856,11533,47809,37868,25716,10419,58771,42520,26066,7802,22937,16074,10552,5218,29477,19597,12788,4901,20480,10833,17344,13542,6007,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,0,0,
营业总成本(万元),17700,136222,108813,74658,29711,103447,89707,58844,30081,71256,38072,22340,13800,57449,43502,33300,22409,106045,49682,27138,11788,55204,34328,22805,12028,62813,42311,25135,8124,47724,34372,21533,6069,19266,13397,8395,4045,21830,14008,8988,3323,13374,6979,10641,9050,4363,
营业成本(万元),11257,113431,93745,64227,23563,83691,73802,47710,24057,52509,27877,15360,9460,38913,35026,27050,19567,90115,41295,21454,9084,45543,27667,17853,9936,44113,31864,20475,6052,38535,29205,17765,4499,15188,11491,7286,3457,18927,12175,7780,2756,11858,6254,9839,8433,3913,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,--,0,0,0,0,0,
营业税金及附加(万元),177,1106,806,490,186,757,-30,149,40,382,357,273,108,301,99,49,83,632,231,177,103,223,219,170,81,171,165,125,54,147,110,63,22,48,39,29,21,59,35,17,5,74,34,61,31,0,
销售费用(万元),994,3915,2820,1605,1741,4281,3430,2490,2268,4111,1707,1195,938,4483,2675,1844,1032,4452,2704,1637,856,2853,2060,1352,519,3321,2395,1366,625,1854,1224,577,298,848,621,479,291,723,372,225,108,434,163,212,106,132,
管理费用(万元),2128,8279,5706,3848,2101,8576,6431,3972,2366,8363,4069,2650,1419,7012,3887,2765,1034,6529,3218,2183,996,4383,3276,2389,1211,6072,4225,2791,1387,5097,2689,1768,772,2847,1635,1020,500,2024,1438,837,318,663,507,511,399,250,
财务费用(万元),3150,7118,5105,4025,2129,4513,2941,2220,1308,4954,3887,2836,1889,5916,1833,1664,708,3347,2270,1728,748,1668,1107,1042,281,3580,2052,329,6,1712,1019,1195,416,275,29,8,24,-582,9,149,136,76,-14,10,22,6,
