报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2005-12-31,
营业总收入(万元),32109,218336,142260,62182,27860,127919,93754,60727,25216,150487,117215,85105,37117,203603,149532,94316,40868,201266,141292,68174,26599,154778,114642,78610,30458,191067,140258,87197,40732,134355,94821,57276,19253,56926,40504,24761,9509,54399,39852,26662,8777,56909,39318,24926,8861,53922,50367,
营业收入(万元),32109,218336,142260,62182,27860,127919,93754,60727,25216,150487,117215,85105,37117,203603,149532,94316,40868,201266,141292,68174,26599,154778,114642,78610,30458,191067,140258,87197,40726,134355,93345,55812,19239,56926,39583,24761,9509,54399,39852,26394,8554,56746,39318,24841,8778,53613,50141,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,--,0,0,--,--,--,--,0,0,0,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,--,0,0,--,--,--,--,0,0,0,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,--,0,0,--,--,--,--,0,0,0,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,--,0,0,0,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,1464,--,0,0,--,--,--,--,0,0,0,0,0,0,0,0,
营业总成本(万元),33183,207862,135302,59191,26868,118834,86127,56489,24355,145625,113501,83001,36770,198452,145792,91951,39923,197634,138768,67433,26502,153016,113517,78049,30443,187176,136820,84012,39429,131930,93472,56971,19238,55269,39251,24310,9437,51246,37479,24611,7957,51212,36114,22304,7887,47775,45934,
营业成本(万元),26197,166734,106707,48331,21716,93882,69002,45201,19475,123114,98884,73376,32486,173987,128627,80210,35127,173546,122072,62283,24555,140956,105148,72522,28507,173306,126537,76607,36402,120320,86033,52449,17456,46905,32742,19579,7856,43921,31743,20652,6481,42557,30539,18733,6338,39607,38268,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,--,0,0,--,--,--,--,0,0,0,0,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,--,0,0,--,--,--,--,0,0,0,0,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,--,0,0,0,0,0,0,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,--,0,0,0,0,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,--,0,0,--,--,--,--,0,0,0,0,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,--,0,0,--,--,--,--,0,0,0,0,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,--,0,0,--,--,--,--,0,0,0,0,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,--,0,0,--,--,--,--,0,0,0,0,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,--,0,0,--,--,--,--,0,0,0,0,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,--,0,0,0,0,0,0,0,0,
营业税金及附加(万元),316,2029,1460,565,262,1454,814,490,178,839,670,410,125,705,573,333,97,589,445,160,34,425,311,209,124,507,366,198,112,357,205,63,21,283,201,110,21,240,140,65,1,210,166,83,23,295,176,
销售费用(万元),2031,11616,8420,4280,2059,9898,7247,4784,2279,9916,6778,4485,1930,11763,8444,5754,2500,11207,7876,2718,1074,6518,4168,2808,1014,6429,4927,3598,1534,5706,3721,2307,1014,4199,3040,1968,801,3076,2203,1387,487,3303,2380,1495,533,3202,2839,
管理费用(万元),4761,25898,17005,5322,2814,13148,8312,5208,2447,11559,7383,4735,2304,11370,7537,5068,2115,11191,7639,1949,716,4868,3762,2383,761,6439,4589,3339,1401,5356,3555,2191,786,4201,3479,2757,851,3454,2654,1901,709,4867,2835,1888,1017,4449,4679,
财务费用(万元),5,-117,102,116,18,-772,-276,-222,-23,-398,-313,-104,-74,176,180,139,84,960,688,274,123,244,75,71,37,385,228,97,-21,-117,-41,-40,-39,-337,-229,-124,-93,532,695,555,278,256,163,107,31,193,-1,
资产减值损失(万元),-127,1702,1608,576,--,1224,1028,1028,--,595,100,100,--,451,431,446,--,141,48,48,--,4,53,57,--,110,174,173,--,307,0,0,--,17,19,19,0,24,44,53,0,19,31,-1,-55,28,-28,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,--,0,0,--,--,--,--,0,0,0,0,0,0,0,0,
投资收益(万元),42,21,--,--,--,--,0,--,--,15,15,--,0,-61,-61,-61,-61,-312,-85,-55,-16,-0,17,17,-11,-189,-89,-51,--,-66,0,0,--,-24,0,--,0,1,1,1,0,0,0,0,0,0,0,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,15,--,0,-61,-61,-61,--,--,--,--,--,-0,--,0,--,--,--,--,--,0,0,0,--,0,0,--,--,--,--,0,0,0,0,0,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,--,0,0,--,--,--,--,0,0,0,0,0,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,--,0,0,0,0,0,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,--,0,0,0,0,0,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,--,0,0,0,0,0,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,--,0,0,0,0,0,0,0,0,
营业利润(万元),-628,11943,6958,2992,992,9085,7627,4237,861,4876,3728,2103,347,5090,3679,2304,884,3321,2439,686,81,1762,1142,578,4,3701,3348,3134,1302,2359,1349,305,16,1634,1253,451,72,3155,2373,2052,820,5697,3204,2622,974,6147,4433,
营业外收入(万元),190,1697,1458,429,212,1289,950,639,207,1871,1184,676,429,4005,2581,1754,825,4341,2209,55,28,272,167,133,49,477,175,49,2,272,100,27,11,603,272,209,1,200,184,27,0,519,54,40,0,21,0,
营业外支出(万元),3,513,437,23,2,148,84,71,0,13,11,4,2,76,36,35,12,120,46,33,5,23,2,1,1,276,4,0,--,30,3,2,0,5,3,1,1,98,22,14,1,80,80,71,0,148,80,
非流动资产处置损失(万元),--,--,389,3,2,61,58,56,0,10,7,1,1,72,30,29,--,111,38,33,--,2,--,1,--,272,--,--,--,0,0,0,--,0,-77,--,0,78,-22,-25,0,54,56,56,0,12,7,
