报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2007-12-31,2006-12-31,2005-12-31,
营业总收入(万元),300047,133114,531891,378156,266723,135164,401940,280113,197092,87029,403530,330561,213505,90914,423958,331402,222916,106037,424296,300199,182035,90062,398107,299876,201562,95744,412227,296947,187483,83161,327651,234123,166623,103848,235069,167882,116427,64368,296391,231012,148753,227246,149820,111486,
营业收入(万元),300047,133114,531891,378156,266723,135164,401940,280113,197092,87029,403530,330561,213505,90914,423958,331402,222916,106037,424296,300199,182035,90062,398107,299876,201562,95744,412227,296947,187483,83161,327651,234123,166623,103848,235069,167882,116427,64368,296391,231012,148753,227246,149820,111486,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,0,--,
营业总成本(万元),290166,133316,524791,377655,264272,129342,419823,293840,198153,86633,429585,331518,216244,95435,443825,342539,228941,107904,432779,309632,188857,92401,410777,304102,202148,96574,403679,289628,184081,82200,329652,240763,170452,102828,250051,178364,121070,64452,272009,200530,123799,208584,140540,97436,
营业成本(万元),264173,121427,477067,343496,239433,117330,376478,261387,176407,76101,362793,292935,190453,83817,399788,310368,208296,98345,398406,285963,173045,83881,378785,280438,186794,88803,373632,267889,170108,75581,306955,225034,159063,97016,228296,161616,109587,58151,245163,179667,109556,185773,126557,84891,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,0,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,0,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,0,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,0,--,
营业税金及附加(万元),977,397,2125,1661,1232,658,1668,223,165,70,27,18,14,11,293,270,255,154,372,235,135,83,537,474,303,138,237,46,6,2,8,19,3,1,23,9,7,4,355,347,307,276,230,150,
销售费用(万元),11030,4465,18523,13839,10454,4980,14787,11874,8299,4014,15852,13146,9029,4196,12262,9918,6300,2760,9189,6532,4211,2157,9311,7108,4720,2490,9041,6932,4542,2070,6751,4761,3616,1857,6955,5345,3803,2264,7499,5992,4327,6970,4769,4139,
管理费用(万元),9876,4420,17261,11591,8023,3851,14938,12131,8012,3846,16778,12309,8197,3845,15572,11122,7026,3216,12475,8747,5908,2822,11546,8518,5644,2861,11791,8762,5309,2582,9084,6125,4205,2202,8859,6517,4422,2253,9739,7198,4814,7154,5607,5261,
财务费用(万元),3972,2441,8506,6545,4414,1765,10417,7800,5312,2869,14783,12759,8654,3726,14883,10524,6737,3222,12336,8133,5409,3217,10376,7434,4738,2160,8100,5940,4010,1919,6930,5183,3582,1952,5871,4737,3184,1808,9474,7267,4858,8372,3288,2479,
资产减值损失(万元),139,166,1310,522,717,759,1536,424,-41,-267,19352,351,-102,-160,1027,336,327,207,0,24,148,241,221,130,-51,121,879,58,107,47,-77,-359,-17,-200,46,140,67,-27,-221,103,-63,38,89,516,
公允价值变动收益(万元),-512,153,-367,-718,-528,-391,439,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,
投资收益(万元),773,271,2560,2101,1761,1235,21252,15034,2438,-0,28754,3165,3070,-227,156,231,232,218,99,33,62,114,1435,1479,1479,1555,879,177,164,128,88,97,45,32,138,91,43,--,59,44,36,-3,300,165,
对联营企业和合营企业的投资收益(万元),193,58,--,53,-94,-33,177,2,48,-0,123,3064,2968,-227,-60,-60,-59,2,-90,-156,-128,-30,-73,152,152,227,-135,--,--,128,150,--,--,32,138,--,0,--,58,0,35,-3,0,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,0,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,0,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,0,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,0,--,
营业利润(万元),10612,575,10342,1885,3685,6666,3807,1308,1378,396,2699,2209,331,-4748,-19711,-10906,-5793,-1648,-8384,-9400,-6760,-2225,-11235,-2747,893,726,9427,7496,3566,1089,-1913,-6543,-3784,1051,-14844,-10392,-4601,-84,24442,30526,24990,18660,9580,14214,
营业外收入(万元),242,50,389,1002,549,238,1499,1019,382,270,1361,685,499,159,4188,4218,3847,402,10001,1020,508,156,778,626,248,76,1209,940,227,33,3519,371,231,180,1938,1552,1517,1502,857,648,40,35,78,34,
营业外支出(万元),138,112,3025,321,106,99,978,142,124,138,278,278,274,210,627,305,136,53,442,344,279,105,727,32,3,2,700,722,139,6,343,76,41,25,66,21,17,21,293,103,58,289,219,97,
非流动资产处置损失(万元),--,--,--,191,0,--,834,1,1,--,55,55,54,49,183,19,19,--,23,23,23,6,451,2,2,2,440,--,--,--,3,--,--,0,1,--,0,--,60,0,--,--,13,28,
利润总额(万元),10715,513,7706,2565,4128,6805,4328,2185,1636,528,3782,2617,557,-4799,-16150,-6994,-2082,-1300,1175,-8724,-6532,-2174,-11184,-2153,1138,800,9936,7714,3654,1115,1263,-6248,-3593,1207,-12972,-8861,-3101,1397,25005,31072,24971,18406,9439,14151,
所得税费用(万元),2606,122,1724,574,999,1758,1264,525,375,125,827,711,164,-1125,-3776,-2105,-797,-459,-176,-2511,-1866,-542,-3262,-574,41,132,1906,1907,829,237,213,113,22,355,-2981,30,7,346,4758,6182,4648,2136,3110,2821,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,0,--,
净利润(万元),8109,391,5982,1992,3129,5047,3064,1660,1261,403,2954,1905,393,-3674,-12373,-4889,-1284,-841,1351,-6214,-4666,-1631,-7922,-1579,1097,668,8030,5807,2825,878,1051,-6361,-3615,852,-9990,-8890,-3108,1051,20247,24890,20323,16270,6329,11330,
归属于母公司所有者的净利润(万元),7929,314,5731,1854,3029,5002,3060,1646,1267,405,2939,1882,367,-3692,-12387,-4907,-1298,-841,1319,-6228,-4680,-1631,-7942,-1590,1084,662,8013,5799,2824,879,1038,-6349,-3615,851,-9942,-8881,-3112,1040,20213,24838,20323,16259,6340,11337,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,--,
少数股东损益(万元),180,77,250,138,101,45,4,13,-6,-1,16,23,26,18,13,18,13,-0,32,14,15,-1,19,11,13,7,17,8,1,-1,13,-13,-1,0,-49,-9,5,11,34,8,0,12,-11,-7,
基本每股收益,0.12,0,0.09,0.03,0.05,0.08,0.05,0.03,0.02,0.01,0.05,0.04,0.01,-0.07,-0.25,-0.1,-0.03,-0.03,0.05,-0.22,-0.18,-0.06,-0.3,-0.06,0.04,0.03,0.31,0.22,0.11,0.03,0.04,-0.24,-0.14,0.04,-0.49,-0.44,-0.15,0.05,1.24,1.65,1.35,1.08,0.42,0.76,
稀释每股收益,0.12,0,0.09,0.03,0.05,0.08,0.05,0.03,0.02,0.01,0.05,0.04,0.01,-0.07,-0.25,-0.1,-0.03,-0.03,0.05,-0.22,-0.18,-0.06,-0.3,-0.06,0.04,0.03,0.31,0.22,0.11,0.03,0.04,-0.24,-0.14,0.04,-0.49,-0.44,-0.15,0.05,1.24,1.65,1.35,1.08,0.42,0.76,
