报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2007-12-31,2006-12-31,
营业总收入(万元),119318,392577,304390,204094,86110,333088,254371,195098,72953,287712,267194,169123,95927,300634,238084,158852,92680,339264,289419,182889,104556,354565,264645,145340,80789,284174,215468,122246,64982,216773,157720,86925,41231,150828,103278,63652,31976,131047,88020,50652,105090,76094,104581,75147,
营业收入(万元),119318,392577,304390,204094,86110,333088,254371,195098,72953,287712,267194,169123,95927,300634,238084,158852,92680,339264,289419,182889,104556,354565,264645,145340,80789,284174,215468,122246,64982,216773,157720,86925,41231,150828,103278,63652,31976,131047,88020,50652,105090,76094,104581,75147,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
营业总成本(万元),108850,442113,288748,190798,78408,325311,238647,183495,66823,274062,244581,155139,86051,262566,208169,141727,82788,304262,258900,165478,94838,320668,238601,131362,73146,256698,196902,111934,59283,198885,143957,80806,38196,138584,94908,59221,29827,122419,82576,47780,99146,72359,99065,71910,
营业成本(万元),90287,313248,241643,161151,68707,256871,201118,155312,56169,216359,205517,128624,72873,221530,178721,125358,75213,271297,232165,147773,85445,289251,217038,119246,66439,232570,180021,102168,54782,182256,132753,74319,35313,127043,87302,54298,27235,112808,76486,44106,91648,66316,91931,66279,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
研发费用(万元),2634,11049,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
营业税金及附加(万元),376,1742,1096,749,390,1598,1244,716,340,4118,3896,3597,3193,9933,7857,5163,3028,11492,9637,6075,3444,11719,8717,4793,2617,9527,7236,4122,2192,7329,5330,2939,1403,5062,3452,2134,1073,4406,2635,1719,3551,2575,3550,2487,
销售费用(万元),2903,14733,12988,9446,4134,22681,14125,10610,5075,22217,14542,8732,4168,10422,6393,2634,955,7687,5185,3602,1725,6898,4192,2674,1212,6244,3730,2439,1025,4778,3053,1946,964,1956,1081,627,263,1010,727,510,936,461,1209,1117,
管理费用(万元),6766,24537,18300,9819,5335,22169,14602,9634,3891,15952,12626,9446,3600,14617,9530,5232,2010,9241,5593,4104,1979,6490,4137,2599,1216,6414,4367,2577,1135,4579,3055,1626,588,3938,2829,1923,1010,3088,2077,1347,2417,2336,2150,1795,
财务费用(万元),5007,20172,10360,6270,2976,15513,5182,3950,1792,5404,3211,1778,657,2016,1055,131,-177,1488,969,752,337,-56,-166,-137,-118,-769,-643,-479,-374,-1301,-1124,-684,-295,-890,-567,-232,-27,315,253,164,272,195,180,56,
资产减值损失(万元),877,56633,4361,3362,-3134,6481,2375,3274,-443,10012,4789,2962,1559,4047,4613,3209,1759,3056,5352,3173,1909,6365,4682,2187,1781,2712,2191,1108,523,1244,890,660,224,1475,811,471,273,792,400,-65,322,476,44,177,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,-169,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
投资收益(万元),--,6351,294,294,--,7578,447,261,--,376,303,138,--,2621,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,4,0,
对联营企业和合营企业的投资收益(万元),--,688,--,--,--,490,--,--,--,376,--,--,--,58,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
汇兑收益(万元),--,--,-4,1,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
营业利润(万元),10475,-42403,16132,13604,7692,16063,16171,11864,6130,13858,22916,14122,9876,40690,29915,17125,9892,35002,30518,17411,9718,33897,26044,13978,7642,27476,18566,10311,5699,17888,13763,6118,3035,12244,8371,4431,2149,8628,5443,2872,5944,3735,5520,3237,
营业外收入(万元),8,2370,2013,84,7,1373,584,514,240,2022,1555,271,107,687,507,489,118,227,125,113,104,163,86,6,--,260,200,200,--,48,19,19,2,200,--,--,--,3,3,0,147,1,51,2,
营业外支出(万元),23,512,158,84,21,441,117,66,47,632,85,59,35,149,140,29,28,138,22,5,3,13,12,12,11,184,176,150,--,21,16,1,1,68,52,47,1,4,4,4,16,16,64,25,
非流动资产处置损失(万元),--,--,--,--,--,--,1,1,1,25,1,0,0,11,6,1,--,5,--,--,--,--,--,--,--,--,--,--,--,1,--,--,--,16,--,--,--,0,--,0,0,0,0,0,
利润总额(万元),10459,-40545,17987,13604,7678,16994,16638,12312,6323,15248,24386,14333,9948,41227,30281,17585,9982,35091,30621,17519,9819,34047,26118,13972,7632,27552,18590,10361,5699,17914,13766,6137,3036,12376,8319,4384,2148,8627,5442,2868,6075,3720,5506,3214,
所得税费用(万元),2232,1336,4546,3499,2311,4174,3630,2669,1418,3363,4684,2645,1932,6967,4776,2998,1702,5681,5057,2700,1483,6095,6496,3454,1984,7105,4683,2582,1379,4304,3298,1454,701,2676,1782,922,428,1720,1163,582,1060,715,831,473,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
净利润(万元),8227,-41881,13441,10105,5367,12820,13008,9643,4904,11885,19703,11688,8016,34260,25505,14587,8280,29410,25564,14819,8337,27952,19622,10518,5648,20447,13907,7779,4320,13610,10468,4683,2335,9700,6537,3462,1721,6906,4279,2286,5014,3005,4676,2741,
归属于母公司所有者的净利润(万元),6942,-42196,14153,10996,5639,13719,13558,10362,5032,13081,21000,12518,8203,35750,25860,15237,8525,29544,25570,14802,8337,27952,19622,10518,5648,20447,13907,7779,4320,13610,10468,4683,2335,9700,6537,3462,1721,6906,4279,2286,5014,3005,4676,2741,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
少数股东损益(万元),1285,314,-712,-892,-272,-899,-550,-720,-128,-1196,-1297,-829,-187,-1490,-355,-650,-245,-135,-6,17,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
基本每股收益,0.06,-0.34,0.11,0.09,0.05,0.11,0.11,0.08,0.04,0.11,0.17,0.1,0.08,0.36,0.26,0.19,0.11,0.41,0.36,0.21,0.12,0.4,0.28,0.15,0.12,0.44,0.3,0.17,0.19,0.6,0.46,0.21,0.16,0.65,0.44,0.23,0.14,0.77,0.48,0.25,0.56,0,0.52,0.3,
稀释每股收益,0.06,-0.31,0.1,0.08,0.04,0.11,0.11,0.08,0.04,0.11,0.16,0.1,0.08,0.36,0.26,0.19,0.11,0.41,0.36,0.21,0.12,0.4,0.28,0.15,0.12,0.44,0.3,0.17,0.19,0.6,0.46,0.21,0.16,0.65,0.44,0.23,0.14,0.77,--,0.25,0.56,0,0.52,0.3,
