报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),40875,259881,186839,123416,74187,310137,223715,158917,63963,167486,130991,85883,44799,94085,52869,31928,15347,47554,34265,16098,7649,40486,29933,20163,8822,36898,26372,16765,7039,42785,28907,17604,7255,30660,22805,13834,6039,23637,15581,9673,28577,27169,21863,
营业收入(万元),40875,259881,186839,123416,74187,310137,223715,158917,63963,167486,130991,85883,44799,94085,52869,31928,15347,47554,34265,16098,7649,40486,29933,20163,8822,36898,26372,16765,7039,42785,28907,17604,7255,30660,22805,13834,6039,23637,15581,9673,28577,27169,21863,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
营业总成本(万元),41457,849099,154291,99176,52965,218041,144959,102319,40793,115137,96287,64420,33272,61620,28378,17730,7986,26499,19440,16656,7578,40568,29981,19728,8720,35319,25192,16067,6697,40286,26967,16532,7001,29323,20955,12788,5563,20480,13592,8625,26027,23910,18856,
营业成本(万元),15296,90715,62456,39420,23095,107355,81276,62487,24358,68195,58700,39967,21800,29453,14324,8282,3600,8408,7005,13493,6129,33165,24477,15912,7108,29185,21030,13484,5543,34782,23663,14403,6140,25506,18839,11441,5011,18038,12051,7523,23410,21819,17791,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
