报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-03-31,2008-12-31,2007-12-31,
营业总收入(万元),86048,325773,226627,153024,81997,307155,214684,141828,74954,254754,181191,117733,63078,224202,161129,100069,50536,220653,161719,103603,50155,213469,153951,97010,50677,193763,138399,87190,41632,220270,157420,102594,51885,205040,148267,98458,48901,158997,103787,31484,173780,147520,
营业收入(万元),86048,325773,226627,153024,81997,307155,214684,141828,74954,254754,181191,117733,63078,224202,161129,100069,50536,220653,161719,103603,50155,213469,153951,97010,50677,193763,138399,87190,41632,220270,157420,102594,51885,205040,148267,98458,48901,158997,103787,31484,173780,147520,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,
营业总成本(万元),82791,311494,215302,142982,77241,291568,204321,133737,69160,240491,171322,109898,58326,214055,154316,94246,47106,212064,155746,99096,48161,209522,152209,95461,48948,190263,136472,85210,39748,220801,154120,98395,48833,197491,141946,93773,45987,149124,96269,28958,163405,138069,
营业成本(万元),53328,204835,143072,95454,50388,185877,128995,83965,43251,151835,106889,68016,36290,137520,98997,60584,29866,142056,103796,66728,32494,144643,105931,65575,33657,128814,91977,57993,27274,156584,114432,73550,37059,146185,106905,70441,34560,109929,70761,20805,127903,110486,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,
研发费用(万元),3657,14854,10221,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,
