报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-03-31,2008-12-31,2007-12-31,
营业总收入(万元),308574,229768,146401,68016,270225,198234,125925,54209,184330,133324,82304,36618,173707,133811,90034,41067,243832,195088,127827,60152,234443,169477,111645,51655,194045,139704,92374,45924,204329,154874,95618,40852,133359,93664,59873,26228,96799,70502,14426,89506,62694,
营业收入(万元),308574,229768,146401,68016,270225,198234,125925,54209,184330,133324,82304,36618,173707,133811,90034,41067,243832,195088,127827,60152,234443,169477,111645,51655,194045,139704,92374,45924,204329,154874,95618,40852,133359,93664,59873,26228,96799,70502,14426,89506,62694,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,
营业总成本(万元),294823,218393,139172,64271,263047,189955,120989,52186,181145,131754,83025,38995,184085,138378,92619,42143,244486,196099,128643,61985,234430,169562,111440,51417,191148,136302,88960,44358,191617,145870,89582,38310,125790,87047,54638,23580,88038,64590,15601,85586,54125,
营业成本(万元),257453,189033,119451,54830,220315,160635,101948,43743,146735,107079,67578,30832,148730,115784,77970,35347,212122,170744,112808,53901,200277,144197,94990,44399,162795,116769,76882,38723,165248,125995,78677,34174,107952,74711,46055,19705,73936,53764,12995,69131,46077,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,
