报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,
营业总收入(万元),147312,94469,50206,22193,65640,47899,31312,20960,161113,127461,79840,34304,60429,46301,31833,17860,84192,57689,31364,12346,50288,39228,26946,16351,60142,46525,33292,14853,77038,59849,32220,15252,45899,31238,18931,36548,26045,16378,33234,29340,
营业收入(万元),147312,94469,50206,22193,65640,47899,31312,20960,161113,127461,79840,34304,60429,46301,31833,17860,84192,57689,31364,12346,50288,39228,26946,16351,60142,46525,33292,14853,77038,59849,32220,15252,45899,31238,18931,36548,26045,16378,33234,29340,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
营业总成本(万元),110815,80380,46026,20876,93829,66180,43539,21983,103317,76627,51975,25057,97790,72786,50332,24093,89375,63783,37940,19326,82980,57193,37140,18797,59300,42604,25588,12331,53639,39736,25966,13034,41696,27709,16600,28661,20543,13148,26465,25279,
营业成本(万元),92727,68920,39557,18275,73727,54952,36046,18149,88698,66275,44855,21568,83141,62234,43309,20724,76437,55513,33019,16950,67396,49779,32406,16296,51203,36735,21763,10550,46067,34431,22353,11288,35125,23603,13971,23965,16913,10804,22182,22549,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
研发费用(万元),1954,2777,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
营业税金及附加(万元),271,195,152,48,298,200,113,36,200,23,15,7,27,21,15,8,30,21,12,4,7,5,3,2,23,20,14,6,26,20,13,6,19,14,9,14,10,7,14,9,
销售费用(万元),3531,2069,1114,476,3152,1995,1322,734,3044,2111,1291,628,2516,1858,1278,613,2375,1718,1002,436,2068,1516,958,532,2060,1515,964,496,2149,1495,947,432,1515,1035,690,1533,1192,813,1305,1051,
管理费用(万元),8485,4000,3659,1425,10858,7731,5307,2582,8521,5621,3649,1613,6232,4608,3159,1524,6126,3774,2368,1164,5774,3948,2558,1418,4944,3453,2357,1139,4585,2886,1906,1043,3602,1898,1318,2069,1556,994,2191,1452,
财务费用(万元),2766,2213,1362,665,1623,1071,676,282,2704,2427,2013,1195,5955,4248,2690,1367,4243,3135,1924,948,2614,1831,1133,401,971,730,327,68,758,832,647,258,1414,1126,627,975,736,488,804,455,
资产减值损失(万元),1081,207,181,-13,4171,230,75,200,149,170,152,46,-81,-182,-119,-143,164,-378,-385,-176,5121,113,82,149,99,111,147,72,55,71,99,7,20,34,-15,104,136,41,-31,-236,
