报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
营业总收入(万元),273429,158032,70888,290560,189494,114278,50950,197871,119187,76543,34497,181311,115532,73115,32318,97943,61235,36940,16169,96055,65059,42846,15279,75749,45776,23544,5181,35491,24945,15904,6601,48400,31593,20041,37678,21862,31516,27812,
营业收入(万元),273429,158032,70888,290560,189494,114278,50950,197871,119187,76543,34497,181311,115532,73115,32318,97943,61235,36940,16169,96055,65059,42846,15279,75749,45776,23544,5181,35491,24945,15904,6601,48400,31593,20041,37678,21862,31516,27812,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
营业总成本(万元),275103,159427,72049,287158,191190,118928,53700,243155,122273,80539,38291,177211,116526,74491,34348,102191,65466,41143,18613,94840,65289,43736,18142,76477,47566,25781,6808,32956,21038,13197,5855,37378,24576,15728,29212,17560,25109,20855,
营业成本(万元),216408,120405,53098,204573,134476,81600,36070,123456,72099,46920,22388,105615,67074,42619,19081,48561,29578,17404,7448,47254,31575,21214,8219,38253,22982,11937,2480,15519,10563,6693,2765,20668,13429,8456,15658,9125,14814,13818,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
研发费用(万元),8510,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,
营业税金及附加(万元),2293,1508,627,2940,2005,1227,618,3012,2081,1340,563,3019,2041,1277,545,3153,2201,1365,597,2954,2122,1439,555,2381,1392,602,19,184,140,73,22,147,51,30,57,27,29,16,
销售费用(万元),23371,15765,7709,33065,24360,16473,8281,31970,22563,15127,7383,31773,21775,14737,7237,23977,15834,10622,5135,21383,14936,9861,4765,17431,11368,6644,2281,10508,7205,4666,1932,7759,5270,3472,6164,3805,4006,1002,
