报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2009-12-31,2008-12-31,2007-12-31,
营业总收入(万元),219198,122149,48046,260272,183703,101491,48743,281810,213196,139224,65136,297386,244435,159975,72702,237836,174727,108178,50757,222386,161387,92587,45733,185498,136183,78652,44047,171977,127912,71286,32278,129524,94232,118199,121594,91255,
营业收入(万元),219198,122149,48046,260272,183703,101491,48743,281810,213196,139224,65136,297386,244435,159975,72702,237836,174727,108178,50757,222386,161387,92587,45733,185498,136183,78652,44047,171977,127912,71286,32278,129524,94232,118199,121594,91255,
利息收入(万元),--,--,0,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
已赚保费(万元),--,--,0,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
营业总成本(万元),197509,110898,43645,241879,172547,95901,46624,262526,195091,126116,60717,271811,223480,146925,66862,223049,164773,101812,47790,212185,153424,85276,41452,166981,122027,68139,38212,153831,114937,63599,28867,118959,87241,111035,113664,84271,
营业成本(万元),170670,94375,36652,206589,147671,79398,37731,229422,173423,112034,53917,242116,201473,131187,57960,196660,145226,88171,39882,187790,136595,74175,35550,151551,110611,60809,34367,141629,101716,56814,25737,108752,80428,102072,104405,75864,
利息支出(万元),--,--,0,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
手续费及佣金支出(万元),--,--,0,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
研发费用(万元),4699,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
退保金(万元),--,--,0,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
赔付支出净额(万元),--,--,0,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
提取保险合同准备金净额(万元),--,--,0,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
保单红利支出(万元),--,--,0,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
分保费用(万元),--,--,0,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
营业税金及附加(万元),1639,1028,617,2929,2085,1410,415,3696,629,284,45,703,132,74,42,210,112,60,22,191,126,119,53,172,78,51,28,180,94,41,3,70,45,32,43,12,
销售费用(万元),10512,6905,3005,13232,9465,6940,3920,13515,9476,6414,2954,12680,9039,6427,3635,10256,7383,5438,2969,10113,6190,3828,1991,6047,3184,2225,1293,6343,6013,3941,1477,5029,3346,4756,4349,3708,
管理费用(万元),7398,7314,2759,15414,10202,6302,3351,12569,9283,5938,2810,12174,8826,6563,3117,11592,8257,5298,2923,10831,7604,4875,2358,7143,5891,3714,1522,6175,6759,2699,1272,4007,2324,3447,2680,2426,
财务费用(万元),2523,1552,523,2699,2746,1500,869,3342,1960,1250,509,3840,3441,2157,1556,4466,3640,2689,1766,3084,2270,1972,974,2016,1785,1124,510,-757,-115,-38,44,1112,979,904,1997,2686,
资产减值损失(万元),67,-276,89,1016,379,350,339,-18,320,195,482,298,570,516,552,-134,153,156,228,177,639,307,527,52,479,215,493,261,470,142,334,-12,119,-177,189,-425,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
投资收益(万元),162,126,-244,1769,884,1266,558,2704,553,393,458,14,133,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,2,30,
对联营企业和合营企业的投资收益(万元),23,-13,0,-606,0,-71,0,--,0,393,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
汇兑收益(万元),--,--,0,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
