报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-03-31,2009-12-31,2008-12-31,
营业总收入(万元),259504,172580,76883,330522,238892,158689,72324,292838,174495,109359,48591,251353,161736,107629,50394,219794,159166,106029,49976,223989,159507,103930,41884,154472,112850,64370,29038,128103,95860,63459,30843,116416,26601,88198,76671,
营业收入(万元),259504,172580,76883,330522,238892,158689,72324,292838,174495,109359,48591,251353,161736,107629,50394,219794,159166,106029,49976,223989,159507,103930,41884,154472,112850,64370,29038,128103,95860,63459,30843,116416,26601,88198,76671,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
营业总成本(万元),254849,170250,76448,322113,233427,156612,71845,282323,164982,102870,46623,240569,153740,102608,48931,210701,152539,101644,48349,218887,155617,100774,40991,147711,107379,60737,27533,119148,89152,58790,28850,107948,25085,81924,71316,
营业成本(万元),221601,147776,64926,284690,206943,138000,62585,249050,141938,87485,38512,209445,131523,87485,41498,182353,132451,88907,41769,197319,140360,90711,35807,129591,95046,52845,23727,104508,78339,51542,25198,95153,21809,72122,62773,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
研发费用(万元),5258,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
营业税金及附加(万元),644,362,216,1572,867,664,346,1198,527,322,184,649,403,312,171,531,325,234,95,557,360,224,101,393,272,164,94,381,290,172,76,324,78,254,189,
销售费用(万元),13922,9317,4646,15649,10775,7519,3735,14377,10153,6689,3419,13123,9913,6651,3392,13391,9858,6055,3496,10003,7484,5000,2632,9783,6825,4369,2158,7598,5739,3600,1777,6673,1562,4953,3923,
管理费用(万元),9493,10123,5520,18916,13861,9533,4771,16835,11987,7949,4017,14123,10349,7005,3613,12130,8535,5809,3169,9585,7248,4694,2331,7220,5255,3413,1701,5872,4236,2797,1429,5239,1323,3829,3755,
财务费用(万元),2836,1102,353,776,726,298,163,-142,-225,-188,3,1223,1092,799,316,1157,695,413,-129,233,-297,-146,56,-531,-567,-175,-111,-55,116,314,154,351,161,552,315,
资产减值损失(万元),1094,1569,787,510,255,598,243,1005,602,613,489,2005,460,356,-59,1139,675,226,-51,1191,462,290,65,1255,547,119,-36,843,432,365,217,208,152,215,362,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,22,--,--,--,-22,--,--,--,--,--,--,--,--,--,--,0,0,0,0,-0,
投资收益(万元),2403,2553,384,1199,1351,1423,-216,-5,316,389,42,820,906,904,-77,26,100,63,4,142,0,0,--,--,--,--,--,--,--,--,0,0,0,1,-0,
对联营企业和合营企业的投资收益(万元),57,19,-51,-409,-182,-101,-135,-566,-388,-288,-67,-214,-76,-61,-77,-61,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
营业利润(万元),7255,4763,927,10247,6816,3500,264,10510,9830,6877,2010,11604,8902,5925,1387,9140,6727,4448,1631,5223,3891,3157,893,6761,5471,3633,1505,8955,6708,4669,1993,8468,1516,6275,5354,
营业外收入(万元),473,107,25,153,642,467,218,671,558,295,79,573,375,164,234,872,744,778,212,822,600,403,257,1147,688,418,225,1011,704,495,600,693,399,522,305,
营业外支出(万元),72,68,65,666,691,532,27,117,99,67,16,101,91,58,21,89,49,26,25,193,59,34,8,144,54,12,2,180,125,10,11,285,88,33,160,
非流动资产处置损失(万元),--,--,--,--,30,18,13,98,79,48,14,75,75,56,20,78,46,25,23,126,8,5,1,4,4,0,--,14,7,1,0,217,28,6,2,
利润总额(万元),7657,4802,887,9734,6767,3434,455,11064,10289,7106,2073,12075,9186,6031,1600,9923,7422,5199,1819,5851,4432,3526,1143,7765,6104,4039,1729,9786,7287,5154,2583,8876,1827,6765,5499,
所得税费用(万元),825,728,230,1479,1028,488,131,1998,1982,1399,517,2406,1662,1086,304,1779,1327,934,350,1060,686,658,140,1319,854,503,198,1558,1157,915,480,1587,398,1037,829,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
净利润(万元),6832,4074,658,8255,5739,2946,324,9066,8307,5706,1555,9670,7524,4946,1296,8144,6095,4266,1469,4791,3745,2868,1002,6446,5250,3536,1531,8228,6130,4239,2102,7289,1429,5728,4670,
归属于母公司所有者的净利润(万元),7624,4638,944,8985,6305,3524,671,9679,8247,5523,1605,9079,7338,4761,1287,7753,5867,4139,1434,4861,3795,2895,1013,6430,5258,3536,1531,8228,6130,4239,2102,7289,1429,5728,4670,
