报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),85425,468485,233731,104880,26227,153339,108480,61261,29766,129479,83715,48454,22236,119027,75422,47075,7823,36536,25017,16872,7695,33137,25129,16952,7543,36122,27017,17257,27204,20614,19596,
营业收入(万元),85425,468485,233731,104880,26227,153339,108480,61261,29766,129479,83715,48454,22236,119027,75422,47075,7823,36536,25017,16872,7695,33137,25129,16952,7543,36122,27017,17257,27204,20614,19596,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),83517,421237,215945,97537,24820,140571,98568,56797,27605,119817,78350,45425,21964,103931,65581,39005,5918,30221,20396,13175,5690,25870,18844,12728,5660,28259,21104,13421,22183,16789,16561,
营业成本(万元),70951,363841,182340,77562,18629,113081,79844,45000,21952,97181,62988,35846,17673,86644,54039,32217,4826,23462,16303,10928,5036,21351,16037,10822,4899,23504,17494,11188,18181,14204,14186,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),266,1605,998,723,144,736,298,251,207,222,119,39,31,186,180,129,73,199,168,113,66,294,212,134,82,264,175,101,91,119,131,
销售费用(万元),3090,19499,9498,5216,1924,9529,6386,4034,1691,8783,5799,3463,1259,8548,4549,2951,439,2612,1403,1176,267,2182,1369,927,434,1713,1330,841,919,715,578,
管理费用(万元),7098,30115,22220,13885,3714,15930,11576,7152,3511,12431,8637,5392,3139,8626,6185,3822,903,4939,3240,1531,691,3210,2152,1425,602,2956,1961,1174,2882,1602,1594,
财务费用(万元),2163,1808,872,198,371,-283,50,45,145,404,522,562,-161,-393,579,-106,-324,-1051,-752,-607,-370,-1237,-952,-605,-358,-203,110,83,107,136,72,
资产减值损失(万元),-50,4369,18,-47,39,1579,414,315,98,797,285,122,23,320,49,-10,--,60,33,33,--,70,25,25,--,25,34,34,2,12,-0,
公允价值变动收益(万元),--,72,--,--,--,-135,--,--,--,103,--,--,-4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),558,2142,1683,802,194,640,387,157,-47,329,-3,-15,-11,129,116,5,--,197,135,--,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),67,777,411,230,82,384,387,157,-47,329,-3,-15,--,187,116,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),2442,61069,19468,8145,1600,13273,10298,4621,2114,10093,5362,3013,258,15225,9958,8075,1905,6512,4756,3697,2006,7267,6286,4224,1883,7863,5913,3836,5022,3825,3036,
营业外收入(万元),307,5719,12759,10788,140,4995,3143,2981,315,1615,1199,885,751,648,169,140,2,192,75,69,67,342,313,310,2,1023,205,159,162,82,78,
营业外支出(万元),23,2095,2077,2,0,52,118,92,77,230,264,233,162,112,76,77,1,7,7,1,0,22,22,1,--,0,0,0,3,12,53,
非流动资产处置损失(万元),--,--,0,0,0,14,3,0,0,0,--,--,--,1,--,--,--,1,--,--,--,--,--,--,--,--,--,--,0,7,16,
利润总额(万元),2725,64693,30150,18931,1740,18215,13323,7510,2352,11478,6298,3666,846,15760,10050,8139,1906,6697,4824,3765,2073,7587,6577,4533,1885,8886,6118,3994,5180,3895,3061,
所得税费用(万元),1446,12612,6760,3724,769,5374,3793,1929,712,3045,1933,966,160,4806,2820,2016,315,1087,794,566,311,1222,1060,751,287,1300,940,618,927,565,431,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),1279,52081,23391,15207,971,12842,9530,5581,1640,8433,4365,2700,686,10954,7230,6123,1591,5610,4030,3200,1761,6365,5517,3782,1598,7586,5178,3376,4253,3331,2630,
归属于母公司所有者的净利润(万元),1192,49050,20464,13443,672,9566,7241,4473,1123,6484,3654,2600,796,8411,6054,5025,1591,5613,4033,3202,1763,6391,5540,3805,1612,7634,5215,3402,4284,3331,2630,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-3,--,-48,-48,--,--,--,--,--,--,--,
少数股东损益(万元),88,3031,2927,1764,299,3276,2289,1108,517,1949,711,100,-110,2544,1176,1098,--,-3,-3,-3,-1,-26,-23,-23,-14,-48,-37,-26,-31,--,--,
基本每股收益,0.01,0.5,0.22,0.17,0.01,0.15,0.12,0.07,0.02,0.11,0.06,0.04,0.02,0.24,0.17,0.14,0.04,0.31,0.23,0.18,0.1,0.36,0.31,0.22,0.12,0.67,0.49,0.33,0.42,0.54,0.52,
稀释每股收益,0.01,0.5,0.22,0.17,0.01,0.15,0.12,0.07,0.02,0.11,0.06,0.04,0.02,0.23,0.17,0.14,0.04,0.31,0.23,0.18,0.1,0.36,0.31,0.22,0.12,0.67,0.49,0.33,0.42,0.54,0.52,
