报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),419710,291326,137128,568824,396837,263255,134325,481233,342604,222321,100229,361588,254586,172664,75121,244736,154632,98112,42158,179919,131065,83004,37146,165999,120287,79760,36715,140182,60057,116243,72327,56271,
营业收入(万元),419710,291326,137128,568824,396837,263255,134325,481233,342604,222321,100229,361588,254586,172664,75121,244736,154632,98112,42158,179919,131065,83004,37146,165999,120287,79760,36715,140182,60057,116243,72327,56271,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),461899,321074,136464,516112,359735,236535,121154,415108,294646,187754,86185,303996,212238,142927,61901,187064,115758,74328,32860,134394,98203,61433,27322,114064,83158,53769,25100,92921,39556,70019,42886,35535,
营业成本(万元),347417,238835,106992,408413,288096,189733,97966,336122,239867,153187,70043,251150,177556,119774,51014,158056,99835,63929,28322,119016,87412,54829,24329,99757,72160,46684,21049,79088,33263,59220,35506,29433,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),16803,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),5015,3553,1613,4870,3650,2307,1327,4245,2355,1589,607,2142,1580,982,486,1736,1141,737,305,1416,1084,877,265,1258,940,648,297,986,429,313,79,10,
销售费用(万元),20767,11362,5403,23867,15539,10591,5352,20478,12960,9234,3874,15752,9445,6657,3788,12147,7861,5083,2223,8268,5824,3798,1763,7169,5297,3668,1705,5570,2457,4324,2649,1707,
管理费用(万元),53797,52706,15618,54794,35854,23399,11707,41149,30291,18931,9594,33598,24205,15952,7368,17755,9107,5913,2723,9293,6776,4070,2286,8616,6444,4060,1989,7285,3033,5896,4688,4391,
财务费用(万元),15252,12230,6385,22543,16083,10134,4489,12602,8471,4194,1862,894,-471,-404,-505,-2607,-2201,-1362,-725,-3653,-2962,-2173,-1325,-2740,-1697,-1321,48,-24,341,270,-95,-56,
资产减值损失(万元),2848,2388,452,1626,513,371,314,511,701,620,206,461,-78,-34,-250,-22,15,29,12,55,70,33,3,4,15,31,12,17,33,-4,59,50,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),96217,-5278,-1944,-13848,-5948,-3667,-2728,-8043,-9158,-5540,-4277,1004,511,339,199,-737,18,-63,-87,452,454,-17,-122,1439,1563,1618,-63,-282,-175,-117,--,--,
对联营企业和合营企业的投资收益(万元),-9806,-5278,-1944,-9610,-5948,-3667,-2728,-8043,-9158,-5540,-4277,1002,509,337,197,193,18,-63,-87,184,454,-17,--,-326,-202,-146,--,-283,-175,-117,--,--,
汇兑收益(万元),-402,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),117907,33683,-1248,39046,32076,23905,10443,58082,38800,29027,9767,58596,42859,30076,13419,56934,38892,23721,9211,45976,33316,21554,9701,53374,38692,27609,11552,46979,20326,46107,29441,20736,
营业外收入(万元),628,334,35,1877,309,284,672,28860,941,683,185,860,513,188,161,226,169,66,16,394,306,86,27,243,138,33,20,38,26,1,162,48,
营业外支出(万元),1714,669,61,845,848,819,248,794,427,303,277,439,77,42,135,670,260,148,73,297,267,127,49,88,26,6,--,17,16,98,14,37,
非流动资产处置损失(万元),--,--,--,--,635,685,114,631,364,292,270,420,63,42,6,670,260,148,63,293,267,127,--,87,26,6,--,17,16,56,5,1,
利润总额(万元),116820,33348,-1274,40078,31537,23370,10866,86147,39314,29407,9676,59017,43295,30222,13445,56489,38801,23638,9155,46073,33355,21512,9680,53530,38803,27636,11572,47000,20337,46010,29589,20747,
所得税费用(万元),29455,8698,1385,7672,7634,5654,2879,21484,12120,8751,3395,12699,9125,6213,3032,13659,10303,6350,2246,12536,8454,5559,2472,12909,9138,6371,2813,11762,5068,10765,4891,4723,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
