报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),6558,18500,13739,9395,4661,18047,12571,7249,2742,9099,5988,4272,2635,16157,12342,7811,4411,23439,16507,10567,4530,23751,15749,10895,4464,25751,19491,14464,5647,25643,12479,20683,14872,13195,
营业收入(万元),6558,18500,13739,9395,4661,18047,12571,7249,2742,9099,5988,4272,2635,16157,12342,7811,4411,23439,16507,10567,4530,23751,15749,10895,4464,25751,19491,14464,5647,25643,12479,20683,14872,13195,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),5711,18024,12521,8375,3923,16046,10050,5741,1935,11806,7292,5217,2573,16397,10732,6834,3408,18902,13225,8337,3331,17884,11665,7917,3298,19045,14225,10273,4268,19146,9050,16019,12596,12397,
营业成本(万元),4255,10905,8211,5788,3004,10308,7105,3936,1348,5510,3709,2779,1677,9133,6470,3991,2182,12213,8625,5482,2188,11611,7739,5322,2236,13182,10038,7299,2947,13392,6527,11192,9137,9234,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),257,1513,1192,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),170,397,292,211,122,448,315,194,76,244,64,61,41,153,122,81,55,262,183,129,66,218,136,117,44,225,174,159,31,176,65,189,106,71,
销售费用(万元),764,2759,1952,1234,552,2114,1414,865,353,1814,1041,714,326,2611,1761,1175,569,3324,2265,1443,619,3199,2031,1347,541,3039,2100,1466,566,2531,1096,1861,1562,1198,
管理费用(万元),620,2352,1394,1612,708,3127,2002,1327,588,3242,2299,1643,744,3825,2259,1530,667,3107,2133,1382,668,2964,1965,1346,702,2773,1980,1281,649,2614,1225,2491,1708,1401,
财务费用(万元),-16,-46,-34,-18,2,-269,-261,-202,-103,-470,-349,-259,-143,-753,-589,-387,-197,-802,-613,-416,-195,-918,-745,-495,-286,-690,-441,-166,39,211,107,83,105,-27,
资产减值损失(万元),-340,145,-486,-452,-464,318,-525,-379,-327,1467,529,279,-73,1428,709,444,131,797,633,316,-15,809,538,279,61,517,375,234,36,222,30,204,-22,520,
公允价值变动收益(万元),144,211,166,31,191,141,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),385,916,728,576,220,108,-2,-77,-52,227,29,22,37,175,180,120,51,217,167,102,71,81,4,--,--,--,--,--,--,--,--,--,--,--,
