报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),168240,696435,520916,329079,123532,504142,399114,248986,108811,470243,380724,262778,87224,446101,367366,248572,95643,425720,340725,218252,82114,345662,273968,182438,66398,319411,165446,282888,219489,209719,
营业收入(万元),168240,696435,520916,329079,123532,504142,399114,248986,108811,470243,380724,262778,87224,446101,367366,248572,95643,425720,340725,218252,82114,345662,273968,182438,66398,319411,165446,282888,219489,209719,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),166697,659492,489304,307024,116886,460798,358585,224474,100929,442296,358373,251211,85308,424535,349445,234222,90147,407169,326096,207438,79585,328407,259170,172857,63176,302795,156894,272442,212268,203426,
营业成本(万元),117779,499192,375669,237161,88555,338970,267023,164629,76961,350738,283749,197005,66800,336893,279575,188639,73962,329166,265339,171335,64842,273451,216898,146174,53221,259104,136567,242184,192471,184185,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1140,4762,2395,1779,1188,2867,1771,1426,743,1822,1449,1007,362,1521,1070,565,370,1206,875,544,206,853,696,376,210,719,251,93,--,--,
销售费用(万元),15926,57698,40260,24924,11636,62871,44764,27204,10537,48726,38242,26917,8795,44444,31608,20589,8234,33763,27583,17853,7226,27717,21578,13396,4727,19643,9162,14071,7922,7323,
管理费用(万元),18610,60700,48160,30256,13109,52283,38852,24113,10896,39628,31655,21214,8880,39055,30001,19192,7551,35955,27205,14675,5965,24737,16794,9927,4366,18771,9298,14513,9952,9603,
财务费用(万元),8057,18452,11474,4269,510,-2217,-1070,-735,541,-1542,-2144,-1562,323,-511,209,-71,-121,1917,1165,1449,751,-943,784,1047,413,4052,1128,1695,1709,1785,
资产减值损失(万元),5186,18688,11346,8635,1888,6025,7244,7836,1251,2924,5421,6630,147,3133,6981,5308,151,5162,3928,1582,596,2593,2421,1937,239,506,488,-114,214,530,
公允价值变动收益(万元),2103,1256,-1120,-761,-129,2363,1449,1250,1445,-3211,-2404,-307,-1057,246,131,-1880,-1905,375,835,212,806,236,-437,-577,-329,-2242,-2402,2252,521,-258,
投资收益(万元),3551,6782,4339,1893,96,-1465,-1750,-1508,-1456,4255,3829,3504,2432,1264,1228,1163,958,3519,2406,184,161,375,254,320,472,2147,1155,2205,277,-627,
对联营企业和合营企业的投资收益(万元),394,926,735,241,14,120,151,-0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),8042,45749,34830,23187,6613,44242,40228,24254,7871,28991,23776,14763,3291,23076,19280,13634,4548,22445,17870,11210,3495,17866,14614,9323,3365,16520,7306,14904,8019,5408,
营业外收入(万元),302,551,944,535,345,2506,1278,614,175,2533,422,343,218,967,749,211,84,935,732,508,260,751,536,453,70,768,448,710,554,350,
营业外支出(万元),63,1077,615,214,66,856,324,180,96,606,340,232,85,226,171,88,44,412,80,44,31,63,51,46,36,73,59,62,26,65,
非流动资产处置损失(万元),--,--,--,--,--,565,--,41,--,160,--,--,--,85,-58,--,--,336,--,--,--,--,--,--,--,--,--,--,--,--,
利润总额(万元),8280,45223,35159,23508,6892,45891,41182,24688,7950,30918,23859,14874,3424,23817,19858,13758,4588,22968,18523,11674,3724,18554,15100,9730,3399,17215,7694,15552,8546,5692,
所得税费用(万元),-307,5334,3228,2854,1285,6642,7884,3958,1965,4215,3683,1737,554,3502,2813,2063,699,3398,2812,1861,564,2202,2287,1457,515,2646,1170,2403,1492,473,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),8588,39889,31932,20653,5607,39249,33298,20730,5985,26703,20175,13137,2870,20315,17045,11694,3888,19570,15711,9813,3160,16352,12813,8274,2884,14569,6523,13149,7054,5219,
归属于母公司所有者的净利润(万元),8774,38149,30023,18776,4820,30484,27168,17086,4181,26703,20175,13137,2870,20315,17045,11694,3888,19570,15711,9813,3160,16352,12813,8274,2884,14569,6523,13149,7054,5219,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-187,1740,1908,1877,787,8765,6130,3644,1804,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.14,0.61,0.7,0.58,0.26,1.84,1.64,1.03,0.25,1.61,1.22,0.79,0.17,1.23,1.03,0.71,0.24,1.18,0.95,0.59,0.19,1.08,0.87,0.6,0.23,1.17,0.53,1.06,0.57,0.42,
稀释每股收益,0.14,0.61,0.7,0.58,0.26,1.84,1.64,1.03,0.25,1.61,1.22,0.79,0.17,1.23,1.03,0.71,0.24,1.18,0.95,0.59,0.19,1.08,0.87,0.6,0.23,1.17,0.53,1.06,0.57,0.42,
