报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),88855,63513,31276,187336,155322,122736,57892,164186,110205,57969,17728,104949,83272,59718,26312,149707,116277,78154,34823,148688,107903,71455,31960,127436,100297,67343,30645,155023,81350,132171,78285,93942,
营业收入(万元),143,71,34,63639,63503,63252,28996,82325,62454,39083,17728,104949,83272,59718,26312,149707,116277,78154,34823,148688,107903,71455,31960,127436,100297,67343,30645,155023,81350,132171,78285,93942,
利息收入(万元),43784,30362,16460,60837,45313,30381,14708,33551,19009,8391,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),44928,33080,14781,62859,46506,29103,14188,48309,28743,10495,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),118068,77423,37881,170968,136938,109497,50613,128412,87485,46849,16910,102318,79782,56176,24997,138612,107060,71832,32108,138082,99983,66519,29836,120240,94130,62652,28556,147135,76726,123391,69166,90048,
营业成本(万元),0,0,0,55504,55641,55641,24929,68449,52428,32924,14942,90690,71443,50864,22778,125931,97759,65694,29499,126463,92187,61508,27624,109595,86440,57820,26414,136604,71734,114935,63297,82781,
利息支出(万元),20772,12629,5489,17757,12585,8469,3945,10763,6742,2755,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),10574,7989,3522,15408,11821,7265,3386,10187,5910,2092,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
