报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),33151,135481,101428,70314,35041,146062,103535,69595,34183,111232,70280,42685,12991,54393,39738,29486,14652,62217,46040,32444,15923,58056,--,29143,13751,55562,54765,56247,38036,
营业收入(万元),33151,135481,101428,70314,35041,146062,103535,69595,34183,111232,70280,42685,12991,54393,39738,29486,14652,62217,46040,32444,15923,58056,--,29143,13751,55562,54765,56247,38036,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),34061,145755,100023,68631,34239,144889,101313,67829,32318,104851,65717,39431,11374,50884,35760,26131,12712,55540,41025,28930,14470,51968,--,25955,12188,48968,48859,49122,33160,
营业成本(万元),27314,107969,79479,54791,27369,111585,79030,52457,25054,82209,50851,30275,8787,37668,27546,20117,10110,41701,30738,21359,10488,39173,--,19587,9213,37202,37849,38174,25667,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),1335,6324,4935,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),354,1335,884,574,289,1470,1222,739,275,1179,410,262,99,418,324,271,126,400,318,244,123,476,--,237,118,522,402,235,240,
销售费用(万元),1458,4261,3802,2220,1258,4948,4178,2875,1598,3665,2849,1506,534,2076,1691,1116,634,2619,2019,1375,641,2524,--,1091,444,2226,2374,2705,1614,
管理费用(万元),2916,13357,9101,9517,4810,20452,14970,10332,4785,15288,10151,6513,1980,9020,6296,4489,1865,10353,7499,5530,2913,8592,--,4466,2067,7774,7011,6955,4571,
财务费用(万元),548,2408,1567,1347,605,2733,1673,1405,558,2245,1354,756,13,-128,-81,-60,7,85,190,180,188,965,--,525,253,1251,1216,908,689,
资产减值损失(万元),136,10099,254,183,-93,3702,240,21,48,266,103,118,-39,1830,-15,198,-30,383,262,243,116,238,--,48,93,-6,7,147,380,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,-10,--,--,--,-16,--,-5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
