报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
营业总收入(万元),95198,57889,23064,150599,79763,54726,22473,127775,67106,44910,18410,93111,47167,29493,12320,61527,32287,21765,9576,46816,30152,19652,8843,31300,17814,11368,5946,17881,10259,7409,3818,12125,7178,5717,7899,4942,3140,
营业收入(万元),95198,57889,23064,150599,79763,54726,22473,127775,67106,44910,18410,93111,47167,29493,12320,61527,32287,21765,9576,46816,30152,19652,8843,31300,17814,11368,5946,17881,10259,7409,3818,12125,7178,5717,7899,4942,3140,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
营业总成本(万元),79108,49029,20474,110578,65266,45227,17710,98661,55949,37956,15031,71127,39253,24319,10091,47519,27847,18320,7308,37745,25781,16653,6796,23147,13547,8305,4145,12021,6928,4948,2291,8209,5240,4071,5800,3939,3000,
营业成本(万元),51163,31820,12386,75653,43180,29594,11124,68630,37111,26027,9140,49308,24840,15555,6354,31782,17609,11275,4176,25928,17819,11393,4709,16838,10026,5958,2913,8447,4894,3459,1423,5187,3140,2620,3759,2556,1753,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
研发费用(万元),7135,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
营业税金及附加(万元),564,409,154,1399,811,610,184,813,333,259,133,688,354,226,92,416,182,123,60,163,106,93,24,648,567,439,145,430,278,168,87,199,104,93,140,77,51,
销售费用(万元),8530,5318,2537,9288,5984,3955,1800,7681,4999,2970,1043,5180,2969,1763,670,3873,2285,1440,709,2924,1718,886,413,2018,951,523,251,1002,571,291,123,521,325,180,295,279,255,
管理费用(万元),12294,12162,5566,21745,15220,10606,4494,16989,12925,8440,4417,15047,10321,6526,2998,10862,7512,5217,2404,9046,6531,4537,1802,4597,2827,1946,1155,3332,2060,1516,681,2257,1642,1153,1598,981,947,
财务费用(万元),-35,-172,-113,-508,-192,273,227,-727,305,294,339,411,171,-43,-23,-38,-17,-11,-41,-536,-454,-310,-151,-1019,-816,-553,-319,-1248,-864,-494,-24,-3,0,-4,3,2,6,
资产减值损失(万元),-543,-508,-56,3000,262,189,-118,5274,276,-34,-41,493,600,291,--,625,275,275,--,220,60,55,--,65,-8,-8,--,58,-11,8,--,48,29,29,5,43,-11,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
投资收益(万元),2433,1718,757,3430,2501,2117,829,1428,461,-337,-29,-121,-177,-93,-47,-199,-136,-92,-40,-207,-161,-109,-63,--,--,--,--,--,--,--,--,--,0,0,2,0,0,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-92,--,--,--,-109,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
营业利润(万元),21412,12109,4245,45972,18108,12111,5592,30541,11618,6617,3351,21863,7736,5082,2182,13809,4304,3354,2228,8865,4210,2891,1984,8153,4266,3063,1801,5860,3331,2461,1527,3916,1938,1646,2100,1003,140,
营业外收入(万元),225,225,1,3860,575,498,373,6083,1577,988,341,2893,1674,1190,465,1035,1033,473,158,864,561,275,44,223,118,50,--,885,319,312,80,958,577,403,835,479,333,
营业外支出(万元),17,12,12,186,179,159,89,8,7,3,0,17,4,2,1,99,23,20,20,8,8,0,--,0,--,--,--,4,4,4,--,--,0,0,34,11,0,
非流动资产处置损失(万元),--,--,--,--,29,9,9,7,7,3,--,14,--,--,--,--,--,--,--,2,--,--,--,--,--,--,--,--,--,--,--,--,0,0,6,0,0,
利润总额(万元),21620,12321,4234,49646,18504,12450,5876,36616,13188,7601,3692,24739,9406,6270,2646,14745,5314,3808,2367,9721,4762,3165,2029,8376,4384,3113,1801,6741,3646,2769,1607,4874,2515,2049,2902,1471,473,
所得税费用(万元),2892,1511,686,5708,2442,1971,1118,3230,1232,712,372,1941,970,772,273,1260,309,210,238,729,572,282,257,1301,632,494,234,984,462,376,211,657,286,271,405,157,38,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
净利润(万元),18728,10811,3548,43937,16062,10479,4758,33385,11956,6890,3320,22798,8436,5498,2373,13485,5005,3598,2129,8992,4190,2883,1772,7075,3752,2619,1567,5757,3184,2393,1396,4217,2229,1778,2497,1313,435,
归属于母公司所有者的净利润(万元),18243,10623,3607,43079,15728,10366,4883,32790,12016,6929,3331,22852,8446,5502,2397,13563,5085,3647,2157,9024,4205,2891,1772,7075,3752,2619,1567,5757,3184,2393,1396,4217,2229,1778,2497,1314,435,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,254,--,--,--,--,--,--,0,0,0,0,0,
少数股东损益(万元),485,187,-59,858,334,113,-126,595,-60,-39,-11,-54,-10,-5,-24,-78,-80,-50,-28,-32,-14,-8,--,--,--,--,--,--,--,--,--,--,0,0,-0,-0,0,
基本每股收益,0.17,0.1,0.03,0.41,0.15,0.1,0.08,0.53,0.2,0.12,0.06,0.41,0.15,0.1,0.09,0.52,0.2,0.14,0.16,0.73,0.34,0.24,0.15,0.58,0.31,0.32,0.29,1.45,0.81,0.62,0.34,1.39,0.73,0.59,1.2,0.66,0.87,
稀释每股收益,0.17,0.1,0.03,0.41,0.15,0.1,0.08,0.53,0.2,0.12,0.06,0.4,0.15,0.1,0.08,0.52,0.19,0.14,0.16,0.72,0.34,0.23,0.15,0.58,0.31,0.32,0.29,1.45,0.81,0.62,0.34,1.39,0.73,0.59,1.2,0.66,0.87,
