报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
营业总收入(万元),81923,306519,219201,142071,62932,238498,174211,119594,54071,222938,161383,106227,53496,274166,223073,149919,68140,236642,158369,99947,45578,202124,150254,91087,37715,124403,86517,54555,25061,107800,77519,22318,65576,70352,54627,
营业收入(万元),81923,306519,219201,142071,62932,238498,174211,119594,54071,222938,161383,106227,53496,274166,223073,149919,68140,236642,158369,99947,45578,202124,150254,91087,37709,124403,86517,54555,25061,107800,77519,22318,65576,70352,--,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,
营业总成本(万元),80500,299834,211398,137417,60812,232698,168986,116450,52855,217534,156490,103911,53015,270134,218460,146525,66803,228037,152282,95420,44062,188956,140197,84919,36149,114683,78837,49847,23328,97478,70026,20579,59596,65550,49889,
营业成本(万元),73092,268255,189644,123528,54104,199973,146460,100397,44127,184883,133699,88884,45435,237986,194271,130324,58875,197020,128240,79039,35530,154672,113434,68201,27680,86186,58395,36194,16935,73832,53505,15017,43721,51936,38649,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,
营业税金及附加(万元),269,948,685,425,208,732,223,160,72,317,235,151,63,403,311,212,94,565,452,340,143,2734,2540,1593,728,3029,2206,1401,636,2565,1788,535,1679,1368,1099,
销售费用(万元),906,3939,2709,1689,834,4584,3114,1969,1014,4999,3609,2497,1226,5538,5438,3570,1962,4663,5624,3710,1872,3889,4375,2302,1271,3794,2877,2584,1158,3253,2389,774,2518,2105,1615,
管理费用(万元),4443,22458,15223,9854,5054,27314,19147,13701,7419,26162,18608,12364,6332,24916,18085,12243,5972,24400,17692,11703,6219,26072,18843,12166,6236,20543,14186,8951,4355,16931,12064,4062,11190,9245,7782,
财务费用(万元),1973,3649,2545,1382,452,-863,-286,-109,104,-313,108,176,106,503,205,48,-73,884,582,580,244,1176,822,562,310,936,857,630,313,934,552,107,447,747,437,
资产减值损失(万元),-183,586,592,539,160,957,328,332,118,1486,230,-162,-147,789,149,128,-27,505,-308,49,56,414,182,95,-77,195,315,87,-70,-38,-272,84,41,149,307,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,--,0,0,0,--,
投资收益(万元),-71,2081,153,169,42,304,61,-49,-95,154,27,99,-9,1494,1011,209,17,-385,241,143,36,221,-91,-36,-62,561,345,217,117,356,293,71,108,287,122,
对联营企业和合营企业的投资收益(万元),--,25,39,88,12,107,61,-49,-95,155,27,99,-9,683,1006,204,17,-385,241,163,36,299,-91,--,-62,560,345,--,117,350,286,68,111,255,122,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,
营业利润(万元),1763,11963,8516,4967,2161,6105,5287,3096,1121,5558,4920,2416,472,5526,5624,3603,1354,8220,6328,4669,1552,13389,9966,6132,1504,10281,8025,4926,1850,10678,7786,1810,6088,5089,4860,
营业外收入(万元),134,238,2488,2225,245,4700,4415,2235,781,3343,1656,1411,995,1400,915,615,322,1434,786,641,298,2208,1261,585,244,2171,594,293,178,1241,523,283,396,156,22,
营业外支出(万元),40,746,690,646,55,622,308,243,43,482,259,146,35,249,166,55,14,374,152,98,7,149,95,50,23,109,91,57,52,68,67,44,100,69,24,
