报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),195015,120779,44479,296603,228875,165442,80376,226273,158609,110513,59462,174971,130473,87751,38564,43686,22724,9067,4567,21203,15035,10731,3685,25018,20497,15208,6035,34381,26746,15160,18157,9168,4108,
营业收入(万元),195015,120779,44479,296603,228875,165442,80376,226273,158609,110513,59462,174971,130473,87751,38564,43686,22724,9067,4567,21203,15035,10731,3685,25018,20497,15208,6035,34381,26746,15160,18157,9168,4108,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),192015,117270,42721,286596,221413,159493,75488,212743,148596,102365,55551,163678,120885,80843,33738,38744,20158,8534,4209,19463,13288,9537,3362,22198,18072,13690,5635,28675,22277,12877,14776,7578,3471,
营业成本(万元),160007,100326,34889,245154,193419,140661,67843,181860,128691,89278,49455,143598,107377,72662,29769,30871,16574,6414,3236,14615,10304,7594,2528,17526,14633,11185,4508,23952,19018,10697,12828,6622,3073,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),3137,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),909,613,193,905,383,369,98,582,151,94,49,341,232,190,107,248,167,51,28,100,69,65,12,201,148,110,34,140,113,47,81,82,13,
销售费用(万元),5426,3254,1865,6717,4733,3030,1467,5829,4346,3095,1529,3727,1899,1533,302,745,473,317,190,757,604,389,206,888,671,456,148,816,520,356,518,128,49,
管理费用(万元),16454,9735,4532,22944,15900,10789,4453,18275,10660,6968,2949,11271,8669,4679,2092,4320,2081,1277,625,2572,1774,1207,539,2675,1908,1384,703,2186,1570,1045,1027,361,251,
财务费用(万元),6347,4336,2095,8719,6684,4054,1374,3401,3076,1876,936,2005,1333,753,383,1020,657,282,134,497,385,174,70,281,233,146,163,1049,713,428,336,167,41,
资产减值损失(万元),-264,-994,-852,2157,295,591,253,2796,1671,1055,632,2737,1375,1026,1085,1540,206,193,-5,922,152,108,7,627,480,409,80,531,342,303,-14,218,45,
