报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,
营业总收入(万元),88582,343637,267251,173735,85176,242467,184451,122578,52526,178914,130747,88624,43834,193415,144220,96826,52426,150999,96275,80620,64223,
营业收入(万元),88582,343637,267251,173735,85176,242467,184451,122578,52526,178914,130747,88624,43834,193415,144220,96826,52426,150999,96275,80620,64223,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),56764,245387,171084,111212,53436,235991,175732,117005,47598,154539,109236,72785,35183,161063,113521,69445,34475,126071,82013,58982,45544,
营业成本(万元),11348,69455,52859,38229,19919,113991,87522,57420,20465,69862,49041,32116,13939,59815,40846,25072,12518,43048,26687,13661,9280,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),299,1060,814,570,247,404,289,286,249,489,390,247,92,400,282,206,124,890,768,1493,1675,
销售费用(万元),19434,95391,64094,38601,15310,63890,49916,35580,20166,68228,51528,33401,18235,71480,53050,30554,16665,60137,41970,29207,20235,
管理费用(万元),18915,66673,44926,28318,15622,44352,30851,19654,6718,23078,14449,9483,4617,26423,15683,10643,4874,18794,10736,15125,13500,
财务费用(万元),2531,9641,6598,4091,2540,5505,3354,720,454,-7541,-5410,-2468,-1309,1071,773,751,438,1307,654,-564,573,
资产减值损失(万元),4239,3167,1793,1403,-202,7848,3801,3345,-455,422,-761,5,-391,1874,2886,2220,-143,1895,1199,59,281,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),2388,44402,2134,922,-314,49261,43246,18473,4990,15879,5173,3126,--,-1,-1,-1,--,17040,--,--,31,
对联营企业和合营企业的投资收益(万元),--,658,--,--,--,-494,--,--,--,-706,--,--,--,-1,-1,-1,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),34581,146335,101065,66101,31426,55737,51966,24046,9919,40255,26685,18966,8651,32351,30699,27379,17950,41969,14262,21639,18710,
营业外收入(万元),142,332,336,243,734,1340,837,818,157,1445,758,744,7,695,122,117,4,2265,445,458,147,
营业外支出(万元),29,173,65,14,7,137,117,115,106,104,108,50,24,77,16,4,2,32,26,61,109,
非流动资产处置损失(万元),--,--,54,7,--,20,5,5,--,9,9,5,4,11,11,0,--,32,26,60,--,
利润总额(万元),34695,146494,101336,66330,32153,56939,52686,24749,9970,41596,27334,19660,8634,32969,30805,27492,17952,44201,14680,22036,18748,
所得税费用(万元),1336,4626,14613,11258,5699,2414,2541,-449,298,1067,1101,178,799,330,5595,4320,2938,611,2345,199,523,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
