报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),29156,131991,83940,52807,22486,97268,59648,40390,12976,93862,56717,35958,13454,99593,64695,41924,8571,110110,75871,65599,
营业收入(万元),29156,131991,83940,52807,22486,97268,59648,40390,12976,93862,56717,35958,13454,99593,64695,41924,8571,110110,75871,65599,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),28636,129137,83445,52941,23988,95097,58693,40161,12822,89323,54477,34782,13011,92233,60809,40292,8949,104310,69663,59636,
营业成本(万元),22717,101488,62682,38584,16281,73775,44828,29734,8068,71220,42165,25570,9259,76927,49434,32266,5571,89566,55545,48409,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),196,452,262,196,82,453,65,26,4,153,62,53,31,257,70,28,7,213,721,1142,
销售费用(万元),2147,10638,8354,6084,4118,10188,7943,5766,2858,8233,6600,4820,2638,6843,5280,3687,2397,6526,6359,5040,
管理费用(万元),3206,13102,10126,6867,3228,10564,6479,4347,1881,8978,5158,4048,840,6630,4939,3378,737,6996,6250,4812,
财务费用(万元),451,2519,1476,671,176,-168,-339,-292,-160,158,194,189,98,815,588,348,121,588,555,170,
资产减值损失(万元),-80,937,544,540,104,285,-284,579,172,580,298,103,145,760,498,586,116,421,232,62,
公允价值变动收益(万元),-163,-168,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),-115,-74,-30,-0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),-115,-74,-30,0,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),245,2651,483,-130,-1502,2171,956,229,154,4539,2241,1176,442,7360,3886,1632,-378,5800,6208,5963,
营业外收入(万元),0,270,276,276,24,81,33,27,18,188,128,125,--,97,52,2,0,191,163,171,
营业外支出(万元),1,37,17,11,8,125,5,3,0,61,10,--,--,16,0,--,--,4,12,3,
非流动资产处置损失(万元),--,--,13,9,8,5,5,3,0,13,--,--,--,0,--,--,--,4,11,3,
利润总额(万元),244,2884,741,134,-1487,2128,984,253,172,4666,2358,1301,442,7441,3938,1634,-378,5988,6360,6132,
所得税费用(万元),11,-524,-476,-341,-36,-183,-195,-220,-26,543,-31,-55,67,833,281,-37,45,664,1093,1010,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),234,3408,1218,476,-1451,2311,1179,473,198,4123,2389,1355,376,6608,3657,1671,-424,5324,5267,5122,
归属于母公司所有者的净利润(万元),128,3502,1135,446,-1451,2311,1179,473,198,4123,2389,1355,376,6608,3657,1671,-424,5324,5267,5122,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),105,-94,83,29,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0,0.08,0.03,0.01,-0.03,0.05,0.09,0.04,0.01,0.35,0.21,0.13,0.04,0.66,0.37,0.17,-0.04,0.53,0.53,0.51,
稀释每股收益,0,0.08,0.03,0.01,-0.03,0.05,0.09,0.04,0.01,0.35,0.21,0.13,0.04,0.66,0.37,0.17,-0.04,0.53,0.53,0.51,
