报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),28106,116233,70022,46770,22241,84790,54822,34580,15995,61546,40660,26833,12990,45221,32172,9441,33627,25212,10635,
营业收入(万元),28106,116233,70022,46770,22241,84790,54822,34580,15995,61546,40660,26833,12990,45221,32172,9441,33627,25212,10635,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),24998,112664,67216,44491,20994,76166,47338,29605,12497,50777,30842,19919,8951,35291,22628,6134,25790,19291,10205,
营业成本(万元),15587,73951,40212,26243,12322,45434,28345,17148,7802,29811,18873,11997,6226,20740,14649,4445,16076,12535,6158,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),63,472,355,242,118,464,312,212,122,255,184,107,40,206,168,51,151,182,81,
销售费用(万元),1477,4645,4065,2762,1213,4672,3140,2066,528,2076,1175,845,343,1309,803,193,820,685,472,
管理费用(万元),6555,28299,20141,13797,6642,26388,16862,11138,4147,18786,10730,6877,2460,12653,6923,1508,7799,5443,3349,
财务费用(万元),1278,3195,2152,1314,684,-1018,-1396,-1037,-101,-385,-227,8,-165,308,-72,-132,936,451,60,
资产减值损失(万元),37,2102,291,132,15,225,74,79,--,233,108,85,47,73,157,70,7,-5,84,
公允价值变动收益(万元),--,479,779,790,--,-140,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),-305,795,-34,300,-52,379,147,112,20,-147,-45,-56,-96,9,80,133,-8,4,5,
对联营企业和合营企业的投资收益(万元),--,784,--,352,-1,-146,193,54,-24,-147,-45,-56,-96,9,80,133,-8,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),3737,7887,5109,4628,1195,8864,7631,5088,3518,10623,9773,6858,3943,9939,9623,3441,7830,5925,434,
营业外收入(万元),11,95,2179,1519,1552,4355,3015,2970,336,2296,1226,591,407,2157,956,243,3073,237,253,
营业外支出(万元),26,56,119,118,19,91,90,2,1,106,106,103,--,1,1,1,49,12,--,
非流动资产处置损失(万元),--,--,18,18,5,9,8,0,--,--,--,--,--,--,--,--,0,--,--,
利润总额(万元),3722,7926,7168,6029,2728,13127,10557,8055,3853,12813,10893,7346,4350,12095,10578,3683,10854,6151,688,
所得税费用(万元),81,312,86,413,136,1121,737,749,673,1175,771,573,640,829,551,297,1186,773,35,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),3641,7614,7082,5616,2591,12006,9820,7307,3180,11638,10122,6772,3710,11266,10027,3386,9668,5377,653,
归属于母公司所有者的净利润(万元),3797,7804,7319,5780,2649,12028,9871,7356,3269,11661,10123,6772,3710,11266,10027,3386,9668,5377,653,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-156,-191,-237,-164,-58,-22,-51,-49,-89,-23,-1,--,--,--,--,--,--,--,--,
基本每股收益,0.09,0.2,0.18,0.14,0.06,0.3,0.25,0.18,0.33,1.55,1.35,0.9,0.49,1.5,1.34,0.45,1.29,0.72,--,
稀释每股收益,0.09,0.19,0.18,0.14,0.06,0.3,0.25,0.18,0.33,1.55,--,0.9,--,1.5,--,--,1.29,0.72,--,
