报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),35052,20690,8399,45747,26926,16673,7215,35061,13469,37597,26801,15970,
营业收入(万元),35052,20690,8399,45747,26926,16673,7215,35061,13469,37597,26801,15970,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),31483,19306,8177,43783,25726,16376,7384,33888,13539,32835,23561,12907,
营业成本(万元),20337,11785,4666,27332,15275,9647,4220,20601,8249,21039,15281,8200,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),383,250,148,362,198,108,45,289,92,321,114,159,
销售费用(万元),5528,3756,1608,8495,5207,3238,1528,6153,2620,4744,3727,2177,
管理费用(万元),5750,3603,1469,6565,4643,3096,1434,5792,2518,5571,3824,1939,
财务费用(万元),-136,69,107,570,408,293,157,515,243,630,308,14,
资产减值损失(万元),-380,-156,179,458,-5,-5,--,538,-182,528,307,418,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),5433,2886,222,1965,1200,297,-170,1173,-69,4762,3239,3063,
营业外收入(万元),287,238,864,3077,1855,1293,775,2554,1543,670,15,124,
营业外支出(万元),0,0,0,--,--,--,--,6,2,1,5,--,
非流动资产处置损失(万元),--,--,--,--,--,--,--,5,2,--,5,--,
利润总额(万元),5720,3124,1085,5042,3054,1590,605,3722,1472,5430,3250,3187,
所得税费用(万元),992,555,207,670,534,285,98,492,236,666,453,479,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),4728,2569,878,4372,2521,1305,507,3230,1235,4764,2797,2708,
归属于母公司所有者的净利润(万元),4728,2569,878,4372,2521,1305,507,3230,1235,4764,2797,2708,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.53,0.31,0.12,0.58,0.34,0.17,0.07,0.44,0.17,0.66,--,--,
稀释每股收益,0.53,0.31,--,0.58,0.34,0.17,--,0.44,0.17,0.66,--,--,
