报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),19320,13037,5785,26968,18885,12338,4617,27736,18773,30158,27489,21268,13337,
营业收入(万元),19320,13037,5785,26968,18885,12338,4617,27736,18773,30158,27489,21268,13337,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),18404,11901,5120,21957,14712,9552,3430,20782,13681,23438,23213,18587,11981,
营业成本(万元),13122,8936,4045,17192,11996,7814,2964,16941,11299,20078,20237,16160,10163,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),385,266,118,494,214,151,61,333,233,318,271,121,89,
销售费用(万元),3110,1619,510,2575,1373,719,112,1288,818,1550,1089,896,652,
管理费用(万元),1619,992,498,1715,1236,843,373,1893,1203,1629,1614,1236,1057,
财务费用(万元),-99,-91,-50,-307,-236,-125,-79,3,8,-150,5,77,79,
资产减值损失(万元),267,180,--,288,129,151,--,324,119,13,-2,97,-58,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),63,54,--,--,--,--,--,28,26,80,294,110,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),1492,1190,665,5011,4173,2786,1186,6982,5118,6800,4570,2790,1356,
营业外收入(万元),2,406,238,462,222,90,30,222,157,310,267,196,289,
营业外支出(万元),--,--,--,--,--,--,--,7,6,2,19,13,2,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,6,--,--,
利润总额(万元),1494,1596,903,5473,4394,2875,1216,7196,5269,7108,4817,2973,1643,
所得税费用(万元),204,204,137,748,638,413,184,1129,925,1065,726,465,262,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),1289,1392,765,4725,3757,2463,1032,6068,4344,6042,4091,2508,1381,
归属于母公司所有者的净利润(万元),1289,1392,765,4725,3757,2463,1032,6068,4344,6042,4091,2526,1390,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,-26,-13,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,-17,-9,
基本每股收益,0.04,0.05,0.09,0.67,0.56,0.38,0.16,0.93,0.67,0.93,0.68,0.69,0.61,
稀释每股收益,0.04,0.05,0.09,0.67,0.56,0.38,0.16,0.93,0.67,0.93,0.68,0.69,0.61,
