报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),34868,20803,9932,39864,28912,18461,8048,37348,27098,17945,37519,40306,32434,27936,
营业收入(万元),34868,20803,9932,39864,28912,18461,8048,37348,27098,17945,37519,40306,32434,27936,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),31924,19119,8822,35992,26114,16720,7175,34309,24836,16556,35013,37214,28363,24518,
营业成本(万元),26403,15545,7426,30270,21963,14201,5988,29666,21596,14532,29923,31587,24853,21491,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),276,187,85,249,78,55,23,194,134,92,177,186,104,138,
销售费用(万元),669,397,168,835,592,361,149,849,692,501,868,757,702,567,
管理费用(万元),3905,2508,1022,3906,2935,1717,869,3255,2230,1436,3244,3294,2516,1921,
财务费用(万元),601,308,111,363,463,283,170,354,174,39,689,1214,476,327,
资产减值损失(万元),70,174,10,370,82,104,-23,-9,10,-44,112,175,-288,74,
公允价值变动收益(万元),--,--,--,1,-91,-150,--,71,-12,142,-71,--,--,--,
投资收益(万元),--,--,-1,-216,--,--,--,--,0,23,--,3,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),2987,1721,1109,3656,2708,1591,872,3110,2249,1555,2435,3095,4071,3418,
营业外收入(万元),107,87,87,1000,168,155,20,90,42,17,272,479,109,84,
营业外支出(万元),3,2,0,234,39,21,6,46,56,23,54,51,89,155,
非流动资产处置损失(万元),2,2,--,5,7,1,2,6,--,6,13,4,35,121,
利润总额(万元),3092,1806,1196,4423,2836,1725,887,3153,2235,1549,2653,3523,4091,3348,
所得税费用(万元),411,250,181,635,497,281,139,523,296,230,443,614,664,240,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),2681,1555,1015,3788,2339,1444,748,2630,1939,1319,2210,2909,3428,3107,
归属于母公司所有者的净利润(万元),2683,1598,1006,3754,2312,1429,742,2655,1951,1292,2199,2888,3252,2951,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,229,265,
少数股东损益(万元),-2,-43,9,34,27,15,6,-25,-12,27,11,20,176,156,
基本每股收益,0.13,0.08,0.11,0.47,0.31,0.2,0.1,0.37,0.27,0.18,0.31,0.41,0.46,--,
稀释每股收益,0.13,0.08,0.11,0.47,0.31,0.2,0.1,0.37,0.27,0.18,0.31,0.41,0.46,--,
