报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),88297,60901,108234,81594,31344,84009,77735,72325,
营业收入(万元),88297,60901,108234,81594,31344,84009,77735,72325,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),76131,52222,94588,70046,26066,78710,74773,70496,
营业成本(万元),53084,36616,67700,50954,19336,56354,55678,52233,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),1076,676,1323,808,251,563,613,608,
销售费用(万元),1870,1319,2553,1876,625,2343,2200,1778,
管理费用(万元),17350,11666,21521,15216,4710,17904,13924,13391,
财务费用(万元),2843,1789,1217,1218,740,1336,1943,2260,
资产减值损失(万元),-92,157,274,-26,404,211,415,225,
公允价值变动收益(万元),-112,-34,196,154,101,-31,-299,187,
投资收益(万元),275,200,-64,-68,-62,328,-7,18,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),12330,8845,13779,11633,5318,5595,2655,2035,
营业外收入(万元),699,431,735,562,119,652,289,2057,
营业外支出(万元),164,147,182,115,13,247,279,186,
非流动资产处置损失(万元),87,80,73,28,10,95,41,25,
利润总额(万元),12866,9129,14332,12080,5424,5999,2666,3906,
所得税费用(万元),2254,1593,2098,1990,945,964,252,547,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),10611,7537,12234,10090,4479,5035,2414,3359,
归属于母公司所有者的净利润(万元),10611,7537,12234,10090,4479,5035,2414,3359,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,
基本每股收益,1.18,0.84,1.36,1.12,0.5,0.56,0.27,0.37,
稀释每股收益,1.18,0.84,1.36,1.12,0.5,0.56,0.27,0.37,
