报告日期,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),164640,62158,117089,76872,43514,
营业收入(万元),164640,62158,117089,76872,43514,
利息收入(万元),--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,
营业总成本(万元),148515,54858,109633,68897,38530,
营业成本(万元),77983,28840,54823,34508,17448,
利息支出(万元),--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,
研发费用(万元),--,--,--,--,--,
退保金(万元),--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,
分保费用(万元),--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,
营业税金及附加(万元),1834,803,990,607,389,
销售费用(万元),55882,18909,41016,23703,15951,
管理费用(万元),11410,5462,11536,9968,4422,
财务费用(万元),446,199,523,91,83,
资产减值损失(万元),960,644,745,21,237,
公允价值变动收益(万元),--,--,--,--,--,
投资收益(万元),111,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,
期货损益(万元),--,--,--,--,--,
托管收益(万元),--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,
营业利润(万元),16236,7299,7456,7975,4984,
营业外收入(万元),3277,316,2114,361,19,
营业外支出(万元),483,308,39,133,7,
非流动资产处置损失(万元),22,22,25,40,--,
利润总额(万元),19030,7307,9532,8202,4996,
所得税费用(万元),3212,1846,2272,2903,1645,
未确认投资损失(万元),--,--,--,--,--,
净利润(万元),15818,5461,7259,5299,3351,
归属于母公司所有者的净利润(万元),15849,5463,7377,5315,3272,
被合并方在合并前实现净利润(万元),--,--,--,--,--,
少数股东损益(万元),-32,-2,-118,-16,80,
基本每股收益,1.32,0.46,0.62,--,--,
稀释每股收益,1.32,0.46,0.62,--,--,
