报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),1141798,852531,574999,301391,1039782,761762,493212,246912,1068826,809029,543496,274769,1517333,1222727,297076,145311,954444,760576,497112,225920,826254,600155,418183,198024,908416,698536,480435,237832,1139492,877458,589040,305220,967649,720766,459473,223789,777307,532169,329227,161320,801738,641354,450571,218297,790047,575651,250863,114155,521464,256911,173235,74347,
营业收入(万元),1141798,852531,574999,301391,1039782,761762,493212,246912,1068826,809029,543496,274769,1517333,1222727,297076,145311,954444,760576,497112,225920,826254,600155,418183,198024,908416,698536,480435,237832,1139492,877458,589040,305220,967649,720766,459473,223789,777307,532169,329227,161320,801738,641354,450571,218297,790047,575651,250863,114155,521464,256911,173235,74347,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,
营业总成本(万元),967140,723913,483849,238461,810804,608167,396713,195288,746473,530470,344107,175930,1163370,954186,376286,168351,1066899,848140,561419,255860,957043,679030,471770,221974,1019714,780620,529215,257606,1161560,867013,571857,299213,961612,712149,456117,223455,806637,551385,349694,174844,825565,629970,438021,211346,740457,540958,233908,109173,495823,239479,160797,69573,
营业成本(万元),743375,556836,374472,179321,635076,480187,308643,150123,561847,406084,264200,129529,890637,739437,296474,136211,899020,725195,477195,218733,803583,583870,406216,193432,884016,682343,462896,227937,1044758,790665,521427,274368,864335,644935,413389,200817,719137,488955,308208,155440,733429,572413,402042,193362,675733,493212,213710,99271,451163,219731,147729,63159,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,
研发费用(万元),29811,18889,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,
营业税金及附加(万元),8717,7270,4847,2551,10206,7105,4736,2854,11415,8684,5789,2982,12181,10191,715,387,1952,1250,758,424,2527,2051,1479,746,4176,3165,2046,1026,4661,3818,2507,1176,3740,2390,1490,686,3273,2221,1297,675,2884,2794,1937,1063,3646,2528,839,386,1389,663,481,253,
销售费用(万元),121449,81672,52552,26785,100542,73091,47190,22765,90048,63392,41123,19806,95287,55490,11857,5856,25221,16808,10427,4843,22040,15644,10015,4548,21143,14760,9419,4883,19368,13338,8566,4182,16436,10991,6977,3419,13477,9318,5730,2504,13660,10350,6762,3238,10637,6987,2252,1138,7501,2669,1785,940,
管理费用(万元),66206,53875,49176,29698,72103,54140,36354,18172,84959,53952,36226,17718,98057,85314,26307,12314,72636,53097,34399,16283,63223,43528,26832,13846,59605,43034,28254,14015,49704,37799,25707,12936,48336,34625,21738,11774,43149,33890,22967,10527,44040,28345,17990,9541,29080,24087,9447,4945,19198,6593,4333,1851,
财务费用(万元),-4437,4712,2085,-107,-5706,-4547,925,1124,-3239,969,-433,3598,50257,50227,28813,13583,61666,47352,31555,15577,45319,29745,21382,9403,44367,32489,20676,9741,32452,21897,13407,6551,25676,19208,12523,6759,21232,17001,11492,5698,23007,16701,9728,4143,19045,14145,7661,3434,15583,9823,6469,3369,
资产减值损失(万元),2018,660,718,212,-1416,-1808,-1134,250,1443,-2610,-2798,2296,16951,13527,12120,--,6403,4438,7086,--,20352,4193,5847,0,6407,4829,5924,5,10617,-504,242,--,3090,--,--,--,6369,--,0,--,8545,-632,-438,0,2316,--,0,0,989,--,0,0,
公允价值变动收益(万元),-9381,-65,-2384,-370,5199,6457,8017,4494,-3281,1449,748,3058,6762,7965,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
投资收益(万元),-539,--,--,--,0,--,--,--,44,--,--,--,--,--,--,--,112741,698,700,--,-221,--,--,--,636,636,636,--,--,--,--,--,203,203,203,--,-1273,957,957,215,790,-4,-4,17,1799,72,1286,384,165,-9,-9,0,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,773,--,--,215,790,-4,-4,17,1799,--,0,0,165,--,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,
营业利润(万元),166701,130060,89903,63579,238016,160052,104516,56118,319117,280008,200136,101897,360725,276506,-79210,-23039,286,-86867,-63607,-29940,-131010,-78874,-53587,-23950,-110662,-81449,-48145,-19774,-22068,10445,17183,6007,6240,8820,3560,334,-30603,-18259,-19510,-13309,-23037,11381,12546,6968,51389,34764,18240,5366,25806,17422,12429,4774,
营业外收入(万元),1046,358,13,11,945,1966,1336,880,1380,990,679,318,4128,2564,1549,488,16314,14686,7047,4997,11766,5704,1600,926,5434,1563,722,265,33776,1550,1081,637,7310,4075,1731,475,13452,2064,802,1548,11433,9462,6089,459,1319,619,412,279,544,237,127,16,
营业外支出(万元),68,48,30,162,241,159,611,84,1603,1104,221,274,2268,1637,1464,86,2550,885,244,80,364,284,113,67,1484,1136,984,204,286,297,197,97,480,415,292,81,773,427,223,158,715,362,274,155,764,1217,239,141,1314,152,142,74,
非流动资产处置损失(万元),--,--,0,0,160,29,22,--,1001,116,116,0,1059,730,694,--,2183,--,--,--,131,--,--,--,1200,--,945,--,121,--,--,--,374,--,--,--,250,--,38,--,411,39,39,0,513,37,17,11,1079,23,20,8,
利润总额(万元),167680,130369,89886,63428,238720,161859,105240,56915,318894,279894,200594,101941,362585,277432,-79124,-22637,14050,-73066,-56804,-25023,-119608,-73455,-52100,-23092,-106713,-81022,-48407,-19714,11422,11698,18067,6546,13070,12481,4998,727,-17925,-16622,-18931,-11919,-12319,20481,18360,7271,51944,34167,18413,5504,25036,17507,12414,4717,
所得税费用(万元),46111,38459,26067,18729,71112,45320,31592,16565,87276,89570,65387,33429,162306,118486,828,373,-325,-419,-554,-5,-775,-1153,-1195,721,-2932,2285,1121,783,4511,5455,4765,1817,5391,4269,2349,449,-2378,1542,1048,379,3753,3615,3301,1770,8619,6580,3854,1401,3783,3712,2503,1182,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,
净利润(万元),121569,91910,63819,44699,167609,116538,73648,40350,231618,190324,135207,68512,200280,158946,-79952,-23010,14375,-72647,-56250,-25018,-118833,-72301,-50905,-23813,-103781,-83307,-49528,-20497,6912,6242,13302,4729,7679,8212,2649,278,-15547,-18163,-19979,-12298,-16072,16866,15060,5501,43324,27587,14559,4104,21253,13796,9911,3534,
归属于母公司所有者的净利润(万元),92613,70951,48921,35181,132332,91167,57737,31655,186535,154509,110154,56065,152865,122597,-73361,-20072,24349,-64365,-49805,-22265,-113861,-72274,-50944,-23823,-103926,-83347,-49547,-20462,7156,6333,13190,4757,7549,8099,2725,208,-15945,-18594,-20289,-12480,-15362,16546,14929,5382,41808,27113,14482,4089,20580,13700,9878,3509,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,154847,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),28956,20959,14898,9517,35277,25371,15911,8695,45083,35815,25053,12447,47414,36349,-6591,-2938,-9974,-8282,-6445,-2753,-4972,-28,39,10,144,40,19,-35,-244,-91,111,-28,129,113,-76,70,398,430,310,181,-710,320,130,119,1517,474,77,15,673,96,33,26,
基本每股收益,0.35,0.26,0.18,0.13,0.49,0.34,0.22,0.12,0.7,0.58,0.41,0.21,0.58,0.47,-1.4,-0.38,0.47,-1.23,-0.95,-0.43,-2.18,-1.38,-0.97,-0.46,-1.99,-1.59,-0.95,-0.39,0.14,0.12,0.25,0.09,0.14,0.15,0.05,0,-0.31,-0.36,-0.39,-0.24,-0.29,0.32,0.29,0.13,1.08,0.67,0.4,0.11,0.57,0.57,0.41,0.15,
稀释每股收益,0.35,0.26,0.18,0.13,0.49,0.34,0.22,0.12,0.7,0.58,0.41,0.21,0.58,0.47,-1.4,-0.38,0.47,-1.23,-0.95,-0.43,-2.18,-1.38,-0.97,-0.46,-1.99,-1.59,-0.95,-0.39,0.14,0.12,0.25,0.09,0.14,0.15,0.05,0,-0.31,-0.36,-0.39,-0.24,-0.29,0.32,0.29,0.13,1.08,0.67,0.4,0.11,0.57,0.57,0.41,0.15,
