报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),567351,379453,175259,612118,468623,308870,138310,585388,349019,229943,114575,454987,335473,222975,110857,450248,343544,224876,108379,378773,276473,185105,94014,355296,267694,169273,83487,307025,228027,148117,74016,257227,196552,128806,63971,237959,183279,113398,50721,141363,99453,65454,31770,110226,80600,50079,24106,101150,74912,50334,23685,
营业收入(万元),567351,379453,175259,612118,468623,308870,138310,585388,349019,229943,114575,454987,335473,222975,110857,450248,343544,224876,108379,378773,276473,185105,94014,355296,267694,169273,83487,307025,228027,148117,74016,257227,196552,128806,63971,237959,183279,113398,50721,141363,99453,65454,31770,110226,80600,50079,24106,101150,74912,50334,23685,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),571987,382444,181106,632607,474796,315225,143152,592345,352295,230876,114399,454976,338368,222645,109917,476594,354850,234649,113480,413065,291361,191737,96617,370071,276421,175694,86201,327805,233382,150967,74810,283813,211839,138146,67549,256790,188856,113326,49295,143908,102467,67135,32266,112340,82468,51677,24716,102860,77267,52267,25600,
营业成本(万元),376743,249616,119238,431260,321930,211285,96078,407291,241769,156779,79743,316178,237374,155713,76695,337777,260122,170939,83200,298129,215555,141842,71534,275302,208639,132957,65245,241823,177948,115018,58224,216162,164176,107299,52771,186689,138718,83027,37078,113072,81867,53402,26534,89545,65534,39989,19419,79773,59186,40390,19593,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
