报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),59464,358965,230045,152753,66724,306827,209658,153061,69118,292106,200968,123804,73983,291353,130236,88157,52675,185153,110477,78636,42929,137330,89653,58794,26586,126799,80874,54645,25776,152233,86534,58585,34697,193492,132957,69579,33609,181373,109915,74313,37247,157488,106792,65760,29550,141006,87544,53829,26513,
营业收入(万元),59464,358965,230045,152753,66724,306827,209658,153061,69118,292106,200968,123804,73983,291353,130236,88157,52675,185153,110477,78636,42929,137330,89653,58794,26586,126799,80874,54645,25776,152233,86534,58585,34697,193492,132957,69579,33609,181373,109915,74313,37247,157488,106792,65760,29550,141006,87544,53829,26513,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,
营业总成本(万元),57462,338171,210497,140458,61424,298078,201508,146868,68606,295134,198873,122336,73677,286155,127031,85452,51610,177763,107490,76388,42040,134845,86577,56620,25464,123786,78534,52575,24667,149595,83699,56701,33334,188658,128478,67697,32075,177758,104889,71259,35741,149338,100236,61596,27598,132561,82478,50893,25078,
营业成本(万元),52713,311374,199413,133864,58967,269949,183348,133305,60700,261354,177534,108563,65512,260050,115246,78039,47022,158274,97323,69495,38233,117125,76450,49829,22160,108351,68460,46517,22251,132255,73397,49881,29826,172660,117125,61295,29805,161379,94654,64125,32052,133577,90050,55140,24908,117816,72768,44863,22173,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,
