报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),563393,285783,1201753,921167,616791,308556,1412689,1034521,711494,345176,1585621,1253895,914118,487267,1650891,1300990,902831,509136,1809193,1372003,910083,478124,1766295,1347954,908663,456774,1348696,1083542,767017,401575,1253544,976823,655661,346605,1067730,803248,540245,286537,969507,755015,520357,275887,829027,660404,439798,204976,926780,706873,483835,259090,
营业收入(万元),563393,285783,1201753,921167,616791,308556,1412689,1034521,711494,345176,1585621,1253895,914118,487267,1650891,1300990,902831,509136,1809193,1372003,910083,478124,1766295,1347954,908663,456774,1348696,1083542,767017,401575,1253544,976823,655661,346605,1067730,803248,540245,286537,969507,755015,520357,275887,829027,660404,439798,204976,926780,706873,483835,259090,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,
营业总成本(万元),522033,265892,1150044,884500,574669,299273,1316655,961971,666518,334299,1511524,1200936,865329,465285,1616990,1261675,863593,488735,1786908,1338702,888944,450820,1675667,1282500,852650,422231,1291237,989765,695324,366971,1133686,884392,593129,317030,967017,723217,488982,261707,879490,690850,473136,259484,776839,629739,419359,196538,856351,653683,450820,238735,
营业成本(万元),406177,203913,890715,690613,454200,236829,1039178,770172,533494,266309,1190351,942525,686996,366703,1196522,933767,634646,358393,1274583,980492,653695,332402,1203333,944736,629225,311977,1032576,809177,558414,285714,879628,683819,446544,238810,726159,543410,373136,200800,659231,514298,355660,195102,557274,453210,307261,144893,606421,469727,320979,170330,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,
营业税金及附加(万元),7459,3986,14543,11037,7321,3341,9750,6106,4497,2265,9894,7802,6071,2972,11033,8599,5788,3687,10403,8041,5753,3144,12594,9040,6573,3582,7312,6187,5070,2597,7408,6017,4119,2156,6938,5662,3734,2150,5829,4310,3170,1763,4462,3475,2391,1003,6129,4877,3306,1806,
销售费用(万元),30050,16783,76102,58592,37530,20226,76211,66019,50831,22888,113150,118526,85455,50225,230349,199187,144178,82430,313741,223760,143920,74173,284667,201868,132570,65898,112107,82738,67893,40682,124397,96288,70682,37879,108395,82448,53760,27356,100067,82613,53892,31612,109421,85161,55318,25786,144544,106254,74385,40439,
管理费用(万元),79506,42217,168017,124276,76985,40548,180184,119257,76339,41756,180981,126429,81560,42918,165103,121179,79761,44362,170718,121082,79678,41463,171892,125306,82184,41236,134052,90979,61799,37166,124164,97060,70380,37191,122019,85282,52246,28943,107797,82229,54388,27900,96325,76109,44220,22750,90055,62944,43157,24967,
财务费用(万元),-1041,-700,-4961,-3876,-2687,-1435,-2845,-2753,-1399,-286,-3475,-2809,-1740,-956,-4936,-2783,-1654,-850,-3410,-1835,-979,-443,-2405,-2026,-1052,-423,-5082,-2167,-650,-12,-2293,-885,-626,-321,443,1055,1236,419,1889,1218,159,749,5175,4295,2907,1632,3209,3208,2320,1109,
资产减值损失(万元),-119,-307,5627,3858,1320,-236,14177,3170,2756,1367,20622,8462,6988,3422,18919,1726,874,712,20873,7161,6877,80,5587,3576,3149,-40,10271,2852,2798,825,382,2093,2030,1315,3063,5361,4870,2040,4678,6182,5868,2359,4182,7489,7262,474,5993,6672,6672,83,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,
投资收益(万元),--,--,3049,3049,3049,131,600,1308,1304,1276,34,32,24,3,109,-4,51,-10,1512,244,251,121,348,70,30,-42,10759,8742,6008,3057,9230,7149,4900,2377,7652,6323,3973,1735,7310,5453,3422,2241,9469,6649,4618,2434,-1997,-2159,-937,-222,
对联营企业和合营企业的投资收益(万元),--,--,--,49,49,--,-26,11,7,3,15,13,5,3,-5,-57,-62,-24,4,11,19,-28,-44,14,11,-6,10495,8448,5853,2965,8980,6995,4794,2345,7543,6220,3870,1633,7174,5453,3422,2241,7149,0,4618,0,-1322,0,-347,0,
