报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2007-12-31,2006-12-31,2005-12-31,
营业总收入(万元),7237978,5350841,3720031,1945398,7157494,5163143,3476544,1688471,4941768,3438720,2142911,1014434,2941822,1895381,1144967,539531,2237593,1564419,1076640,475041,1882420,1243177,824726,401692,1296386,864956,548198,242761,1098427,763878,511616,270881,874234,620560,413266,204596,705657,459725,275025,116516,693119,3254395,2147181,4240668,2974304,2078094,
营业收入(万元),7151452,5282242,3670593,1919653,7114388,5138790,3465805,1688471,4941768,3438720,2142911,1014434,2941822,1895381,1144967,539531,2237593,1564419,1076640,475041,1882420,1243177,809777,397582,1287401,863787,547557,241877,1098009,763878,511616,270881,874234,620560,413266,204596,705657,459725,275025,116516,693119,3254395,2147181,4240668,2974304,2078094,
利息收入(万元),86526,68599,49437,25744,43106,24353,10739,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,36,--,--,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14950,4110,8985,1169,641,848,419,--,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,
营业总成本(万元),7066003,5101654,3486153,1765507,6843899,4859428,3265427,1502690,4848559,3293631,2028591,943624,3019985,1992478,1215932,581025,2388985,1657739,1130653,508727,1982042,1330153,894435,453976,1465068,976597,627304,277574,1245038,850176,545403,277902,948116,638313,418175,215862,776616,497516,291986,123364,738788,2935653,1920000,3824919,2705121,1865355,
营业成本(万元),5824072,4174264,2852352,1448870,5477801,3948654,2681226,1286227,3955835,2734772,1687340,806008,2481615,1660371,1001965,474779,1895899,1352821,935160,421603,1611301,1086428,719182,355395,1182867,804165,512451,226640,1034212,715208,465404,244140,791416,568632,378112,189451,653714,423199,250110,104159,644444,2519306,1610347,3258463,2298549,1626896,
利息支出(万元),11577,6939,4973,2258,1319,883,756,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5032,2163,3411,665,301,103,23,--,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,
研发费用(万元),82667,61975,42926,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7144,2861,4741,544,218,469,329,--,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2414,1608,1437,102,129,138,219,--,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17,11,13,2,0,1,--,--,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,
营业税金及附加(万元),231089,176841,126945,68616,254775,187014,126936,64608,151884,100854,63907,30589,92389,57059,35518,17976,78443,51544,35119,17733,66911,41377,28683,20906,36159,18702,9552,3708,16993,10267,7094,3758,4524,2178,1429,707,3482,2080,1442,661,2069,196018,133192,260829,174992,108198,
销售费用(万元),507303,445330,290249,147967,519976,341831,201098,89708,337002,208447,126668,46385,185549,112893,71192,32414,182711,97088,59618,27362,106626,70680,44866,26779,79158,50215,30463,14472,61329,35595,23133,7668,44576,15516,8421,3848,14782,9874,6010,2848,17946,103648,89832,142895,101658,60232,
管理费用(万元),406819,240284,163897,92025,400794,253443,148412,57224,274889,183845,109183,47064,204746,128457,83094,42026,189883,121414,80654,33789,173094,106356,67237,33791,136356,91828,61381,26942,125949,83558,47628,21370,88694,41082,23473,13174,84121,46622,27952,13237,64334,125200,87824,162330,137276,67696,
财务费用(万元),-15082,-10059,-2252,5559,31552,23283,12951,3659,30648,28671,17596,12505,28113,36565,27151,14428,30330,33224,19720,8209,16081,21448,15990,6427,19878,10047,12468,5191,5739,7823,3882,1059,13612,10977,6697,9587,16675,15742,6203,2459,6828,-14342,-7233,-7013,-12439,-7168,
资产减值损失(万元),16832,6418,6845,212,157682,104320,94047,1264,98302,37042,23896,1073,27574,-2867,-2987,-598,11719,1650,382,31,8028,3865,3869,4035,1048,327,340,-91,244,-2274,-1738,-93,5294,-71,44,-905,3842,0,268,0,3167,5824,6038,7416,5086,9501,
公允价值变动收益(万元),-2386,-4485,-12661,-4830,8939,-60,-74,-99,5222,257,-429,-109,1127,-4,-247,0,--,0,0,0,35,1,-2,3,-4,0,0,--,-45,--,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,
投资收益(万元),900321,767457,511506,244701,832773,685852,468768,232119,584786,469158,320856,132788,483517,322691,202976,60655,420980,300183,217078,116841,399535,303581,185399,97819,264392,270837,215672,119031,465055,327836,204316,154173,577903,465429,324038,199920,438983,307058,169017,84640,333309,58457,41466,84038,36834,93136,
对联营企业和合营企业的投资收益(万元),875330,749314,494295,243026,824124,657657,460100,229495,573464,457426,315231,130165,463882,305599,191592,56390,410126,294304,212943,113702,401891,301643,184346,98814,263488,268994,214634,119031,463644,327836,204316,154173,568800,464840,323450,199802,438888,306105,168456,84393,332190,58305,40833,83820,37205,23055,
汇兑收益(万元),--,--,--,0,--,0,0,0,--,0,0,0,--,0,0,0,--,0,--,0,--,0,0,0,0,0,0,--,--,--,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,
营业利润(万元),1164490,1058419,749097,427976,1180651,989506,679811,417801,683216,614504,434746,203489,406481,225590,131764,19161,269588,206863,163065,83155,299947,216606,115688,45537,95706,159196,136566,84219,318399,241538,170529,147152,504022,447676,319129,188653,368024,269267,152055,77793,287641,377199,268647,499787,306016,305875,
营业外收入(万元),31823,16363,14326,4399,28662,24527,17987,4421,29552,16845,10281,4359,39636,50933,48663,31383,40315,24024,20449,1812,24722,6328,4859,1249,16111,19184,5768,3856,104618,22890,7621,1955,54997,14521,7644,3890,3315,8197,5412,2334,9258,9326,3870,6008,517,1301,
营业外支出(万元),9600,3139,2075,334,11663,14967,9874,1709,7696,6126,2556,157,5424,1300,134,102,4544,3745,2936,57,60097,2294,1234,615,11833,4504,4094,2171,17287,16701,14500,4622,6929,2691,1712,1099,47544,10811,10269,10223,3094,4060,2114,1955,3827,2530,
非流动资产处置损失(万元),--,--,--,--,--,8537,5495,448,3978,2988,89,66,2245,33,29,18,226,670,14,8,50407,106,11,1,67,33,29,6,44,4,1,0,256,11,11,0,1267,1,0,0,27,1596,182,0,199,2390,
