报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-09-30,2005-06-30,
营业总收入(万元),21265400,15783200,10186500,4909900,19601100,14971600,10368800,5488500,19312900,14730100,10333900,5603300,19382800,14641300,9672200,4940500,17740100,13516900,9042300,4472800,16443500,12422200,8481200,4218700,14733700,10966500,7364200,3651500,12695600,9419500,6193700,3023900,10423400,7596900,4939800,2393600,8093700,5743900,3681300,1786500,7666000,5740900,3763900,1802300,6232200,4356800,2720800,1279600,4322500,3159300,2018000,964700,2516700,1694700,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--,0,0,0,0,--,0,--,--,0,--,
利息收入(万元),34886400,25993800,17054600,8542800,31751800,23498800,15438100,7598800,28984400,21575000,14436100,7248100,30512600,22917700,15228300,7509400,28850900,21684900,14341200,6980600,25929200,19078100,12508900,6121400,24059600,17949500,11820300,5759100,19087200,13869300,8808400,4183600,14190500,10225000,6583300,3149100,11663900,8543700,5555900,2767400,11688000,8729700,5602200,2719000,9011800,5279600,3310300,1884100,5454600,3872600,2960100,1433800,3614300,2327800,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--,0,0,0,0,--,0,--,--,0,--,
手续费及佣金收入(万元),4467300,3388000,2274600,1168500,4406000,3323600,2304500,1220200,3988400,3099500,2223800,1140600,3823100,2990300,2097200,1059500,3291400,2539700,1731400,846200,2940500,2201500,1554900,773500,2412600,1786700,1246100,679900,2246400,1708300,1134300,558400,1707600,1251200,831000,407500,1341400,986000,623700,273700,1012100,763300,520000,230500,815600,597700,362900,145100,324700,255100,155900,76300,168700,104800,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--,0,0,0,0,--,0,--,--,0,--,
其他业务收入(万元),1498100,1091500,728100,405000,1159800,879300,600000,335500,810200,561600,379800,213100,615300,421300,258500,151900,385800,271100,174700,112000,686500,593400,488400,230200,388600,305200,244100,122000,271900,229600,137700,69800,274500,189600,108100,54200,76400,39800,22100,12200,36500,19100,6200,1900,5500,8800,1900,30500,13500,12200,34400,13200,25100,22100,
营业总成本(万元),12613400,9133400,5441500,2580200,11293800,8430900,5649100,3090700,10777900,8044700,5503500,3139300,10811600,7928100,4874200,2493300,9355900,6865000,4360500,2076100,8491900,6186300,3978300,1933000,7295700,5251400,3374100,1606100,6206000,4487200,2809300,1310400,5453400,3825300,2330100,1048300,4271800,2800400,1697100,781100,4087700,2745600,1729000,772600,3147200,2149300,1307700,559600,2576100,1812600,1092300,546100,1498200,1006300,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--,0,0,0,0,--,0,--,--,0,--,
利息支出(万元),21795600,16476300,10988800,5495900,19015200,14015100,9167300,4477100,15497300,11498600,7621300,3845300,16095400,12120200,8122400,4009200,15373300,11446900,7620100,3752400,12863400,9314600,6008100,2918300,12047000,9039400,5980900,2922400,8827100,6280800,3879600,1810100,5691000,4075000,2593700,1246100,5007500,3836900,2587900,1315800,5124400,3718500,2309600,1079300,3637600,2593700,1621800,784300,2472800,1747600,1125700,555100,1305200,833600,
手续费及佣金支出(万元),343600,248700,156400,84100,350900,262800,178400,92300,308900,209700,127400,63400,320400,247500,158600,72000,331000,241300,161300,82300,343700,251400,165400,80100,324400,232400,149900,75800,291500,203900,129900,62800,259700,184700,118500,60600,201500,132700,76100,32300,128400,81900,54700,24600,96800,84200,53100,24300,49100,39500,26300,14200,25900,17000,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--,0,0,0,0,--,0,--,--,0,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--,0,0,0,0,--,0,--,--,0,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--,0,0,0,0,--,0,--,--,0,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--,0,0,0,0,--,0,--,--,0,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--,0,0,0,0,--,0,--,--,0,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--,0,0,0,0,--,0,--,--,0,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--,0,0,0,0,--,0,--,--,0,--,
其他业务成本(万元),935700,678200,419700,193100,637200,482100,346900,210900,232300,165300,125100,84600,273000,216300,132500,83500,229800,174600,133000,80600,619900,545700,448200,213500,349500,281400,216000,113500,240900,206300,140300,72500,253600,191000,102200,52000,63200,37800,20600,11200,9100,12400,3100,2600,11200,4700,2600,434500,10300,15700,895200,440900,1213300,814500,
营业税金及附加(万元),250100,182900,125600,61500,248100,178200,119800,58400,596200,487900,448900,324200,1397900,1092100,729000,352600,1282200,973100,647800,321700,1194900,889200,592000,292100,1091600,808900,534700,263300,893900,646000,415800,195500,643100,466800,301100,144200,514700,377600,237300,115100,492300,366200,238400,111400,368800,265200,166900,0,255500,184300,--,--,0,--,
销售费用(万元),6404000,4756600,2857300,1339500,6040500,4420800,2702000,1274100,6028900,4354100,2596600,1281200,5801100,4120900,2450600,1189200,5304500,3654900,2262000,1064200,4644000,3291900,2002200,864800,4272900,2995700,1815400,815800,3752900,2635300,1637900,720700,3243500,2126400,1360600,591600,2604300,1683900,1000700,477100,2402800,1661500,1074700,479300,2021400,1398700,845300,0,1554800,1100100,--,--,0,--,
管理费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--,0,0,0,0,--,0,--,--,0,--,
财务费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--,0,0,0,0,--,0,--,--,0,--,
资产减值损失(万元),--,3009500,1666600,707300,3146900,2190700,1494200,785900,3021200,2159800,1516800,690100,2891400,2087800,1204500,592300,2286600,1830900,1108200,556300,1915800,1372100,876400,528400,1518700,1116600,767300,392100,1269200,956200,595200,318500,1253300,1009500,539100,260500,1089600,701100,438500,177700,1183500,705500,412800,179300,745800,480700,292900,125100,755500,512500,197100,--,273000,191800,
公允价值变动收益(万元),324900,341600,243600,109600,-20100,7700,3900,-23100,-222300,-47300,72400,32900,-3200,20500,-46000,-42000,406300,239400,427100,376100,-196500,-12500,-37400,-1400,-72500,-88300,7600,-21300,80200,-58000,-18300,41600,-7100,-47600,-29500,26600,33400,-12100,23900,22700,32900,24900,-37200,-52500,-78900,-71800,-58300,0,-15500,-2300,--,--,0,--,
投资收益(万元),1084800,784100,490500,88300,426400,360700,301500,53600,146800,242800,38400,7200,8100,6100,96900,24800,-192700,-103300,-239000,-229900,100600,66800,92800,49100,93600,82800,21600,13600,-500,54100,36400,3700,74700,114700,44600,16100,139300,133500,93100,64500,56600,39600,69600,40800,125900,1156800,725800,12400,1004100,770300,19600,--,37700,42600,
对联营企业和合营企业的投资收益(万元),22700,16700,14000,6500,13200,3700,5100,3000,9600,6800,3800,1900,7600,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--,0,0,0,0,--,0,--,--,0,--,
汇兑收益(万元),363600,325900,111200,-138600,-105200,-67400,-10300,54700,452000,78900,55700,66900,437600,291500,15500,56200,448000,337200,174000,161100,54600,-40400,-21700,6400,149100,149500,112700,73900,85700,59000,72700,29300,65000,85800,83200,46800,48300,22600,26600,-5900,92700,-35300,-32600,-33500,86700,63600,53100,0,63000,38500,--,--,0,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--,0,0,0,0,--,0,--,--,0,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--,0,0,0,0,--,0,--,--,0,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--,0,0,0,0,--,0,--,--,0,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--,0,0,0,0,--,0,--,--,0,--,
营业利润(万元),8652000,6649800,4745000,2329700,8307300,6540700,4719700,2397800,8535000,6685400,4830400,2464000,8571200,6713200,4798000,2447200,8384200,6651900,4681800,2396700,7951600,6235900,4502900,2285700,7438000,5715100,3990100,2045400,6489600,4932300,3384400,1713500,4970000,3771600,2609700,1345300,3821900,2943500,1984200,1005400,3578300,2995300,2034900,1029700,3085000,2207500,1413100,720000,1746400,1346700,925700,418600,1018500,--,
营业外收入(万元),40100,29000,16800,12200,50900,66900,25200,10300,93300,67200,27000,13100,73000,60800,42400,23600,122500,60600,45000,17100,63500,31800,13200,6900,85100,49700,33700,6100,83700,44900,24000,10800,50900,27100,13800,5500,52500,18800,13700,3800,34300,19100,9900,3500,40500,60800,22900,0,67500,45800,--,--,0,--,
营业外支出(万元),85400,26100,14800,3400,31700,14000,9400,6900,17300,10500,7700,6400,43000,35300,11500,9700,14000,11000,7300,1100,24200,13400,10100,4300,1500,9900,7000,1700,28200,20500,9200,5000,25500,12500,8400,2300,50400,36200,7600,-3600,30800,53900,11900,5300,21700,11900,9200,0,47900,12800,--,--,0,--,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--,0,0,0,0,--,0,--,--,0,--,
利润总额(万元),8606700,6652700,4747000,2338500,8326500,6593600,4735500,2401200,8611000,6742100,4849700,2470700,8601200,6738700,4828900,2461100,8492700,6701500,4719500,2412700,7990900,6254300,4506000,2288300,7521600,5754900,4016800,2049800,6545100,4956700,3399200,1719300,4995400,3786200,2615100,1348500,3824000,2926100,1990300,1012800,3581800,2960500,2032900,1027900,3103800,2256400,1426800,720000,1766000,1379700,925700,418600,1018500,688400,
所得税费用(万元),1190200,885400,647600,315300,1257400,1114400,813300,456200,1845900,1450400,1057400,547600,1918100,1508200,1078300,555800,1889200,1532100,1030000,536900,1744800,1370300,1014200,513300,1674000,1295700,902800,459000,1463400,1106500,754400,388200,1078200,822600,572300,299300,802900,618500,426800,216000,729800,672600,473600,237500,1039700,769700,528700,337800,499100,433100,322200,128500,345500,227900,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--,0,0,0,0,--,0,--,--,0,--,
净利润(万元),7416500,5767300,4099400,2023200,7069100,5479200,3922200,1945000,6765100,5291700,3792300,1923100,6683100,5230500,3750600,1905300,6603500,5169400,3689500,1875800,6246100,4884000,3491800,1775000,5847600,4459200,3114000,1590800,5081700,3850200,2644800,1331100,3917200,2963600,2042800,1049200,3021100,2307600,1563500,796800,2852000,2287900,1559300,790400,2064100,1486700,898100,382200,1266900,946600,603500,290100,673000,460500,
归属于母公司所有者的净利润(万元),7363000,5730400,4077100,2009100,7022300,5441900,3897500,1932300,6721000,5257800,3766100,1906600,6652800,5204000,3732400,1897000,6585000,5152200,3677300,1869000,6229500,4870600,3482700,1770600,5837300,4451300,3108800,1588000,5073500,3841600,2639600,1328000,3904200,2953700,2035700,1045100,3007500,2297000,1557900,794600,2842300,2278900,1553400,788300,2051300,1478600,891800,380000,1266900,946100,603400,290100,673200,460500,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,--,--,0,0,--,0,0,0,0,--,0,--,--,0,--,
少数股东损益(万元),53500,36900,22300,14100,46800,37300,24700,12700,44100,33900,26200,16500,30300,26500,18200,8300,18500,17200,12200,6800,16600,13400,9100,4400,10300,7900,5200,2800,8200,8600,5200,3100,13000,9900,7100,4100,13600,10600,5600,2200,9700,9000,5900,2100,12800,8100,6300,2200,--,500,100,--,-200,--,
