报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
营业总收入(万元),4615900,14413200,11556100,7707000,4459500,14617300,11778500,8745100,5526700,15845300,13399400,10399700,6625600,14318700,10992500,8129200,5523100,12959400,9049800,6269100,3725600,11692100,9193200,6535100,3879000,10920900,5781200,3421400,10251300,5766500,7367400,4964600,4526501,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,
已赚保费(万元),3861900,10792800,8842600,6014900,3670500,11154700,9247400,7030200,4607600,11122000,9401100,7217700,5162400,10927100,8572500,6640900,4807100,10318200,7186300,5094100,3132400,9758900,7762100,5576300,3489900,9531000,5070700,3018800,9158300,5342900,6499800,4644600,2933777,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),15100,69000,50000,35100,16300,51300,37900,25500,11900,71400,51100,32700,13600,54000,39300,26200,13000,65500,50400,37000,12700,52800,38900,24200,12300,56900,27100,13100,45600,17700,54900,92600,19036,
营业总成本(万元),4253600,13663100,10860200,7209900,4182900,13970800,11173000,8327500,5310900,14717400,12258300,9511100,6155800,13579600,10222100,7677000,5339000,12452400,8576300,6013800,3544800,11435600,8997500,6378600,3789800,10582400,5573900,3275600,10022700,5685700,7096500,4942200,4491194,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),414900,1590500,1292100,879400,517500,1353000,1053100,741600,406300,1066900,767900,516500,295600,761300,574800,412500,247600,619500,447400,307500,172700,696000,528200,379600,211500,726500,366700,207700,717900,385900,545000,385600,242395,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),1895200,3390600,2946600,2211900,1660400,4377700,3262000,2681200,2129400,5433600,4716300,3942200,3067700,4902600,2796200,1868800,1057600,2879500,2114900,1326000,733800,1809300,1294600,855900,474100,1504700,613900,303200,771000,327400,524900,545300,889310,
