报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2005-12-31,2005-06-30,2004-12-31,2003-12-31,
营业总收入(万元),77378900,57705500,38745100,19719800,72650200,53577300,36215100,18952500,67589100,51777400,35767000,19388900,69764700,52462800,35624200,18116400,65889200,48858900,32842500,16263300,58963700,44191700,29860700,14776000,53694500,40147300,26548600,13101700,47521400,35172900,23268800,11381700,38082100,27869000,18170800,8733800,30945400,22663400,14835200,7288700,30975800,23171700,15500700,7564000,25415700,18237400,11649200,5452000,18070500,13169300,8558400,16237800,7649000,13934200,12408700,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,0,0,0,0,0,--,--,0,--,--,0,0,0,
利息收入(万元),94809400,70005000,45680700,22563700,86159400,63663200,41835300,20398700,79148000,59069400,39522800,20047500,87177900,65698800,43729500,21683600,84987900,62765100,41261300,20314500,76711100,56676900,37250700,18430300,72143900,53731700,35452200,17434800,58958000,42618700,27271900,13089300,46276200,33881800,21986500,10603600,40587800,30081900,19927700,10006600,44057400,32742600,21501100,10560900,35728700,25625500,16379800,7847600,27164900,19876000,12831200,23459200,10922300,19876900,18294900,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,0,0,0,0,0,--,--,0,--,--,0,0,0,
手续费及佣金收入(万元),16234700,12593000,8770300,4566400,15866600,12097300,8540200,4509000,16471400,12779700,9081600,4774400,16167000,12376100,8533000,4072800,14667800,11059800,7938600,4055000,13455000,10369800,7251200,3662900,11588100,8618400,5883600,3052600,10907700,8327300,5684400,2732600,7800800,5802900,3905500,1928100,5904200,4364200,2929100,1423900,4671100,3631300,2547000,1278400,3743900,2631500,1611100,699300,1852900,1329600,876100,1237600,550200,978000,705900,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,0,0,0,0,0,--,--,0,--,--,0,0,0,
其他业务收入(万元),5287900,3973700,2720200,1424900,5409100,3675100,2994600,2370300,4168000,3898100,3215300,2640500,3129000,2220800,1966500,1553500,2360000,1853200,1129100,508100,1445600,1128200,821400,328900,462200,396900,45600,34800,137400,76800,38700,7900,11400,-40400,-4500,-2900,-7100,2000,3300,12100,29300,41500,36000,6500,27700,29000,17700,12600,78400,37200,60900,345200,263300,228700,124300,
营业总成本(万元),40260200,28270000,19226900,9691200,36466000,24498400,16678900,9112200,31557600,22924400,16356300,9636700,33811200,23575400,16289300,8477500,29928000,20108400,13491900,6727300,25259100,17788000,12021400,5952500,22948700,16242300,10582800,5141600,20421400,14048500,9118500,4423500,16633400,11291700,7142400,3342100,14346000,9854700,6328600,2740900,16622700,11221200,7145500,3233100,14097200,9169200,5891500,2673700,10979300,7657700,4712600,7071200,3082100,5533700,5421500,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,0,0,0,0,0,0,0,0,--,--,0,--,--,0,0,0,
利息支出(万元),37557600,27642000,17919100,8862500,33951600,25248100,16743100,8201700,31963400,23933600,16094800,8166500,36391200,27704300,18520800,9155300,35635700,26471700,17500600,8732000,32377600,23913300,15661800,7758600,30361100,22594800,15046400,7553200,22681600,15910000,9821500,4551700,15901300,11715500,7655300,3763500,16005700,12257000,8323900,4231800,17753700,13085900,8322600,3932200,13282200,9655000,6158900,3037400,10810700,8010600,5166500,8659900,4055800,7016100,6636100,
