报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-06-30,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,
营业总收入(万元),50410700,37614100,25144700,12601500,48327800,36407200,24823600,12929500,48363000,36907000,26189500,12281900,47432100,35677300,23956100,12144000,45633100,34633400,23492400,12003800,40750800,30560900,20608400,10546600,36609100,26943500,17962700,9495600,32816600,24527900,16611000,8356700,27681700,20242000,13301000,6755600,23219800,16888100,10785600,5053300,22828800,17739200,11907700,5503700,18066900,13751800,8877100,4286900,14607400,10609600,6837000,3345500,11602800,5667900,10473700,9283900,7720100,6563900,5924200,5071700,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,--,0,0,--,0,--,--,--,0,--,0,0,--,--,--,--,--,
利息收入(万元),68790000,50557800,33458300,16391200,62261600,46111400,30063400,14480700,56613900,42376300,28426500,14550900,61505600,46396000,30842200,15338200,60268000,44934500,29419300,14245700,51899500,38161100,24987000,12297900,50652800,38074300,25312100,12312700,41310200,29803200,19077400,9060900,31353300,22822800,14802500,7125200,26142400,19366800,12733200,6330000,28692700,21461300,14140500,7009100,26187100,19034700,12250300,5966800,21533400,15680600,10012400,4804400,16734500,7746600,12890300,11227400,9931200,13319500,14711000,14190800,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,--,0,0,--,0,--,--,--,0,--,0,0,--,--,--,--,--,
手续费及佣金收入(万元),9999700,7693300,5364100,2861200,10080000,7837200,5434800,2826800,9831900,7518800,5211900,2779300,10090500,7774800,5413400,2625300,9853800,7734300,5557500,3071900,8858500,6994200,4847300,2617200,7519800,5373000,3672100,2238200,7001800,5488100,3760300,1985800,5921400,4472600,3050500,1677600,5023400,3754000,2485000,1207900,4371200,3444200,2411300,1027900,3155400,2160200,1338800,590600,1713900,1201900,816600,373400,1269800,591500,1138800,956800,--,--,996500,726400,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,--,0,0,--,0,--,--,--,0,--,0,0,--,--,--,--,--,
其他业务收入(万元),4243400,3299300,2286700,1370600,4408800,3202900,2234500,1397000,3571500,2504500,1749200,1078000,3227400,2538100,1855300,1154200,2779400,2233900,1654000,1010700,3133200,2465000,1801800,1080800,2605900,1927000,1325700,908400,2114400,1661600,1166700,710500,1843900,1311500,857200,476900,1712900,1213200,608800,263500,1719100,1459100,945800,526000,1662400,1093900,679800,314800,1079200,765100,571400,267100,214200,36100,136500,71300,1097500,1470900,113600,163900,
营业总成本(万元),27562200,18144900,11016900,5882900,26104900,17415900,10827200,6498100,26361900,18780100,13329600,6029600,24394500,17876100,11557400,5921300,22541200,16836900,11349500,5932100,19531700,14382200,9623500,5121600,17878600,12657600,8265500,4493700,15962700,11376200,7539700,3773600,13465400,9534900,6288300,3221100,12164000,8435000,5201400,2532200,14213500,9709300,6191700,2535300,9246200,6239400,3845400,1860200,8012000,5222400,3471400,1618400,5128400,2824600,7069300,3801300,6036600,5548800,3141000,2834300,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,--,0,0,--,0,--,--,--,0,--,0,0,--,--,--,--,--,
利息支出(万元),32819400,24127200,15788200,7786100,28422700,20903000,13559200,6619900,26009100,19395800,12940700,6597300,28640600,21768000,14503100,7238200,28157800,21057000,13751800,6599000,23541000,17340600,11258200,5601900,24956400,19129900,12906700,6252900,18503800,13073000,8055900,3707300,11957100,8742400,5616100,2674600,10254300,7805800,5261000,2646200,12399100,9236300,5988200,2927600,10912600,7977400,5147600,2529500,9396300,6952900,4530100,2182600,6694000,2880800,4391800,4037000,4344300,8226500,10215000,10467700,
