报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),71028,48240,24271,101551,68635,46227,23719,92258,67971,43972,23746,68364,38585,26250,12904,52784,34278,21736,--,40499,29663,19132,9848,35703,32494,29430,18075,14372,
营业收入(万元),71028,48240,24271,101551,68635,46227,23719,92258,67971,43972,23746,68364,38585,26250,12904,52784,34278,21736,--,40499,29663,19132,9848,35703,32494,29430,18075,14372,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),63512,42473,20894,87149,58690,39415,20038,75674,55704,35092,19177,56488,34043,22586,10899,44044,27840,17543,--,32585,23356,14985,7029,28980,25474,22590,13722,11973,
营业成本(万元),56597,38062,18789,80184,53751,36321,18547,67995,50035,31587,17400,50307,30851,20549,9965,39526,24905,15618,--,29560,21467,13799,7029,26601,22926,20892,12759,11337,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),1203,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),403,279,131,598,357,243,109,626,290,199,136,209,94,68,26,272,155,93,--,187,118,82,--,115,126,83,60,4,
销售费用(万元),1099,699,359,1205,849,540,291,1087,770,484,248,677,368,241,126,343,233,144,--,288,210,130,--,225,180,119,89,43,
管理费用(万元),3361,3030,1497,5151,3814,2381,1117,6007,4658,2853,1393,4986,2727,1752,802,3617,2267,1468,--,2272,1372,840,--,1730,1910,1245,831,410,
财务费用(万元),817,371,117,-41,-64,-52,-26,-66,-43,-24,-0,189,0,-28,-20,262,256,194,--,208,123,67,--,311,329,250,-18,184,
资产减值损失(万元),31,31,--,53,-17,-17,--,25,-7,-7,--,120,4,3,--,25,26,26,--,70,66,66,--,-2,3,1,-0,-5,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),410,168,47,175,161,114,61,190,140,54,14,770,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,170,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),8865,6066,3486,14876,10288,6925,3742,16774,12407,8933,4584,12646,4541,3665,2006,8740,6438,4193,--,7914,6306,4148,2315,6723,7020,6840,4353,2400,
营业外收入(万元),98,91,4,259,344,273,29,279,147,109,74,128,76,50,23,91,69,36,--,155,88,71,--,56,112,--,45,--,
营业外支出(万元),47,43,0,25,29,3,0,11,8,5,4,69,4,2,2,3,2,2,--,1,1,0,--,4,11,11,2,23,
非流动资产处置损失(万元),--,--,--,--,5,1,--,8,6,4,4,1,--,--,--,3,2,--,--,1,1,--,--,4,6,5,2,23,
利润总额(万元),8915,6114,3489,15111,10603,7195,3771,17042,12547,9037,4653,12705,4614,3713,2026,8828,6504,4226,--,8068,6393,4218,2331,6775,7121,6829,4395,2377,
所得税费用(万元),2187,1439,921,3762,2597,1744,943,4129,3173,2290,1229,2932,1099,841,523,2200,1509,940,--,2038,1499,980,--,1667,1806,1801,1148,978,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),6728,4675,2568,11349,8006,5450,2828,12913,9374,6747,3424,9773,3515,2872,1503,6628,4995,3287,--,6030,4894,3238,1722,5108,5315,5029,3247,1399,
归属于母公司所有者的净利润(万元),6614,4626,2583,11363,8006,5450,2828,12913,9374,6747,3424,9773,3515,2872,1503,6628,4995,3287,1682,6030,4894,3238,1722,5108,5315,5029,3247,1399,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,4542,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-15,--,
少数股东损益(万元),114,50,-15,-14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.35,0.24,0.14,0.6,0.42,0.28,0.15,0.68,0.5,0.36,0.36,1.03,0.44,0.36,0.19,0.95,0.75,0.55,--,1,0.82,0.54,--,0.85,0.89,0.84,0.54,0.23,
稀释每股收益,0.34,0.24,0.13,0.59,0.42,0.28,0.15,0.67,0.49,0.35,0.36,1.03,0.44,0.36,0.19,0.95,0.75,0.55,--,1,0.82,0.54,--,0.85,0.89,0.84,0.54,0.23,
