报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,
营业总收入(万元),113684,64594,28165,147317,111266,71815,33325,122655,86488,53904,26457,87997,63689,42411,20544,74694,54240,34681,15605,64509,48060,64113,61395,
营业收入(万元),113684,64594,28165,147317,111266,71815,33325,122655,86488,53904,26457,87997,63689,42411,20544,74694,54240,34681,15605,64509,48060,64113,61395,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),104208,61051,27623,136391,99806,64060,28963,105114,73739,45933,22666,77277,55839,37074,18022,69511,49937,31587,14621,58332,43293,57841,55510,
营业成本(万元),88469,52345,23171,117146,87157,56188,25408,91825,64451,39774,19508,67040,48870,32465,15828,59924,43489,27745,12651,50635,37826,49646,49438,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),2207,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),714,461,209,1155,804,549,258,641,386,231,127,395,275,201,104,254,171,103,42,256,216,272,223,
销售费用(万元),5753,3196,1372,7514,5196,3439,1641,6344,4367,2784,1235,5237,3549,2297,1173,3732,2532,1499,774,2879,2243,3689,2287,
管理费用(万元),5462,4357,1775,8593,5309,3346,1503,7116,4990,3570,1737,5685,3546,1970,844,4362,2729,1603,865,3467,2234,3448,2627,
财务费用(万元),-323,624,1299,1940,1212,372,35,-1055,-609,-459,38,-1263,-833,-84,-43,1059,846,516,222,972,600,649,985,
资产减值损失(万元),1926,68,-204,43,127,166,119,243,154,34,20,184,432,226,116,180,169,121,66,124,175,136,-50,
公允价值变动收益(万元),-33,-48,-48,-75,-162,-159,-103,274,143,56,54,-149,-105,27,-64,-318,-361,-405,-358,329,287,-13,--,
投资收益(万元),156,156,156,227,153,65,--,-135,-138,2,2,196,157,115,55,59,32,32,-14,422,148,4,5,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),9866,3855,777,11645,11452,7661,4259,17680,12753,8028,3848,10767,7901,5479,2514,4924,3974,2722,612,6928,5201,6263,5890,
营业外收入(万元),6834,2148,39,589,751,655,329,669,519,253,60,413,300,104,42,251,165,72,24,165,124,176,176,
营业外支出(万元),126,96,83,617,24,6,5,251,113,62,18,524,307,112,50,96,76,43,15,61,46,50,61,
非流动资产处置损失(万元),--,--,--,--,--,--,--,147,22,22,--,233,109,--,--,9,9,9,--,--,--,0,--,
利润总额(万元),16574,5907,732,11617,12179,8309,4583,18098,13159,8219,3889,10656,7894,5471,2506,5079,4063,2750,621,7031,5279,6390,6005,
所得税费用(万元),3219,1137,219,2510,2169,1401,866,3161,2314,1403,701,2154,1952,1367,624,873,662,438,40,1148,880,1017,986,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),13355,4770,514,9107,10009,6908,3716,14937,10845,6816,3188,8502,5942,4104,1882,4206,3401,2312,581,5883,4399,5373,5019,
归属于母公司所有者的净利润(万元),13589,4770,514,9107,10009,6908,3716,14952,10860,6831,3198,8502,5942,4104,1882,4206,3401,2312,581,5883,4399,5373,5019,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-233,-0,-0,0,0,-0,-0,-15,-15,-15,-10,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.54,0.19,0.02,0.36,0.39,0.27,0.15,0.59,0.43,0.27,0.28,0.85,0.59,0.41,0.19,0.52,0.45,0.31,0.08,0.78,0.59,0.72,0.67,
稀释每股收益,0.54,0.19,0.02,0.36,0.39,0.27,0.15,0.59,0.43,0.27,0.28,0.85,0.59,0.41,0.19,0.52,0.45,0.31,0.08,0.78,0.59,0.72,0.67,
