报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31,2011-12-31,
营业总收入(万元),419849,263762,170215,58191,277626,161454,101300,44371,199123,115156,75215,34289,139729,85264,58609,26712,126088,82857,58977,25410,114588,74263,52544,104824,84904,
营业收入(万元),419849,263762,170215,58191,277626,161454,101300,44371,199123,115156,75215,34289,139729,85264,58609,26712,126088,82857,58977,25410,114588,74263,52544,104824,84904,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),377797,237762,152024,51211,245228,141984,88408,38656,175432,101546,65153,29712,122276,75023,50712,22892,107663,71035,49211,20825,97534,65018,44075,88789,72226,
营业成本(万元),309747,184237,122243,41632,189677,102495,64942,28429,131521,72856,47273,23239,84918,52143,36782,17740,75542,49249,35575,15206,67079,44109,30115,58492,46637,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),4657,9042,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),2877,1738,1072,359,2350,1277,927,309,1898,811,530,231,1466,806,516,219,1186,893,600,310,1430,888,604,4910,4099,
销售费用(万元),16465,11832,7709,3407,15060,11216,6139,3276,11708,8078,5201,2689,10022,6145,3980,1674,8054,5739,3891,1726,7438,5643,3920,5781,5021,
管理费用(万元),24970,18528,13791,5368,24362,18244,11358,5031,23277,15073,10093,3918,18902,12209,7683,3212,16358,10730,7024,3542,15262,11192,7990,14247,14098,
财务费用(万元),1826,1243,609,168,842,581,340,121,621,424,272,166,644,374,70,-72,1029,917,427,178,800,612,320,696,365,
资产减值损失(万元),17253,11141,6599,277,12938,8171,4702,1491,6407,4304,1784,-531,6323,3346,1680,119,5494,3507,1694,-137,5527,2574,1127,4664,2006,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),3315,2355,1313,119,2216,1509,1352,244,1115,978,766,186,1151,859,741,369,373,374,40,22,502,257,152,462,754,
对联营企业和合营企业的投资收益(万元),508,355,218,5,849,449,625,189,311,242,226,4,448,130,--,214,372,374,40,22,502,257,152,461,742,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),47200,28807,19831,7380,35501,20979,14245,5959,24806,14589,10828,4764,18604,11100,8638,4190,18798,12196,9806,4608,17555,9503,8620,16497,13433,
营业外收入(万元),17,6,15,4,13,265,69,18,522,290,175,126,342,91,83,57,918,107,49,7,485,20,15,366,1671,
营业外支出(万元),47,39,2,1,40,27,27,1,62,43,17,4,68,14,12,--,78,36,10,0,50,42,32,136,104,
非流动资产处置损失(万元),--,--,--,--,--,1,1,1,7,--,--,--,28,2,2,--,42,0,--,--,12,7,6,26,1,
利润总额(万元),47171,28774,19844,7383,35474,21218,14287,5976,25266,14836,10986,4886,18878,11177,8710,4247,19638,12268,9844,4615,17991,9480,8604,16726,15000,
所得税费用(万元),6588,4054,2748,1238,5353,3104,2079,934,4022,2354,1743,752,2846,1737,1251,671,3042,1842,1504,708,3001,1637,1656,3081,2816,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),40583,24720,17097,6145,30121,18114,12207,5042,21243,12482,9243,4134,16032,9440,7458,3575,16596,10426,8340,3907,14990,7843,6948,13645,12184,
归属于母公司所有者的净利润(万元),39617,24223,16765,5926,29666,17921,12065,4906,20987,12411,9238,4133,16027,9444,7460,3578,16593,10431,8344,3908,14986,7843,6946,13641,11727,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
