报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),80770,54582,99791,76095,51878,87627,20973,68251,57320,53220,
营业收入(万元),80770,54582,99791,76095,51878,87627,20973,68251,57320,53220,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),74141,49783,91619,68687,47012,81997,18600,64027,53969,48051,
营业成本(万元),56555,37777,69192,52301,35493,64955,14894,48220,40244,36214,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),839,612,932,588,382,543,100,467,404,323,
销售费用(万元),8277,5391,12075,8416,5946,9137,2238,7956,6881,6620,
管理费用(万元),7211,4743,7808,5887,4072,6339,1204,5586,4935,3892,
财务费用(万元),259,226,819,691,357,671,185,754,387,481,
资产减值损失(万元),1000,1034,793,805,762,350,-22,1043,1118,520,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,--,--,--,--,21,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),6629,4799,8172,7408,4866,5631,2373,4225,3351,5190,
营业外收入(万元),706,626,2174,182,13,185,23,83,37,63,
营业外支出(万元),32,8,136,27,15,65,52,31,72,69,
非流动资产处置损失(万元),3,2,42,--,--,54,52,12,59,65,
利润总额(万元),7303,5417,10211,7563,4864,5752,2344,4277,3316,5184,
所得税费用(万元),1225,865,1815,1260,1012,1003,441,952,654,1264,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),6078,4551,8395,6303,3853,4749,1903,3325,2663,3920,
归属于母公司所有者的净利润(万元),6078,4551,8395,6303,3853,4749,1903,3325,2663,3920,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.52,0.42,0.82,0.62,0.38,0.47,0.19,0.35,--,--,
稀释每股收益,0.52,0.42,0.82,0.62,0.38,0.47,0.19,0.35,--,--,
