报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),63843,42984,95101,68863,72435,73285,71996,
营业收入(万元),63843,42984,95101,68863,72435,73285,71996,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),57400,38391,86084,62850,65550,67139,66632,
营业成本(万元),45828,30945,72170,52611,51663,53818,53649,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),546,367,614,392,678,322,440,
销售费用(万元),1284,915,1382,1004,1321,1633,1566,
管理费用(万元),7427,4581,10250,7325,8309,8077,7684,
财务费用(万元),1588,1094,1062,1053,3528,3391,2844,
资产减值损失(万元),727,489,606,465,52,-102,448,
公允价值变动收益(万元),-153,-153,319,-108,-287,25,20,
投资收益(万元),-81,-29,-626,-135,66,--,0,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),6260,4462,8710,5771,6664,6172,5384,
营业外收入(万元),575,143,1659,1282,1376,413,337,
营业外支出(万元),74,58,114,41,104,193,81,
非流动资产处置损失(万元),--,--,--,--,--,--,--,
利润总额(万元),6761,4546,10255,7012,7936,6391,5640,
所得税费用(万元),1455,862,2475,1663,1522,1348,926,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),5306,3685,7781,5349,6414,5044,4714,
归属于母公司所有者的净利润(万元),5295,3701,7668,5295,6440,5053,4753,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,
少数股东损益(万元),11,-16,113,54,-26,-9,-39,
基本每股收益,0.95,0.66,1.37,0.95,1.28,1.01,0.95,
稀释每股收益,0.95,0.66,1.37,0.95,1.28,1.01,0.95,
