报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),64547,39287,16337,77584,49862,32384,13461,69407,44854,31271,11376,56327,12033,44502,35939,23199,
营业收入(万元),64547,39287,16337,77584,49862,32384,13461,69393,44854,31265,11376,56307,12033,44485,35939,23199,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,14,--,7,--,20,--,16,--,--,
营业总成本(万元),64450,40383,17153,74193,47960,31230,13379,64416,42734,30374,11451,52785,11265,42534,31277,18496,
营业成本(万元),55363,34156,14325,61672,38910,25229,10218,52917,34681,24684,8645,43246,8635,33223,23993,14302,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),255,126,25,478,128,69,173,1196,689,476,234,905,208,1079,1556,1142,
销售费用(万元),960,660,345,1362,1004,705,377,1228,857,593,297,1090,184,898,740,532,
管理费用(万元),5849,4139,2078,8186,6060,3990,2037,6982,5142,3542,2025,6478,1682,5836,4417,2506,
财务费用(万元),339,271,130,553,421,277,119,526,397,259,139,676,152,470,264,152,
资产减值损失(万元),1684,1032,249,1941,1437,959,455,1568,968,820,111,390,404,1028,307,-138,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,10,--,--,--,--,--,--,--,--,--,--,--,-22,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),97,-1097,-816,3401,1902,1154,82,4990,2120,897,-75,3541,768,1968,4662,4681,
营业外收入(万元),514,441,11,219,43,22,10,169,161,101,0,82,80,235,91,19,
营业外支出(万元),16,5,3,68,46,42,0,62,60,39,11,117,--,110,6,69,
非流动资产处置损失(万元),3,0,0,26,17,17,0,41,40,--,1,40,--,1,--,--,
利润总额(万元),595,-661,-808,3552,1899,1134,92,5097,2221,959,-86,3507,848,2094,4746,4630,
所得税费用(万元),-339,-350,-37,523,278,184,12,833,371,150,39,653,186,377,869,790,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),934,-311,-771,3029,1621,949,81,4264,1850,809,-125,2854,662,1716,3877,3840,
归属于母公司所有者的净利润(万元),934,-311,-771,3029,1621,949,81,4264,1850,809,-125,2854,662,1716,3877,3840,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,164,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.12,-0.04,-0.1,0.44,0.2,0.16,0.01,0.71,0.31,0.13,-0.02,0.48,0.11,0.29,0.65,0.64,
稀释每股收益,0.12,-0.04,-0.1,0.44,0.2,0.16,0.01,0.71,0.31,0.13,-0.02,0.48,0.11,0.29,0.65,0.64,
