报告日期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),27549,57123,27890,59514,57556,46720,
营业收入(万元),27549,57123,27890,59514,57556,46720,
利息收入(万元),--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,
营业总成本(万元),24271,49636,23449,51762,50556,42516,
营业成本(万元),21344,41819,19790,43121,43980,36535,
利息支出(万元),--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,
营业税金及附加(万元),229,459,177,227,185,240,
销售费用(万元),1160,2511,1159,2641,2389,2337,
管理费用(万元),1572,4257,1993,4872,3603,3200,
财务费用(万元),67,169,84,292,228,68,
资产减值损失(万元),-100,421,245,610,172,136,
公允价值变动收益(万元),--,--,--,--,--,--,
投资收益(万元),0,119,118,-146,-70,-59,
对联营企业和合营企业的投资收益(万元),--,--,--,-8,-70,-39,
汇兑收益(万元),--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,
营业利润(万元),3366,7605,4559,7606,6929,4145,
营业外收入(万元),688,680,555,640,302,749,
营业外支出(万元),7,122,45,192,95,124,
非流动资产处置损失(万元),--,96,36,1,22,5,
利润总额(万元),4047,8163,5070,8054,7136,4769,
所得税费用(万元),899,1966,1356,2998,1566,1415,
未确认投资损失(万元),--,--,--,--,--,--,
净利润(万元),3148,6197,3714,5056,5570,3354,
归属于母公司所有者的净利润(万元),3181,6391,3767,5119,5518,3355,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,
少数股东损益(万元),-33,-194,-54,-63,52,-1,
基本每股收益,0.32,0.64,0.38,0.51,0.55,--,
稀释每股收益,0.32,0.64,0.38,0.51,0.55,--,
