报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2012-12-31,
营业总收入(万元),22282,16246,7832,27353,15087,23843,13466,23552,12465,22213,19456,
营业收入(万元),22282,16246,7832,27353,15087,23843,13466,23552,12465,22213,19456,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),18455,13355,6403,23109,12556,20740,11392,20494,10908,19141,17040,
营业成本(万元),15801,11397,5435,19563,10771,17173,9413,17202,9148,16136,14239,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),145,105,57,177,92,131,81,119,64,109,69,
销售费用(万元),918,645,292,875,443,615,323,666,320,580,456,
管理费用(万元),1632,1117,561,2058,1001,1948,1106,1641,826,1615,1573,
财务费用(万元),-28,4,33,189,124,384,216,597,305,702,782,
资产减值损失(万元),-13,87,25,248,125,489,253,270,246,-1,-79,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),36,--,--,--,--,--,--,--,--,32,368,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),4736,3294,1429,4244,2530,3103,2074,3058,1557,3105,2784,
营业外收入(万元),1,1,157,1153,385,1140,727,791,277,670,763,
营业外支出(万元),7,7,2,116,65,32,12,29,5,27,74,
非流动资产处置损失(万元),5,5,--,61,--,21,11,4,4,--,20,
利润总额(万元),4731,3288,1584,5281,2850,4211,2789,3820,1829,3748,3472,
所得税费用(万元),453,340,165,510,322,438,297,377,206,336,309,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),4278,2949,1419,4771,2528,3772,2492,3444,1623,3412,3163,
归属于母公司所有者的净利润(万元),4278,2949,1419,4771,2528,3772,2492,3444,1623,3412,3163,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,-10,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,1,
基本每股收益,0.51,0.37,0.19,0.72,0.38,0.57,0.38,0.52,0.25,0.52,0.49,
稀释每股收益,0.51,0.37,0.19,0.72,0.38,0.57,0.38,0.52,0.25,0.52,0.49,
