报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),1147908,685022,312933,1369584,999458,600048,269040,1187058,848015,505224,208299,969631,736424,427838,197355,913945,672099,397639,--,852546,617770,365177,170691,813852,725675,564342,494874,
营业收入(万元),1147908,685022,312933,1369584,999458,600048,269040,1187058,848015,505224,208299,969631,736424,427838,197355,913945,672099,397639,--,852546,617770,365177,170691,813852,725675,564342,494874,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),1116691,672213,305739,1333824,976992,591824,264351,1146049,818728,487864,202236,933506,712739,414592,193253,886011,653251,387394,--,834698,606845,356469,--,784855,693719,540441,470902,
营业成本(万元),1051025,629748,283579,1252147,912335,549743,243206,1072748,762714,451681,184099,869613,663136,383382,177202,826906,608955,359700,--,778925,565291,331265,--,737931,653965,507332,444032,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),4622,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1784,1176,563,2487,1777,1146,555,1527,91,57,29,137,99,62,22,166,132,88,--,199,130,85,--,209,123,57,82,
销售费用(万元),32965,21070,10022,41151,32494,21133,9678,37005,28515,18475,8432,32990,25729,16084,7595,28133,21536,13224,--,27500,21028,11959,--,23478,20843,18197,15492,
管理费用(万元),15583,13338,7109,28789,21500,14691,7302,28471,21104,14058,7025,25449,18338,11963,6091,24861,17261,11161,--,21190,15167,9921,--,17896,14763,12375,9563,
财务费用(万元),5913,3309,1501,6085,4594,3076,1414,4479,3142,2011,1077,4317,3429,2311,1046,5405,4297,2945,--,6148,4411,2930,--,4998,3969,2642,1447,
资产减值损失(万元),4798,3572,2964,3165,4292,2035,2196,1819,3162,1583,1574,1001,2009,790,1297,539,1070,277,--,737,819,309,--,343,57,-161,286,
公允价值变动收益(万元),93,84,21,-26,5,3,-4,6,7,-12,1,-5,-16,4,0,-14,-295,--,--,--,--,--,--,--,-13,-1,14,
投资收益(万元),19799,9274,3699,17112,8167,3325,2088,11406,7250,5130,1231,1586,1308,1266,1647,1472,1628,914,--,2584,2036,2038,--,415,1953,220,1964,
对联营企业和合营企业的投资收益(万元),19352,8915,3649,10886,8012,3201,2034,9811,7227,5763,1215,-443,-351,-364,-117,1306,1218,504,--,1172,867,904,--,413,1898,184,184,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),51243,22131,11013,56180,31235,11552,6772,52420,36544,22478,7294,37705,24976,14516,5749,29391,20181,11159,--,20431,12962,10747,2028,29412,33896,24121,25950,
营业外收入(万元),1069,857,395,2254,1993,1455,1267,2797,1752,1329,1208,3330,1454,814,368,3775,1752,445,--,2768,1370,1029,--,2820,1887,1631,1470,
营业外支出(万元),560,429,55,306,248,137,24,443,210,170,99,169,103,78,53,337,151,90,--,151,54,49,--,203,71,239,186,
非流动资产处置损失(万元),--,--,--,--,76,26,7,158,32,43,9,62,37,34,33,138,23,20,--,72,15,12,--,22,31,57,14,
