报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),142554,91484,172303,126821,78667,153017,139798,111584,
营业收入(万元),142554,91484,172303,126821,78667,153017,139798,111584,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),124216,80021,143324,106222,64375,131544,125618,106639,
营业成本(万元),103554,66369,118607,86980,53910,109219,105876,88734,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),1278,897,1398,846,514,830,549,508,
销售费用(万元),7100,4935,9949,8100,4085,10298,8349,6381,
管理费用(万元),9831,6443,14329,9805,5432,11103,9803,8351,
财务费用(万元),2007,1093,-1059,328,387,-1014,387,2219,
资产减值损失(万元),445,283,101,163,47,1108,655,445,
公允价值变动收益(万元),--,--,1825,1825,1558,-1479,-1290,675,
投资收益(万元),546,566,-818,-757,-775,808,1090,927,
对联营企业和合营企业的投资收益(万元),98,123,208,299,95,469,417,364,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),19423,12474,29987,21667,15075,20802,13981,6546,
营业外收入(万元),41,5,1449,1366,938,1556,697,630,
营业外支出(万元),414,412,296,109,75,223,255,119,
非流动资产处置损失(万元),1,1,60,1,1,36,66,--,
利润总额(万元),19049,12067,31140,22924,15938,22134,14423,7058,
所得税费用(万元),2384,1521,4264,3229,2888,2707,2049,904,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),16666,10546,26876,19695,13050,19427,12374,6154,
归属于母公司所有者的净利润(万元),16358,10366,26376,19259,12783,18975,12180,6048,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,
少数股东损益(万元),308,179,500,436,266,452,194,106,
基本每股收益,2.18,1.38,3.52,2.57,1.7,2.53,1.62,0.81,
稀释每股收益,2.18,1.38,3.52,2.57,1.7,2.53,1.62,0.81,
