报告日期,2017-09-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),117909,26355,131383,94031,131426,64237,172229,160712,126661,
营业收入(万元),117909,26355,131383,94031,131426,64237,172229,160712,126661,
利息收入(万元),--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,
营业总成本(万元),105707,23721,117919,84315,112384,54426,167087,139272,114690,
营业成本(万元),71876,15544,75621,54298,67977,32869,102245,104658,83649,
利息支出(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1332,332,1614,864,1302,592,1298,1155,862,
销售费用(万元),15632,3890,19422,12791,18708,9873,22367,17573,14472,
管理费用(万元),13191,4354,16410,11945,18214,8385,33149,12644,9563,
财务费用(万元),3204,1021,4543,3421,4893,2923,5053,2587,1507,
资产减值损失(万元),472,-1420,309,995,1290,-217,2975,655,4637,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,--,173,13,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),14424,2635,13464,9717,19042,9811,5315,21452,11971,
营业外收入(万元),11,1792,2708,1906,1947,399,986,1414,1258,
营业外支出(万元),178,90,189,173,191,140,29,179,382,
非流动资产处置损失(万元),1,1,51,32,66,63,11,--,264,
利润总额(万元),14256,4338,15983,11450,20797,10069,6273,22687,12847,
所得税费用(万元),2665,877,2572,1999,3553,1872,3963,4147,2038,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),11592,3461,13411,9451,17244,8198,2310,18539,10809,
归属于母公司所有者的净利润(万元),11507,3432,13294,9433,17136,8145,2295,18556,10779,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,
少数股东损益(万元),84,29,117,18,108,52,15,-16,30,
基本每股收益,0.5,0.15,0.58,0.41,0.8,0.41,0.14,2.32,1.8,
稀释每股收益,0.5,0.15,0.58,0.41,0.8,0.41,0.14,2.32,1.8,
