报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),42712,179250,126178,81526,37665,155365,108197,69550,30979,130850,94107,59745,27855,117382,85620,57245,105457,86650,44269,87534,82798,58992,
营业收入(万元),42712,179250,126178,81526,37665,155365,108197,69550,30979,130850,94107,59745,27855,117382,85620,57245,105457,86650,44269,87534,82798,58992,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),38070,148138,103349,66373,30661,127146,88732,57234,26020,105001,75143,48569,21377,93234,67741,44259,86481,75361,38095,77101,72319,48926,
营业成本(万元),30116,118516,82543,52578,24437,101177,71571,45942,19696,85465,61690,39871,17925,76011,55972,36182,71053,61778,32186,64682,58538,41237,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),382,1548,1133,772,367,1625,927,631,278,1137,789,475,268,1013,775,447,762,1242,251,227,585,241,
销售费用(万元),3128,11856,8593,5752,3086,9937,7115,4754,2342,7521,5162,3409,1398,6446,4589,3159,5588,4257,1713,3739,3859,2929,
管理费用(万元),3877,14498,9927,6439,2729,13767,8820,5642,3334,10644,7506,4425,1762,7760,5736,3930,7146,6445,3244,6373,8246,3259,
财务费用(万元),550,682,648,298,56,-655,-283,-231,-3,-554,-368,28,81,789,585,457,1647,1639,696,1793,1065,917,
资产减值损失(万元),17,1038,504,533,-15,1296,582,496,372,789,365,359,-57,1215,84,84,284,-0,5,289,27,343,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),74,2219,2156,1626,802,2566,2189,1604,927,353,139,6,--,4,4,4,2,2,2,2,4,-9,
对联营企业和合营企业的投资收益(万元),--,-9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),4704,33694,26239,18033,7806,30784,21653,13920,5886,26201,19102,11183,6478,24152,17883,12989,18978,11291,6176,10434,10483,10057,
营业外收入(万元),1408,1447,234,145,1226,2106,2452,2064,620,1112,1033,904,7,944,893,884,622,512,446,975,303,1064,
营业外支出(万元),65,938,143,80,44,1653,354,184,52,453,106,73,29,1145,528,156,365,72,32,232,95,443,
非流动资产处置损失(万元),--,--,81,75,42,1532,240,143,46,242,85,58,28,866,471,78,174,9,1,211,14,406,
利润总额(万元),6047,34203,26330,18099,8987,31238,23751,15800,6454,26860,20029,12014,6456,23951,18248,13717,19235,11731,6590,11176,10691,10678,
