 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2006-09-30,2005-12-31,2004-12-31, 
 销售商品、提供劳务收到的现金(万元),32477,180379,137271,104374,48522,189356,104012,58781,23635,112522,63422,40679,13345,69273,45959,29095,12124,55217,33704,22897,10530,53408,26582,16107,5336,42381,22558,9773,3758,22845,12119,8341,1544,18446,10833,6702,2240,18377,10397,7609,3609,20464,12441,7748,16974,--,14988,16541, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,339,0,0,--,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,--,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,--,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,--,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,--,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,--,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,--,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,--,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,--,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,--,0,0, 
 收到的税费返还(万元),895,1714,829,341,160,1345,1180,941,631,1021,1021,863,357,1635,1236,838,258,1421,1067,490,138,750,267,188,--,468,122,--,--,--,68,68,68,428,428,428,--,114,114,114,--,339,0,0,314,--,399,231, 
 收到的其他与经营活动有关的现金(万元),2980,7801,75935,51064,24139,6090,5903,2061,675,5859,10511,646,1216,7295,6459,5153,1077,15826,7884,7698,2560,4918,1646,1494,292,3137,6916,150,77,465,283,165,63,526,148,107,37,828,237,194,49,59,22,14,30,--,35,29, 
 经营活动现金流入小计(万元),36351,189894,214036,155778,72820,196792,111094,61783,24940,119401,74955,42189,14918,78203,53653,35086,13459,72464,42655,31085,13229,59076,28495,17790,5628,45986,29596,9922,3835,23311,12469,8573,1675,19400,11409,7237,2278,19319,10748,7918,3658,20863,12802,7762,17318,--,15422,16801, 
 购买商品、接受劳务支付的现金(万元),32339,113970,89817,67535,26364,105507,75176,38462,14253,47017,33065,21573,12118,40460,26055,16407,7814,30001,21802,13180,7287,34759,24434,17333,9152,35315,19996,6419,2639,8758,5731,3048,1295,5214,3921,2617,1392,9378,7650,5864,3493,8543,5833,2729,7796,--,7937,5530, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,--,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,--,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,--,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,--,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,--,0,0, 
 支付给职工以及为职工支付的现金(万元),9172,46796,28682,18385,8978,38901,22678,14352,6868,28642,17854,11248,5683,23031,13048,8414,4253,16814,10892,7242,3888,15137,9646,6292,3105,10446,6907,2922,1497,5309,3334,1918,920,3763,2426,1578,775,4127,2655,1811,737,3537,2113,1250,2794,--,2545,3401, 
 支付的各项税费(万元),2877,15167,11910,9455,3665,8648,4419,2671,1233,7877,4683,3371,2209,5426,4019,3089,2261,2861,2647,2005,578,2709,1787,1334,789,2446,1822,778,433,2333,1770,654,466,1864,1525,1238,1137,1069,778,351,216,1532,1420,889,726,--,332,666, 
 支付的其他与经营活动有关的现金(万元),12395,40922,90417,68352,24740,19840,14257,8527,4586,17346,13295,11340,3483,13218,9932,5867,2880,19361,8815,4424,2233,6114,6298,4140,1479,8541,9027,285,261,2895,1021,559,328,940,584,356,170,1043,505,431,227,891,809,475,1009,--,728,541, 
 经营活动现金流出小计(万元),56782,216855,220827,163727,63748,172897,116531,64012,26939,100882,68898,47532,23493,82136,53054,33777,17208,69038,44155,26851,13986,58719,42165,29098,14525,56748,37752,10404,4831,19295,11856,6180,3009,11780,8457,5790,3474,15618,11588,8456,4672,14504,10175,5344,12325,--,11542,10138, 
 经营活动产生的现金流量净额(万元),-20431,-26961,-6791,-7948,9073,23894,-5436,-2229,-1999,18519,6056,-5343,-8575,-3933,600,1309,-3748,3426,-1500,4233,-757,356,-13669,-11309,-8896,-10762,-8156,-481,-996,4016,613,2393,-1334,7620,2953,1447,-1196,3701,-839,-538,-1014,6359,2627,2419,4993,1583,3880,6663, 
 收回投资所收到的现金(万元),--,503,503,503,--,4000,4000,4000,2000,66200,62200,49000,26000,31000,13935,--,--,90000,70000,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,--,0,0, 
 取得投资收益所收到的现金(万元),--,18,18,0,--,27,27,27,15,321,283,241,122,419,170,--,--,417,241,--,--,40,10,--,--,37,37,30,--,34,4,4,--,322,--,281,251,30,30,30,--,20,20,0,16,--,28,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,63,55,6,6,43,16,16,11,79,79,77,6,6,5,5,0,8,8,8,3,22,2,--,--,--,--,--,--,--,--,0,--,15,281,--,0,4,4,4,0,1006,1006,1006,1139,--,0,159, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,15,--,--,--,--,--,--,0,0,0,0,--,0,0, 
 收到的其他与投资活动有关的现金(万元),--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,2357,--,--,--,691,523,523,127,4679,483,420,--,667,--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,--,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,--,0,0, 
 投资活动现金流入小计(万元),0,584,576,509,6,4070,4043,4043,2026,66600,62563,49318,26128,31426,14111,5,0,92782,70249,8,3,753,534,523,127,4716,520,450,0,701,4,4,--,337,296,281,251,34,34,34,--,1026,1026,1006,1155,--,28,159, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),11629,65790,40695,25585,12144,200304,158626,56976,18032,31910,26932,20061,7175,24531,18475,9333,4128,17266,11762,8666,4672,22756,16868,10189,5022,47238,39372,3685,2257,19095,14015,7925,5646,7643,2607,399,24,2481,2199,1492,23,391,368,262,210,--,1410,1484, 
 投资所支付的现金(万元),0,--,0,0,--,7845,--,--,--,58220,53200,46000,24000,44000,28000,15000,--,90000,75000,--,--,252,252,252,--,--,--,--,--,2000,--,0,--,0,--,--,--,--,--,--,--,930,930,930,0,--,0,1000, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,--,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,--,0,0, 
 支付的其他与投资活动有关的现金(万元),--,--,0,0,--,--,46,46,--,--,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,36,36,--,--,1090,0,--,0,17,--,--,--,--,--,--,0,0,0,0,--,0,0, 
