 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-03-31,2006-12-31,2005-12-31, 
 销售商品、提供劳务收到的现金(万元),40287,173404,130700,81083,37925,174892,131918,89520,41543,188319,102651,69938,33122,141065,74063,45918,21521,91247,65162,44047,19829,91905,69779,44287,19811,84323,58677,37621,18797,78065,56835,36039,18798,73933,52888,35881,15963,67682,51152,32502,15855,66202,20297,55252,48347, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,0,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,0,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,0,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,0,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,0,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,0,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,0,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,0,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,0,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,0,0,0,0,0, 
 收到的税费返还(万元),1,217,9,6,6,10,200,111,5,1268,1256,5,--,34,1,1,--,48,--,--,--,--,--,--,--,66,1710,3,--,31,63,34,32,140,18,4,--,12,--,0,0,0,0,3,10, 
 收到的其他与经营活动有关的现金(万元),2751,6533,6321,4664,2353,9890,7027,5352,1712,9515,4534,3665,1408,5540,2087,1747,896,4378,4348,2819,828,2929,3427,2576,1646,5302,7606,6658,5612,2933,2931,1900,555,2464,2594,1559,418,3952,2448,1880,746,1569,673,1847,2058, 
 经营活动现金流入小计(万元),43040,180155,137030,85753,40284,184792,139145,94984,43260,199102,108441,73609,34530,146639,76150,47666,22417,95673,69511,46866,20657,94834,73207,46863,21457,89691,67993,44282,24409,81029,59829,37972,19385,76537,55500,37443,16381,71645,53599,34382,16601,67771,20970,57102,50415, 
 购买商品、接受劳务支付的现金(万元),13318,63230,51880,33919,15213,58546,50922,38036,15472,65838,25742,16699,10060,29068,19255,11229,4005,23279,19390,13291,6537,24503,19395,10107,3725,25774,18905,12004,6162,24910,18569,11731,4954,20920,15786,10265,4305,23423,13450,8152,3519,17695,4136,13952,10990, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,0,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,0,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,0,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,0,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,0,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),13561,42573,32772,22515,13576,39314,27753,19929,11711,40274,22129,15228,9436,32224,15505,11085,6739,23166,15830,11568,6821,21099,14023,10040,5979,18341,11602,7774,4597,11616,9369,6438,3733,12375,8908,6677,3759,10903,8664,6293,3845,10344,3289,9811,8683, 
 支付的各项税费(万元),1099,2224,2926,2303,1243,3461,3868,3013,1401,5259,4188,2635,1426,5928,4190,2780,1082,4282,3594,2685,1327,4085,4281,2973,1301,3752,4054,2579,1339,5728,4735,3183,1498,4615,3998,2629,1056,2530,2232,1528,477,5871,1656,3235,3290, 
