 报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),59276,173843,138367,95190,43847,172364,122439,84203,30939,178845,131284,84937,32417,168066,119764,83110,35219,161218,124011,93844,38728,158461,115440,90650,30928,137595,99646,63306,26979,140588,111153,82123,34946,119810,83050,61248,27272,130313,90625,61846,103484,96296,91279, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0, 
 收到的税费返还(万元),--,45,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0, 
 收到的其他与经营活动有关的现金(万元),1174,4107,1642,1027,536,2403,2035,783,637,2494,1607,987,680,2116,2556,1384,546,1942,3073,6230,5434,1483,1338,4390,4461,2522,5652,2917,3786,1445,1482,560,75,576,443,256,145,379,264,1441,1093,394,836, 
 经营活动现金流入小计(万元),60450,177995,140009,96217,44383,174767,124473,84986,31576,181339,132891,85925,33098,170182,122319,84495,35765,163160,127083,100074,44162,159944,116777,95040,35389,140117,105298,66224,30765,142033,112635,82683,35021,120386,83493,61504,27417,130692,90889,63287,104577,96691,92115, 
 购买商品、接受劳务支付的现金(万元),11112,27511,32335,20446,8408,39142,35035,26110,6623,34819,32939,22831,9232,35260,35164,27599,12100,34838,43986,31531,8988,43128,45184,27440,8631,38669,36249,25465,9812,33588,23655,21540,7008,29096,25921,17371,4555,26436,20387,12006,24177,24908,23318, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),6470,23879,16255,10995,6625,21819,15081,10713,6017,20021,14874,10187,4511,20584,12695,10273,5360,17309,12250,8331,4035,16634,11724,8679,4124,15448,8364,5047,1214,14616,8308,4765,1680,12775,8108,4830,3098,12114,7995,4298,10726,10029,8253, 
 支付的各项税费(万元),8963,30260,23480,17206,7947,31188,22755,16053,6838,28227,17523,12312,6268,27624,18724,14468,5706,27793,16293,12850,5261,27205,17928,12063,5531,24923,16119,10006,4113,25528,17083,11526,3954,20823,17976,11171,5603,24789,16786,14053,19184,16588,14079, 
 支付的其他与经营活动有关的现金(万元),15716,41172,28110,18583,12277,43835,26567,13235,11179,44588,22188,11649,8221,46865,25451,11284,8688,43567,25282,14983,11493,41561,31415,17579,13258,30819,24340,15573,10792,34195,25565,15618,6587,29144,19811,13972,8854,31024,23181,14796,31393,28726,24698, 
 经营活动现金流出小计(万元),42261,122823,100181,67230,35256,135985,99438,66110,30656,127654,87524,56980,28232,130333,92034,63625,31854,123507,97811,67696,29777,128529,106252,65761,31543,109858,85071,56091,25932,107928,74611,53449,19229,91837,71816,47344,22110,94363,68349,45152,85480,80252,70349, 
 经营活动产生的现金流量净额(万元),18189,55173,39828,28987,9128,38782,25035,18876,921,53685,45367,28944,4866,39850,30285,20870,3911,39653,29272,32378,14385,31416,10526,29279,3846,30259,20227,10132,4833,34105,38024,29234,15791,28549,11677,14160,5307,36329,22539,18135,19097,16439,21767, 
 收回投资所收到的现金(万元),13660,102340,84758,66869,34789,111032,83322,53360,19910,71154,55037,30600,9000,114480,79300,67800,21000,114100,64800,39400,27000,139540,--,--,--,88035,--,--,--,69149,31950,--,--,210,--,0,--,0,--,0,0,0,426, 
 取得投资收益所收到的现金(万元),355,1396,1121,902,502,1162,2307,642,310,476,320,172,225,1034,800,547,208,1505,990,579,396,1228,656,421,171,674,324,366,--,732,--,--,--,3,3,3,--,22,22,3,16,27,11, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,252,269,100,139,156,2,3,-8,30,30,34,11,7,--,--,--,5,-6,--,--,10297,56,16,56,10,-6,-6,--,30,--,--,--,290,7,12,1,64,43,0,24,549,11, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1290,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,273,0, 
 收到的其他与投资活动有关的现金(万元),--,--,247,227,210,2063,2775,--,--,672,273,1120,61,1122,649,524,226,369,498,--,369,3360,341,1288,113,7199,678,509,344,1823,1213,617,158,1117,923,527,455,318,166,31,395,287,208, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0, 
 投资活动现金流入小计(万元),14015,103988,86395,68099,35640,114414,88406,54005,20211,72332,55660,31926,9297,116643,80749,68871,21434,117269,66282,39979,27765,154425,1053,1724,340,95919,995,869,344,71735,33163,617,158,1620,933,542,456,404,231,34,435,1137,656, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3689,8996,5999,5714,1868,6153,6684,3002,1717,6536,4926,4774,1212,12502,12556,4798,2004,21128,15663,12072,7016,31285,17278,14681,6387,20563,14581,6551,9197,12675,10552,5315,631,9844,8071,7390,7109,5468,677,372,3864,1759,2916, 
 投资所支付的现金(万元),23720,75440,75440,51109,32729,126806,89614,57800,23800,85180,62990,43620,11600,100380,68500,56700,26700,108382,58400,39000,12500,159540,20000,15800,5000,95335,4900,4900,5100,73649,44350,23350,7400,--,--,0,--,0,--,0,0,0,1282, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,5907,5907,--,--,--,--,--,--,1021,--,--,--,2105,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,357,0, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3358,--,--,--,--,--,71,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0, 
 投资活动现金流出小计(万元),27409,84436,81439,56823,34597,132959,96298,60802,25517,97622,73823,48394,12812,112882,81056,61498,28704,133890,74063,51072,19516,192930,37278,30552,11387,115898,19481,11451,14297,86324,54902,28665,8031,9844,8071,7390,7109,5468,677,372,3864,2116,4198, 
 投资活动产生的现金流量净额(万元),-13394,19552,4957,11276,1043,-18545,-7892,-6797,-5306,-25291,-18163,-16468,-3514,3761,-308,7373,-7270,-16621,-7781,-11093,8249,-38505,-36225,-28828,-11047,-19980,-18486,-10582,-13952,-14589,-21738,-28048,-7873,-8224,-7138,-6848,-6653,-5064,-446,-339,-3429,-979,-3542, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,85928,85928,0,0,0,0, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0, 
 取得借款收到的现金(万元),--,10000,--,--,--,14000,5000,5000,4000,5000,5000,--,--,5000,--,--,--,5000,3000,--,--,2000,2000,--,--,7000,7000,7000,--,--,--,--,--,--,--,0,--,17500,15000,15000,35200,36200,0, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,208,146,146,--,73,--,--,--,131,29,25,--,46,--,--,--,--,--,--,--,630,--,0,--,600,--,--,--,1700,--,0,--,1230,--,0,1000,0,0, 
 筹资活动现金流入小计(万元),0,10000,0,0,0,14208,5146,5146,4000,5073,5000,0,0,5131,29,25,0,5046,3000,0,0,2000,2000,0,0,7630,7000,7000,0,600,0,0,0,1700,0,0,--,104658,100928,15000,36200,36200,0, 
 偿还债务支付的现金(万元),--,10000,--,7000,--,9000,--,--,2000,5000,5000,--,--,5000,--,--,--,2220,220,220,110,--,--,--,--,7110,--,--,--,110,--,--,--,2610,--,0,--,32810,30200,15200,35510,18300,1500, 
 分配股利、利润或偿付利息所支付的现金(万元),181,23891,23929,23823,97,24056,23888,23759,73,29657,29371,29659,52,35682,35605,35530,59,32651,32537,32490,9,29559,29669,29514,--,23900,23761,23640,--,10002,9999,10026,--,25122,25079,25044,24049,17736,17711,17295,22713,15160,5035, 
