 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),67500,180771,205683,132721,50039,192766,142945,88072,29885,189432,150159,100897,36865,188904,133919,101247,42249,150327,112657,69852,24863,125778,78915,57899,33172,155348,104366,67985,25112,141408,96644,59349,24927,76215,53131,36510,101310,82394,48357, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收到的税费返还(万元),44,349,349,349,--,814,814,836,604,1705,2692,771,771,2326,1675,1110,362,2022,1689,1110,385,2225,2029,1512,--,2233,--,--,--,410,--,--,--,1625,1326,1326,1710,1830,0, 
 收到的其他与经营活动有关的现金(万元),203,8332,2913,1892,1783,3511,4584,4274,5584,9537,6980,5141,6901,3003,7996,7275,2659,1812,6289,6227,6138,2364,1063,928,244,1289,1391,1203,25,3248,433,413,20,187,1198,562,1356,1168,1968, 
 经营活动现金流入小计(万元),67748,189452,208945,134962,51822,197090,148343,93182,36073,200674,159831,106809,44538,194233,143590,109633,45270,154161,120634,77189,31386,130366,82006,60339,33417,158870,105757,69188,25137,145066,97077,59762,24947,78027,55655,38398,104376,85391,50325, 
 购买商品、接受劳务支付的现金(万元),43198,129392,171318,121208,47494,110256,80317,41827,15917,114529,78906,54377,23535,117793,89546,68912,32947,101338,72497,46646,22316,88832,61858,44502,25562,126951,78687,52833,18011,76932,68945,38889,17522,49631,33037,23619,63483,59563,31710, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),8162,32021,18877,12540,6199,20336,15064,10133,4948,18037,13679,10054,5928,20754,17266,10619,5606,18426,13678,9674,4976,14388,10919,7951,3721,15504,10869,7554,3832,11977,9002,6117,2535,7885,5750,3565,8318,5597,4821, 
 支付的各项税费(万元),3988,16223,13092,9898,3997,11654,12696,7320,5361,9655,6508,5794,1583,3384,2780,1905,406,1898,1996,1181,350,1638,1727,1302,481,3382,4038,2843,1059,8596,6998,5491,1958,6411,5033,2780,6522,7550,3652, 
 支付的其他与经营活动有关的现金(万元),6886,20923,13386,7325,2469,16709,9734,5574,2566,9811,6070,5099,2540,11312,4842,3507,2146,13315,5220,2981,1292,12164,4751,3243,988,9034,4723,2543,1031,8798,2639,1941,1540,6676,1838,1761,5339,6213,3735, 
 经营活动现金流出小计(万元),62233,198559,216673,150971,60159,158954,117811,64855,28792,152032,105163,75324,33585,153243,114434,84943,41106,134977,93391,60482,28934,117022,79255,56997,30752,154871,98317,65773,23933,106304,87583,52438,23555,70604,45658,31725,83661,78923,43918, 
 经营活动产生的现金流量净额(万元),5514,-9107,-7728,-16008,-8337,38136,30532,28327,7281,48642,54668,31484,10953,40990,29156,24689,4164,19184,27243,16707,2452,13344,2751,3342,2665,3999,7440,3415,1204,38762,9495,7324,1392,7423,9997,6673,20715,6468,6407, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 取得投资收益所收到的现金(万元),4,83,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,145,--,--,-1,5,-21,-50,-3,160,133,94,45,112,--,--,1,76,--,--,--,--,--,--,--,--,18,18,--,18,--,--,--,29,5,5,85,35,60, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收到的其他与投资活动有关的现金(万元),300,25686,1800,1800,1826,31,117,70,56,345,233,173,31,121,233,174,40,795,577,398,193,1021,698,410,242,1379,199,63,44,264,170,146,61,2466,958,942,364,24,33, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 投资活动现金流入小计(万元),304,25914,1800,1800,1825,36,96,20,53,505,366,267,76,233,233,174,41,871,577,398,193,1021,698,410,242,1379,217,81,44,282,170,146,61,2496,963,947,449,59,93, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3379,21331,18132,8629,6459,30136,26790,20651,5617,33134,24170,21032,7832,39918,29846,20432,8880,44585,28090,18631,6588,79316,37542,30816,19738,73066,62162,47918,19154,56423,31715,17613,5567,19171,8020,7526,16931,25796,3544, 
 投资所支付的现金(万元),--,17136,136,136,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,1720,0, 
 支付的其他与投资活动有关的现金(万元),12000,22400,10000,--,--,1800,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 投资活动现金流出小计(万元),15379,60867,28268,8765,6459,31936,26790,20651,5617,33134,24170,21032,7832,39918,29846,20432,8880,44585,28090,18631,6588,79316,37542,30816,19738,73066,62162,47918,19154,56423,31715,17613,5567,19171,8020,7526,16931,27516,3544, 
 投资活动产生的现金流量净额(万元),-15074,-34952,-26468,-6965,-4633,-31901,-26694,-20630,-5564,-32629,-23804,-20765,-7756,-39685,-29612,-20258,-8838,-43714,-27514,-18233,-6395,-78295,-36844,-30406,-19497,-71688,-61946,-47837,-19111,-56141,-31545,-17468,-5506,-16676,-7057,-6579,-16481,-27457,-3451, 
 吸收投资收到的现金(万元),--,2234,378,378,345,903,455,455,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,104528,104528,--,--,--,--,--,--,81900,84000,0,0,0,0, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 取得借款收到的现金(万元),53000,135363,82660,61197,25197,77503,46130,40500,30000,162000,118000,71000,39000,139605,100805,75282,36765,102330,91427,68227,39130,108097,86990,40166,6500,103006,78559,56652,17500,6000,8000,--,--,33500,33500,33500,85200,44396,19019, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 筹资活动现金流入小计(万元),53000,137597,83039,61575,25542,78405,46585,40955,30000,162000,118000,71000,39000,139605,100805,75282,36765,102330,91427,68227,39130,108097,86990,40166,6500,207534,183087,56652,17500,6000,8000,--,--,115400,117500,33500,85200,44396,19019, 
 偿还债务支付的现金(万元),32160,83387,38969,38969,21273,78630,53000,48000,22000,171300,142300,80300,24300,127830,91730,65557,26332,102924,107629,66119,42708,74853,65178,39378,10878,76131,64955,19221,8000,11000,12500,8500,6500,68800,68800,35300,83289,12810,19719, 
 分配股利、利润或偿付利息所支付的现金(万元),720,5645,4379,3455,507,5335,4109,1718,971,5470,4459,2370,910,5580,5103,2969,761,3536,3788,2491,1301,3720,3018,973,565,3965,3529,3003,75,2083,2428,2098,198,1573,1576,908,3556,1367,1119, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付其他与筹资活动有关的现金(万元),--,11866,--,--,--,300,--,--,-56,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,219,219,--,--,--,--,--,--,1108,2296,170,200,7193,3955, 
 筹资活动现金流出小计(万元),32880,100897,43348,42424,21779,84265,57109,49718,22915,176770,146759,82670,25210,133410,96833,68526,27093,106460,111417,68610,44009,78573,68196,40351,11442,80314,68703,22224,8075,13083,14928,10598,6698,71480,72672,36378,87044,21370,24794, 
 筹资活动产生的现金流量净额(万元),20120,36700,39691,19151,3762,-5859,-10524,-8763,7085,-14770,-28759,-11670,13790,6195,3972,6756,9672,-4130,-19990,-383,-4879,29524,18794,-185,-4942,127220,114384,34428,9425,-7083,-6928,-10598,-6698,43920,44828,-2878,-1844,23026,-5775, 
 汇率变动对现金及现金等价物的影响(万元),-584,-409,-281,-141,--,522,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 现金及现金等价物净增加额(万元),9976,-7769,5214,-3963,-9208,898,-6686,-1066,8802,1243,2105,-951,16986,7500,3516,11187,4998,-28660,-20261,-1908,-8822,-35427,-15300,-27249,-21774,59531,59878,-9994,-8481,-24462,-28978,-20742,-10812,34667,47768,-2784,2389,2037,-2818, 
 加:期初现金及现金等价物余额(万元),13601,21370,21370,21370,21370,20472,20472,20472,20472,19229,19229,19229,19229,11729,11729,11729,11729,40389,40389,40389,40389,75816,75816,75816,75816,16286,16286,16286,16286,40748,40748,40748,40748,6081,6081,6081,3692,1654,4472, 
 期末现金及现金等价物余额(万元),23577,13601,26584,17407,12162,21370,13787,19406,29274,20472,21334,18278,36215,19229,15244,22916,16726,11729,20128,38480,31567,40389,60517,48567,54043,75816,76164,6291,7804,16286,11769,20006,29936,40748,53849,3297,6081,3692,1654, 
 净利润(万元),--,34143,--,13937,--,20046,--,8271,--,15321,--,8268,--,13835,--,7695,--,10055,--,5355,--,6346,--,4740,--,21129,--,13679,--,23783,--,10125,--,12538,--,6657,11334,9387,3168, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 资产减值准备(万元),--,2173,--,836,--,768,--,1229,--,952,--,-77,--,-420,--,10,--,1612,--,973,--,-15,--,-366,--,103,--,-109,--,1031,--,274,--,39,--,56,127,248,48, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,26022,--,13229,--,22600,--,10525,--,20054,--,9626,--,16926,--,6653,--,13093,--,6630,--,12125,--,5940,--,11393,--,5412,--,7970,--,3529,--,6569,--,3199,6383,5884,5204, 
 无形资产摊销(万元),--,628,--,312,--,614,--,321,--,629,--,309,--,587,--,281,--,509,--,255,--,507,--,224,--,395,--,170,--,264,--,130,--,272,--,139,273,98,71, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
