 报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),165742,103132,61140,187531,135247,86463,44620,192166,138411,90834,48784,178574,141863,83515,40072,187219,139624,92105,47989,237697,166746,114533,55702,226907,152926,98186,52640,215263,162536,103858,51092,160077,116644,75033,37703,124622,94673,62423,132340,102662,111909,84004, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收到的税费返还(万元),--,--,--,--,--,--,--,0,--,--,--,326,--,--,--,260,--,--,--,255,--,--,--,--,--,--,--,333,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收到的其他与经营活动有关的现金(万元),2493,2593,2017,6735,2876,2506,2217,1199,1110,862,1169,2859,911,781,736,2839,774,680,1030,2186,1134,861,954,1696,1102,694,1182,4584,4665,3182,1978,3869,3573,1203,942,435,1189,72,590,298,234,993, 
 经营活动现金流入小计(万元),168235,105725,63156,194266,138122,88969,46837,193365,139521,91696,49954,181759,142775,84297,40809,190318,140399,92785,49020,240139,167879,115394,56656,228603,154028,98880,53822,220180,167201,107039,53070,163945,120217,76236,38645,125058,95861,62495,132930,102960,112144,84997, 
 购买商品、接受劳务支付的现金(万元),149999,91749,56276,156812,118532,76239,41468,155477,117210,74715,40876,135193,114947,64742,33514,152770,114741,77282,42926,199412,141944,95670,49307,191455,131331,84992,45374,192806,138717,86617,40474,149147,107087,67996,33124,101084,72799,45111,113762,90510,93801,63425, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),10733,7529,4056,13328,9485,6538,3309,12770,8943,6184,3010,14090,9911,6444,3580,14202,10470,7291,3418,14471,10563,7568,4173,12568,8685,5999,2846,11020,6918,4567,2232,8312,5742,3818,1985,4834,3606,2381,4339,3258,3670,3215, 
 支付的各项税费(万元),4350,3731,2685,5825,4422,3319,2279,6155,4986,3660,2674,6832,5355,3854,2447,7314,5732,4107,2623,6347,4766,3439,2083,6438,4856,3687,2001,4253,2861,2410,1341,5630,4390,3419,1518,6053,4882,3914,5677,4372,6850,2034, 
 支付的其他与经营活动有关的现金(万元),5084,3676,1454,9666,4203,3669,1273,10104,4767,3720,1083,11453,5919,3392,981,11610,7551,3995,2715,10276,5210,4017,1636,6767,4638,1776,1620,6251,3738,2606,1267,4026,2589,1229,969,2567,2127,1033,2318,1092,5738,10555, 
 经营活动现金流出小计(万元),170166,106685,64472,185631,136642,89764,48329,184506,135906,88279,47643,167567,136132,78432,40522,185897,138493,92674,51681,230507,162483,110695,57198,217228,149511,96454,51841,214330,152234,96201,45314,167115,119808,76462,37596,114537,83413,52439,126097,99232,110059,79229, 
 经营活动产生的现金流量净额(万元),-1932,-960,-1315,8636,1481,-795,-1492,8860,3615,3417,2311,14192,6643,5864,286,4422,1905,110,-2662,9632,5396,4698,-542,11375,4517,2426,1981,5851,14967,10839,7756,-3169,409,-226,1049,10520,12448,10056,6833,3728,2084,5768, 
 收回投资所收到的现金(万元),9260,7360,500,3990,9420,6080,--,6180,6630,6630,--,7520,2500,6100,--,5600,--,2800,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 取得投资收益所收到的现金(万元),--,--,--,176,--,--,--,151,--,--,--,270,--,--,--,111,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,34,--,--,--,--,--,--,--,--,--,--,--,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8,1,1,--,5,5,5,0,0,45,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,1030,--,--,--,--,--,--,--,--,--,--,--,--,182,182,--,--,688,688,--,3449,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 投资活动现金流入小计(万元),9260,7360,500,4200,9420,6080,0,7361,6630,6630,0,7790,2500,6100,0,5718,0,2800,0,0,182,182,0,0,688,688,0,3449,0,0,0,8,1,1,--,5,5,5,0,0,45,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),4705,1490,808,5912,1652,1175,622,3480,4216,3211,3094,11675,611,487,235,4946,5191,919,563,7619,6333,4976,3668,18159,5544,4627,1533,22664,--,8916,4263,17142,12067,3286,1872,14057,13093,6538,8502,4812,7926,4645, 
 投资所支付的现金(万元),8860,7260,--,4400,9040,5440,250,2851,8800,6700,5800,10559,700,5200,4800,8100,10472,1200,--,5600,--,--,--,1927,--,--,--,3787,--,--,--,2300,--,--,--,--,0,0,0,0,0,0, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5072,--,--,--,--,--,--,--,--,--,--,--,--,12234,--,--,--,--,--,--,--,0,0,0,0,619,0, 
