 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2008-12-31,2007-12-31, 
 销售商品、提供劳务收到的现金(万元),69264,307207,217569,136623,49159,275531,198424,143494,67812,241454,171731,117634,51088,293657,203385,124581,41450,487121,397515,273904,168554,1083726,819087,513531,220699,307676,173378,110280,51133,249468,181133,109855,239203,163584,252450,200094, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收到的税费返还(万元),471,1985,1354,379,247,4188,2906,1487,683,2080,798,658,134,3491,3037,2414,774,1316,916,373,328,691,400,383,378,1411,1288,1239,1205,1890,1552,1550,1652,1715,1960,412, 
 收到的其他与经营活动有关的现金(万元),2534,9580,17898,6833,4387,13669,7620,4150,1216,17888,16234,5481,4507,16908,9592,7749,3128,21303,12052,8360,3827,12708,21074,6192,3114,9041,10036,6275,4193,5100,5303,3111,3728,8471,4057,6362, 
 经营活动现金流入小计(万元),72269,318772,236821,143834,53794,293388,208950,149131,69711,261423,188762,123773,55729,314056,216014,134744,45352,509741,410484,282637,172710,1097125,840561,520106,224192,318128,184702,117794,56531,256458,187988,114517,244582,173769,258467,206868, 
 购买商品、接受劳务支付的现金(万元),45867,189060,137830,87488,43630,160818,115783,73943,35740,160189,117969,89788,43835,201860,148357,104946,53054,389426,320125,219161,142154,1067363,830788,540353,246800,276580,148387,94324,42201,171478,116323,76079,151800,105086,191172,154010, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),10600,27352,22832,16667,10578,26898,21426,15000,9555,27016,22404,15723,10098,28457,22961,16078,10101,27487,22283,15081,9115,26769,20587,14295,8875,24663,18587,12982,8074,19175,14671,9600,17692,11814,15097,15109, 
 支付的各项税费(万元),7494,30974,27328,18113,9133,21347,18093,11810,4212,18015,15375,8496,3559,22362,17896,12536,7674,29963,25125,17491,7709,26769,21420,15079,6299,22761,17585,12054,5069,23544,19930,13370,17425,13029,12260,13788, 
 支付的其他与经营活动有关的现金(万元),3959,18227,23765,11266,4751,16897,12682,9219,3968,17736,15262,9358,6415,19745,20185,13358,6467,23023,24614,15873,6343,28217,29905,12314,5572,22529,22563,13672,6613,22413,21928,10071,19074,21063,14400,10751, 
 经营活动现金流出小计(万元),67920,265613,211754,133534,68092,225959,167984,109972,53475,222957,171010,123364,63907,272423,209399,146917,77296,469900,392147,267606,165321,1149119,902700,582041,267547,346533,207122,133032,61956,236610,172852,109120,205991,150992,232929,193658, 
 经营活动产生的现金流量净额(万元),4349,53158,25066,10300,-14298,67428,40967,39158,16236,38466,17753,408,-8178,41633,6614,-12173,-31944,39841,18337,15031,7389,-51994,-62140,-61935,-43355,-28405,-22420,-15238,-5425,19848,15136,5397,38592,22777,25538,13210, 
 收回投资所收到的现金(万元),94704,296386,242414,128114,74912,466340,350010,228460,90000,310509,263945,196281,104600,220700,96800,40000,21800,90100,64900,47500,--,--,--,--,--,141800,142858,129800,59000,45875,13740,740,22320,5540,0,925, 
 取得投资收益所收到的现金(万元),1596,5222,3312,2076,1427,7053,5386,3640,1690,4253,2224,1474,712,1536,768,324,129,642,489,401,--,193,193,193,14,991,939,866,60,287,778,451,100,79,73,348, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),10,26,8,8,2,119,69,66,0,54,33,33,1,82,24,23,2,81,88,72,45,132,109,0,0,44,6,6,2,14649,14628,178,582,78,403,26, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,258,189,--,--,2180,--,--,--,--,--,--,0,0,0,--,421,--,--,--,--,--,--,--,--,--,--,--,--,0,0,1,0,3793,0, 
 收到的其他与投资活动有关的现金(万元),215,1626,2836,2836,948,2492,--,--,3200,9598,15,--,--,52593,53740,48740,--,48687,20573,22205,21473,1999,--,--,--,--,--,--,--,--,0,0,9053,-1995,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 投资活动现金流入小计(万元),96525,303260,248828,133222,77289,476003,357645,232166,94891,324415,266218,197788,105314,274911,151332,89087,21931,139931,86050,70178,21518,2324,303,193,14,142835,143804,130673,59062,60811,29146,1368,32055,3702,4270,1299, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),7328,14024,6473,3812,3321,9484,6108,4776,3032,11407,8671,6502,4031,20916,7318,5569,3815,17528,13859,10165,6912,21392,14230,9721,5235,26789,19814,8591,4242,14303,9747,6135,16985,11559,22080,6673, 
 投资所支付的现金(万元),88253,368308,275772,150194,83300,455385,375964,238360,95610,372921,318583,216273,108741,285337,152000,43800,30800,95100,90800,60900,4000,0,523,523,--,154954,142019,145173,79000,54446,24055,15231,23532,21352,935,291, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),449,--,7853,7853,6500,865,--,--,--,--,29,--,--,--,10,--,--,--,--,--,--,--,--,--,--,222,13343,--,--,--,11311,0,0,0,18775,2975, 
 支付的其他与投资活动有关的现金(万元),18,7228,2825,2825,553,5437,--,--,1700,1258,--,--,--,8185,481,--,--,--,214,--,--,--,22,--,--,--,--,--,--,--,0,0,0,2066,58,11, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 投资活动现金流出小计(万元),96048,389560,292922,164683,93674,471170,382072,243136,100342,385585,327283,222776,112772,314438,159809,49369,34615,112628,104873,71065,10912,21392,14774,10244,5235,181965,175175,153764,83242,68749,45114,21366,40517,34977,41849,9950, 
 投资活动产生的现金流量净额(万元),478,-86300,-44095,-31461,-16385,4833,-24426,-10970,-5451,-61171,-61065,-24988,-7459,-39527,-8477,39719,-12684,27302,-18823,-886,10606,-19068,-14472,-10051,-5221,-39130,-31372,-23091,-24180,-7938,-15968,-19998,-8462,-31275,-37579,-8651, 
 吸收投资收到的现金(万元),--,--,--,--,--,10154,10154,10154,10154,70,50,50,--,259,50,--,--,--,--,--,--,2,525,--,--,109415,109415,109415,103935,80,0,0,75,75,0,20, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,370,--,--,--,70,50,50,--,259,50,--,--,--,--,--,--,2,525,--,--,6317,6317,6317,--,--,0,0,75,75,0,20, 
 取得借款收到的现金(万元),50,40000,16479,14,14,15000,17,16,12,26500,26509,26500,10300,20191,11051,7531,5691,36693,21265,16000,15200,87348,85387,50200,34000,14386,4000,2000,2000,13133,14256,12370,8724,4000,48500,11797, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29850,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收到其他与筹资活动有关的现金(万元),272,--,285,5,--,--,369,139,139,--,1340,1340,1340,--,--,--,--,1000,1500,--,1000,--,--,--,--,--,--,--,--,--,370,0,0,1,0,3860, 
 筹资活动现金流入小计(万元),322,40000,16764,19,14,25154,10540,10309,10305,26570,27899,27890,11640,20450,11101,7531,5691,37693,22765,16000,16200,117201,85912,50200,34000,123801,113415,111415,105935,13213,14627,12370,8799,4076,48500,15677, 
 偿还债务支付的现金(万元),--,24705,1707,1277,477,28488,18410,11249,10899,12464,1685,1244,894,40772,38316,17641,4879,72949,32078,31699,25399,50350,29500,8000,500,8198,8812,8812,7803,12361,3724,370,20000,14000,42000,4700, 
 分配股利、利润或偿付利息所支付的现金(万元),401,16394,15833,14004,4184,8561,7056,6678,333,9682,9188,6778,347,10147,9745,7441,895,20199,17773,14965,496,19815,18164,16593,355,19818,19734,19294,66,11799,11454,10903,6545,5897,3062,3521, 
 其中：子公司支付给少数股东的股利、利润(万元),--,5789,5497,4420,--,3395,--,--,--,1888,1594,15,--,2950,2682,378,354,4407,4383,1998,--,4624,4083,3429,--,7624,7199,7199,24,--,0,3029,2854,0,453,589, 
