 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),45565,189941,101712,51175,24804,176166,100608,69754,30380,170804,100975,57487,28967,147279,86637,58706,28339,135775,79896,54152,35674,94156,58010,36667,20510,71682,49010,29270,60115,49477,55463, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),19,135,16,16,11,278,103,69,63,718,531,479,427,191,188,182,154,223,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),5730,3655,3461,2637,1161,8162,6487,5684,2689,2956,1959,2560,720,3132,1306,1919,2012,6535,909,638,540,1628,665,626,181,514,623,458,1234,555,685, 
 经营活动现金流入小计(万元),51315,193731,105190,53828,25976,184607,107198,75507,33132,174477,103465,60526,30114,150602,88130,60807,30505,142533,80805,54790,36214,95784,58675,37293,20691,72196,49633,29728,61349,50031,56149, 
 购买商品、接受劳务支付的现金(万元),81961,131046,99443,57459,32196,125364,100022,75427,35692,127600,103983,66280,40191,100619,79337,57496,36648,109385,85634,58755,41922,77495,66683,42710,22480,57049,46015,23866,49654,39233,47733, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),8362,25917,19140,12959,6070,20658,15494,11295,5151,20702,15983,10671,5375,17555,12868,8702,4437,11154,7897,5113,2109,5691,3939,2556,1356,4274,3105,1986,3102,3208,2758, 
 支付的各项税费(万元),2641,7000,4500,3977,2243,8039,6299,4858,2909,7911,6569,4741,3086,5892,3939,2900,1821,3552,2643,1829,1110,3390,2509,1725,1248,4073,3031,2343,2313,2043,2124, 
 支付的其他与经营活动有关的现金(万元),5222,19314,11196,7109,3430,13549,11597,6649,4336,15206,9497,6380,3710,12702,10627,6155,3357,10186,7105,5815,2434,6948,4850,3289,1443,3780,2917,1865,2346,3513,3024, 
 经营活动现金流出小计(万元),98186,183278,134280,81505,43939,167609,133412,98229,48089,171419,136031,88071,52361,136768,106771,75253,46263,134277,103279,71512,47576,93524,77981,50280,26527,69175,55068,30060,57414,47998,55639, 
 经营活动产生的现金流量净额(万元),-46871,10453,-29090,-27677,-17963,16997,-26215,-22722,-14956,3058,-32566,-27545,-22247,13834,-18641,-14446,-15758,8256,-22474,-16722,-11361,2260,-19306,-12987,-5835,3021,-5435,-332,3934,2033,510, 
 收回投资所收到的现金(万元),100,62700,18000,10000,700,23610,9020,8120,4000,36085,20017,14327,4420,10072,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100,--, 
 取得投资收益所收到的现金(万元),145,1669,1324,881,277,1153,761,495,25,395,347,227,64,150,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,10,10,0,--,3,3,3,0,26,1,1,1,6,1,0,0,8,0,0,--,12,9,9,11,--,--,--,3,0,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,2860,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,139,--,--, 
