 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),17377,139823,75562,47381,17781,157327,92798,61086,22168,150420,83676,61271,21537,142289,66647,43705,18529,124542,52220,25999,11226,74358,38581,25122,9420,46635,12778,47764,34618,27100, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),31,411,278,198,116,1495,734,618,616,1150,1028,603,519,1446,351,149,80,2489,1864,976,422,1436,1394,210,176,1124,174,665,721,296, 
 收到的其他与经营活动有关的现金(万元),6193,27508,15570,9418,2540,18658,13284,6554,2956,21271,13134,10250,5988,14561,9791,6736,5677,25094,8438,4134,6033,7045,3347,2064,1637,5284,899,3255,2215,4271, 
 经营活动现金流入小计(万元),23601,167743,91411,56997,20437,177480,106816,68257,25741,172841,97839,72125,28044,158295,76788,50591,24286,152124,62522,31108,17680,82838,43322,27397,11233,53043,13851,51684,37554,31667, 
 购买商品、接受劳务支付的现金(万元),28754,105739,62397,35126,20793,110007,79157,53005,27347,92117,67169,47173,26331,105099,84514,66426,32984,97502,63851,39885,20640,58204,34240,22653,9248,30086,14893,38163,26575,21445, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4372,14840,10950,7766,4388,11217,9090,6775,3793,10050,6838,4505,2502,8928,6123,4997,3110,9698,7415,5398,3772,7033,5079,4196,1865,5044,2195,2664,2072,2086, 
 支付的各项税费(万元),1860,5586,5578,4104,3369,7893,5511,3910,3243,7985,4907,3651,2653,3136,2139,698,310,4869,3730,2107,1441,4357,3224,2261,930,2819,1610,1761,1303,1032, 
 支付的其他与经营活动有关的现金(万元),18635,30736,20671,13116,5219,21606,16031,8509,3631,25418,18519,12134,6937,16890,14397,9880,6571,25059,11764,7729,7876,14232,11111,5576,3428,8650,3169,4794,4898,6417, 
 经营活动现金流出小计(万元),53621,156900,99596,60111,33770,150725,109789,72199,38014,135571,97433,67464,38422,134053,107172,82002,42975,137128,86760,55119,33729,83826,53654,34686,15471,46598,21867,47382,34848,30979, 
 经营活动产生的现金流量净额(万元),-30020,10843,-8186,-3114,-13333,26755,-2973,-3942,-12273,37271,405,4661,-10379,24242,-30384,-31411,-18689,14997,-24238,-24011,-16049,-987,-10332,-7289,-4237,6444,-8016,4302,2706,688, 
 收回投资所收到的现金(万元),175162,571437,432518,268212,111696,416215,311510,271910,111605,187411,159076,125480,8100,49510,32210,22560,11460,22800,16300,7600,--,--,--,--,--,--,--,360,--,--, 
 取得投资收益所收到的现金(万元),3171,9086,6988,3883,1717,2588,2051,1864,369,1290,1190,1046,582,322,290,221,116,97,76,20,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),4,14,5,4,1,1106,7,7,--,256,8,6,0,241,14,14,7,38,32,33,--,--,--,--,--,7,6,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,53,53,53,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
