 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),38181,138906,94254,57667,28069,90317,56832,41843,18036,82333,69894,46015,19850,79785,63329,41722,81275,84848,70980, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,5,3,3,--,--,--,--,--,--,--,--,--,14,14,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),87,1283,380,306,82,1231,795,696,123,508,290,268,142,522,279,240,1334,503,2431, 
 经营活动现金流入小计(万元),38268,140194,94637,57976,28151,91548,57627,42538,18159,82841,70184,46283,19992,80321,63621,41962,82609,85351,73411, 
 购买商品、接受劳务支付的现金(万元),40061,95673,78511,49777,27565,67887,46620,43706,20501,50641,50600,30156,11332,55744,43338,27036,55789,59138,57567, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5594,16739,11243,7673,3516,14090,10260,6645,2562,11007,7854,5659,2555,9758,7125,4181,9072,9908,8310, 
 支付的各项税费(万元),2279,4699,3250,2283,956,3636,2516,1698,453,2868,2366,1504,444,3169,2499,1688,2238,3395,2996, 
 支付的其他与经营活动有关的现金(万元),5182,13282,8440,4859,2209,11081,6699,5255,1838,6611,4232,2825,1766,5527,4252,3023,5680,5254,2892, 
 经营活动现金流出小计(万元),53115,130393,101444,64593,34247,96693,66096,57303,25355,71127,65053,40145,16097,74198,57213,35927,72779,77695,71766, 
 经营活动产生的现金流量净额(万元),-14847,9801,-6807,-6617,-6096,-5145,-8468,-14765,-7197,11714,5131,6138,3894,6123,6408,6035,9830,7656,1645, 
 收回投资所收到的现金(万元),--,12102,10562,5346,--,5000,5000,5000,--,--,--,--,--,--,--,--,--,--,350, 
 取得投资收益所收到的现金(万元),--,30,28,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),78,201,22,22,20,237,75,75,--,--,--,--,--,14,6,2,25,219,110, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),4023,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,80,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),4101,12334,10612,5369,20,5237,5075,5075,0,0,0,0,0,14,6,2,105,219,460, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),566,4442,5866,4168,440,10532,7590,5901,4095,9908,4588,3799,1507,10650,4306,2272,7340,6605,8227, 
 投资所支付的现金(万元),260,12500,10960,7728,21664,1008,310,--,--,12498,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,22556,12355,12355,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),4023,--,3701,--,--,--,35,35,--,--,--,--,--,--,--,--,161,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),4849,39497,32883,24251,22104,11540,7935,5936,4095,22406,4588,3799,1507,10650,4306,2272,7501,6605,8227, 
 投资活动产生的现金流量净额(万元),-748,-27164,-22271,-18882,-22084,-6303,-2860,-861,-4095,-22406,-4588,-3799,-1507,-10636,-4300,-2271,-7397,-6387,-7767, 
