 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),22459,15324,10766,21225,30586,17291,8361,31961,23584,15572,7137,33502,34495,27402,27413, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),25,19,--,52,250,109,96,186,192,107,73,427,225,204,218, 
 收到的其他与经营活动有关的现金(万元),474,370,132,217,275,139,31,130,94,57,16,559,241,119,396, 
 经营活动现金流入小计(万元),22958,15713,10899,21493,31110,17538,8488,32277,23870,15736,7226,34488,34960,27726,28026, 
 购买商品、接受劳务支付的现金(万元),15844,10991,8453,12572,23424,12880,6122,23644,16959,10273,4538,26874,27484,19780,19660, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3167,2127,1185,3518,2330,1756,975,2978,2166,1495,785,3320,3075,2160,1708, 
 支付的各项税费(万元),1969,1323,815,1767,1446,612,222,1522,1332,708,380,1272,1326,1222,1426, 
 支付的其他与经营活动有关的现金(万元),601,585,321,1384,1909,606,378,1194,904,615,400,1192,1592,901,811, 
 经营活动现金流出小计(万元),21580,15027,10774,19240,29109,15854,7697,29337,21361,13091,6104,32658,33477,24063,23605, 
 经营活动产生的现金流量净额(万元),1378,686,125,2253,2001,1684,791,2940,2509,2645,1123,1830,1483,3663,4421, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),235,235,--,6,2,2,2,7,--,--,--,23,3,0,6, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,500,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),235,235,0,6,2,2,2,7,0,0,0,23,3,500,6, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),5410,3199,2453,4547,2147,1776,706,1541,853,703,334,1747,3208,4699,6387, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,213,154, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),5410,3199,2453,4547,2147,1776,706,1541,853,703,334,1747,3208,4911,6540, 
 投资活动产生的现金流量净额(万元),-5174,-2964,-2453,-4541,-2145,-1774,-704,-1534,-853,-703,-334,-1724,-3206,-4411,-6534, 
 吸收投资收到的现金(万元),111,85,85,9937,9937,--,--,--,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),8250,6000,4000,8370,8370,6620,3600,9120,7920,6420,1400,9670,5520,5978,4890, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,544,172,172,43,433,139,139,--,669,1065,316,--, 
 筹资活动现金流入小计(万元),8361,6085,4085,18851,18479,6792,3643,9553,8059,6559,1400,10339,6585,6294,4890, 
 偿还债务支付的现金(万元),4498,3325,1383,12167,9401,5237,1557,8977,7655,6970,1950,8520,4480,3900,3408, 
 分配股利、利润或偿付利息所支付的现金(万元),718,618,93,2134,1964,1833,1612,921,741,619,178,1136,736,515,1102, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,226,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,470,--,--,--,899,583,583,46,631,892,300,--, 
 筹资活动现金流出小计(万元),5216,3943,1476,14770,11365,7070,3169,10797,8979,8171,2173,10287,6109,4715,4510, 
 筹资活动产生的现金流量净额(万元),3144,2142,2609,4081,7114,-278,475,-1244,-920,-1613,-773,52,476,1579,380, 
 汇率变动对现金及现金等价物的影响(万元),-7,-7,-7,29,3,13,6,39,25,17,19,5,-56,-22,-22, 
 现金及现金等价物净增加额(万元),-659,-143,274,1821,6973,-355,568,201,761,347,33,163,-1302,808,-1756, 
