 报告日期,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),20830,42395,35190,22920,29149, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--, 
 收到的税费返还(万元),1808,3061,2019,1030,1214, 
 收到的其他与经营活动有关的现金(万元),1524,1870,1169,766,1071, 
 经营活动现金流入小计(万元),24162,47326,38378,24716,31435, 
 购买商品、接受劳务支付的现金(万元),10219,11898,7050,7587,6244, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),8118,11629,9372,7713,7227, 
 支付的各项税费(万元),4916,6183,6706,3441,4529, 
 支付的其他与经营活动有关的现金(万元),3936,7155,4835,3420,3307, 
 经营活动现金流出小计(万元),27190,36865,27962,22161,21307, 
 经营活动产生的现金流量净额(万元),-3028,10461,10415,2555,10128, 
 收回投资所收到的现金(万元),--,450,--,--,--, 
 取得投资收益所收到的现金(万元),--,488,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,1,0,0,8, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--, 
 投资活动现金流入小计(万元),0,938,0,0,8, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1339,3617,1882,2928,2509, 
 投资所支付的现金(万元),--,--,--,--,721, 
 质押贷款净增加额(万元),--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--, 
 投资活动现金流出小计(万元),1339,3617,1882,2928,3230, 
 投资活动产生的现金流量净额(万元),-1339,-2679,-1882,-2928,-3222, 
 吸收投资收到的现金(万元),--,--,11947,1316,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,1500,--, 
 发行债券收到的现金(万元),--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,150,--, 
 筹资活动现金流入小计(万元),0,0,11947,2966,0, 
 偿还债务支付的现金(万元),--,--,--,1500,--, 
 分配股利、利润或偿付利息所支付的现金(万元),4000,5000,1800,1528,3000, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,150, 
 筹资活动现金流出小计(万元),4000,5000,1800,3028,3150, 
 筹资活动产生的现金流量净额(万元),-4000,-5000,10147,-62,-3150, 
 汇率变动对现金及现金等价物的影响(万元),-129,197,96,2,-9, 
 现金及现金等价物净增加额(万元),-8496,2980,18776,-433,3747, 
 加:期初现金及现金等价物余额(万元),38319,35339,16564,16997,13250, 
 期末现金及现金等价物余额(万元),29823,38319,35339,16564,16997, 
 净利润(万元),3587,10056,8824,7834,5726, 
 少数股东损益(万元),--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--, 
 资产减值准备(万元),271,275,1247,353,499, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),348,646,650,629,606, 
 无形资产摊销(万元),83,148,129,134,81, 
 长期待摊费用摊销(万元),--,--,148,171,171, 
 待摊费用的减少(万元),--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),3,2,16,1,-6, 
 固定资产报废损失(万元),--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--, 
 财务费用(万元),166,-221,-96,26,9, 
 投资损失(万元),-5,-563,-28,12,34, 
 递延所得税资产减少(万元),407,-839,-217,-31,-128, 
 递延所得税负债增加(万元),--,--,--,--,--, 
 存货的减少(万元),-8769,-5120,-1232,82,-550, 
 经营性应收项目的减少(万元),-11726,-3825,-2193,-6470,2379, 
 经营性应付项目的增加(万元),12606,9902,3167,-185,-1719, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--, 
 其他(万元),--,--,--,--,3028, 
 经营活动产生现金流量净额(万元),-3028,10461,10415,2555,10128, 
 债务转为资本(万元),--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--, 
 现金的期末余额(万元),29823,38319,35339,16564,16997, 
 现金的期初余额(万元),38319,35339,16564,16997,13250, 
 现金等价物的期末余额(万元),--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-8496,2980,18776,-433,3747, 

