 报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-03-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),38176,145842,107840,71376,34026,112591,86935,50065,24042,82000,65614,40458,17984,83439,65418,36759,18302,68458,49035,28407,11100,54438,36854,22559,9833,36808,23595,15181,5969,31337,20100,13999,7000,31759,4874,20871,11164, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,890,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收到的税费返还(万元),1046,2545,3621,2357,1486,2273,976,740,739,607,447,333,98,2227,2064,1215,657,2386,1805,--,530,1353,1011,559,268,917,757,410,314,480,480,337,279,187,0,31,33, 
 收到的其他与经营活动有关的现金(万元),661,9381,6927,4605,783,18810,14003,13134,12530,10199,8789,8413,459,570,1200,898,468,2253,1875,1509,856,3757,1801,993,294,1061,1188,971,185,546,363,49,25,272,9,194,82, 
 经营活动现金流入小计(万元),39883,157767,118389,78338,36295,133674,101914,63939,37311,92806,74851,49204,18542,86236,68682,38871,19427,73096,52715,30806,12486,59549,39666,24111,10395,38786,25539,16562,6468,32362,20942,14385,7303,32218,4883,21097,11278, 
 购买商品、接受劳务支付的现金(万元),18288,96881,71955,52180,28160,74895,57384,35534,18937,65322,48558,28596,15793,65456,50724,28847,17251,35217,23122,15980,4690,29474,19628,13170,6918,23162,14711,6744,2844,23796,13635,8681,4045,26752,2352,13725,7224, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),6127,23915,18804,12704,6853,21067,15537,10283,5085,16024,11604,7480,3521,12923,9835,6521,3190,13444,9033,5831,2618,8775,6002,3676,1660,5449,3584,2201,1003,4249,2642,1528,779,2547,578,1215,1028, 
 支付的各项税费(万元),1001,5941,5578,4512,1227,5977,4169,2935,570,3638,3076,2019,903,2659,3517,1209,807,3961,4119,3604,1515,3352,2762,1876,802,2119,2006,1385,459,1291,1164,486,496,1030,260,619,402, 
 支付的其他与经营活动有关的现金(万元),3614,12399,13384,8394,2369,10237,11871,5375,2188,7636,8820,6364,2334,3241,4871,3166,1770,5297,4916,3221,1456,4601,3684,2067,882,2547,2493,1712,593,2131,2293,1554,761,1125,610,1522,1418, 
